step,bucket_id,prediction_error,trust_distance,baseline_error_mean,baseline_error_std,z_score,L_t
12192,142,0.06189854,1.11589778,0.00920228,0.00100000,52.69625936,5.00000000
12467,196,0.08865722,0.96125307,0.00843261,0.00100000,80.22461421,5.00000000
12469,196,0.06598707,1.19120953,0.00843261,0.00100000,57.55446032,5.00000000
12491,196,0.10508581,1.16701460,0.00843261,0.00100000,96.65320913,5.00000000
12691,132,0.17379580,0.93163951,0.00988950,0.00100000,163.90630183,5.00000000
12702,132,0.15046377,1.16509835,0.00988950,0.00100000,140.57427391,5.00000000
12760,132,0.01100167,0.49830956,0.00994511,0.00100000,1.11216877,-1.88783123
12773,132,0.21471010,0.97128074,0.00994511,0.00100000,204.76499643,5.00000000
12797,132,0.02048814,0.78371246,0.00994511,0.00100000,10.54303110,5.00000000
13300,132,0.01294807,0.82490983,0.00814332,0.00100000,4.80474134,1.80474134
13326,132,0.10303801,0.97748886,0.00814332,0.00100000,94.89468142,5.00000000
13527,132,0.06463523,1.00001094,0.00814332,0.00100000,56.49190832,5.00000000
13528,132,0.01060963,0.78533427,0.00826664,0.00100000,2.46630887,-0.53369113
13960,132,0.66622843,1.33214784,0.00826664,0.00100000,657.96178644,5.00000000
14686,196,0.02615780,0.98260136,0.00537386,0.00100000,20.78393447,5.00000000
14775,196,0.05767793,1.15331727,0.00537386,0.00100000,52.30407034,5.00000000
14796,196,0.04693927,1.03147350,0.00537386,0.00100000,41.56541053,5.00000000
14814,196,0.03185437,1.06266064,0.00537386,0.00100000,26.48050758,5.00000000
14889,132,0.05074041,0.78622751,0.00743424,0.00100000,43.30617135,5.00000000
14921,132,0.02338744,1.37257279,0.00743424,0.00100000,15.95319703,5.00000000
15026,132,0.02464175,0.82266445,0.00743424,0.00100000,17.20751323,5.00000000
15040,132,0.01201856,1.11368892,0.00743424,0.00100000,4.58432054,1.58432054
15159,132,0.02856500,0.75799460,0.00829238,0.00100000,20.27262098,5.00000000
15162,132,0.05793195,0.69823032,0.00829238,0.00100000,49.63956884,5.00000000
15222,132,0.02263456,0.66311252,0.00829238,0.00100000,14.34217274,5.00000000
15243,132,0.00495674,0.56283791,0.00812560,0.00100000,-3.33564031,-5.00000000
15324,132,0.01881462,0.67479892,0.00812560,0.00100000,10.68901670,5.00000000
15392,132,0.02402434,0.70082740,0.00812560,0.00100000,15.89874305,5.00000000
15549,196,0.37871152,1.24144307,0.00979354,0.00100000,368.91798044,5.00000000
15559,196,0.12263821,1.17713684,0.00979354,0.00100000,112.84466919,5.00000000
15658,196,0.24831938,1.46727482,0.00979354,0.00100000,238.52584227,5.00000000
15730,305,0.67851130,1.23346355,0.00982301,0.00100000,668.68828782,5.00000000
17090,132,0.01699871,0.56828507,0.00934604,0.00100000,7.65267109,4.65267109
17374,160,0.68761836,1.45433544,0.00951270,0.00100000,678.10565970,5.00000000
17773,132,0.16842077,1.07121336,0.00934604,0.00100000,159.07473041,5.00000000
17904,369,0.38130228,0.95357865,0.00843833,0.00100000,372.86395527,5.00000000
19161,69,0.07187590,1.27682768,0.00530469,0.00100000,66.57121791,5.00000000
20523,286,0.04260319,0.90506849,0.00812268,0.00100000,34.48051754,5.00000000
20552,65,0.23600734,1.19315971,0.00734034,0.00100000,228.66699662,5.00000000
20580,286,0.09933328,1.46156531,0.00812268,0.00100000,91.21060752,5.00000000
21087,132,0.01344034,0.83162463,0.00918817,0.00100000,4.25217281,1.25217281
21129,132,0.00868296,0.96266651,0.00916290,0.00100000,-0.50520877,-3.50520877
21307,462,0.05063192,1.13648812,0.00731419,0.00100000,43.31773096,5.00000000
21471,414,0.10692232,1.21816850,0.00748099,0.00100000,99.44132338,5.00000000
21552,142,0.54942009,1.33426334,0.00552513,0.00100000,543.89496085,5.00000000
21631,414,0.05519884,0.83371784,0.00748099,0.00100000,47.71784940,5.00000000
22692,314,0.00600635,0.96886363,0.00860632,0.00100000,-2.73681978,-5.00000000
22747,314,0.15317460,1.09944541,0.00860632,0.00100000,144.56827251,5.00000000
22775,314,0.05342401,0.92218944,0.00860632,0.00100000,44.81768526,5.00000000
22932,462,0.01505301,0.71974707,0.00306137,0.00100000,11.99163529,5.00000000
22951,443,0.04690774,0.74145287,0.00728076,0.00100000,39.62698401,5.00000000
23240,134,0.03171084,1.02215406,0.00754712,0.00100000,24.16372060,5.00000000
23310,134,0.06569778,0.62942771,0.00754712,0.00100000,58.15066563,5.00000000
23332,134,0.11317726,0.94863554,0.00754712,0.00100000,105.63014366,5.00000000
23412,134,0.03163457,1.14079630,0.00754712,0.00100000,24.08745075,5.00000000
23682,133,0.06741980,0.73198345,0.00995561,0.00100000,57.46418893,5.00000000
23764,133,0.03395683,0.62699348,0.00995561,0.00100000,24.00122388,5.00000000
23769,132,0.02528553,0.94065157,0.00897204,0.00100000,16.31348310,5.00000000
23770,132,0.02834965,1.04605399,0.00897204,0.00100000,19.37760784,5.00000000
24066,132,0.02843240,1.19993767,0.00870866,0.00100000,19.72374450,5.00000000
24084,132,0.04631839,0.99398548,0.00870866,0.00100000,37.60973889,5.00000000
24085,132,0.02455373,1.06262033,0.00870866,0.00100000,15.84507431,5.00000000
24125,132,0.46964760,1.10073828,0.00870866,0.00100000,460.93894825,5.00000000
24351,315,0.12851111,1.22655964,0.00634799,0.00100000,122.16312024,5.00000000
24827,315,0.05411124,1.21447945,0.00634799,0.00100000,47.76325439,5.00000000
24840,315,0.09031892,0.96016015,0.00634799,0.00100000,83.97093043,5.00000000
24858,315,0.02338243,1.57850040,0.00634799,0.00100000,17.03444958,5.00000000
24984,452,0.01289058,0.83084676,0.00841172,0.00100000,4.47885480,1.47885480
25042,134,0.08090897,0.94888447,0.00693618,0.00100000,73.97278497,5.00000000
25045,452,0.22767102,1.44719763,0.00841172,0.00100000,219.25929215,5.00000000
25103,134,0.02186700,1.00435763,0.00693618,0.00100000,14.93082092,5.00000000
25746,495,0.01927667,1.14879804,0.00978263,0.00100000,9.49404368,5.00000000
25752,495,0.13904218,1.33009895,0.00978263,0.00100000,129.25955418,5.00000000
25764,314,0.03632193,1.35329935,0.00946605,0.00100000,26.85587768,5.00000000
25771,314,0.05691610,1.35062938,0.00946605,0.00100000,47.45004342,5.00000000
25856,315,0.10419192,0.93649944,0.00565201,0.00100000,98.53990870,5.00000000
25867,315,0.12750682,0.97884190,0.00565201,0.00100000,121.85480912,5.00000000
25868,315,0.07403199,1.11930997,0.00565201,0.00100000,68.37997652,5.00000000
25886,315,0.10652377,1.07359517,0.00565201,0.00100000,100.87175892,5.00000000
26070,304,0.21433073,1.20524050,0.00903946,0.00100000,205.29126783,5.00000000
26334,205,0.02935587,0.76901849,0.00893978,0.00100000,20.41608661,5.00000000
26335,414,0.01907026,1.23753726,0.00691313,0.00100000,12.15713154,5.00000000
26336,414,0.00801476,1.05975294,0.00696821,0.00100000,1.10163421,-1.89836579
26354,304,0.14633269,1.25745244,0.00903946,0.00100000,137.29322334,5.00000000
26489,454,0.28976241,1.29666455,0.00753795,0.00100000,282.22446125,5.00000000
26586,495,0.01583028,1.09513800,0.00882342,0.00100000,7.00685636,4.00685636
26598,495,0.02484184,0.96899100,0.00882342,0.00100000,16.01842194,5.00000000
26623,495,0.02278649,1.21682966,0.00882342,0.00100000,13.96307365,5.00000000
26799,207,0.02864924,0.93991584,0.00992501,0.00100000,18.72422297,5.00000000
26802,207,0.01911736,1.29732006,0.00992501,0.00100000,9.19234207,5.00000000
26815,207,0.01842537,1.19665634,0.00992501,0.00100000,8.50035723,5.00000000
26865,368,0.03161418,0.88515922,0.00936669,0.00100000,22.24748269,5.00000000
27160,12,0.03366281,1.02309905,0.00981241,0.00100000,23.85040517,5.00000000
27170,12,0.21171074,0.97671525,0.00981241,0.00100000,201.89833603,5.00000000
27337,287,0.04555997,0.83202538,0.00844342,0.00100000,37.11655383,5.00000000
27358,287,0.20036679,1.00832570,0.00844342,0.00100000,191.92336733,5.00000000
27499,314,0.02899385,1.41237384,0.00908096,0.00100000,19.91289612,5.00000000
27507,307,0.04972131,0.87853135,0.00907636,0.00100000,40.64495026,5.00000000
27522,315,0.16953658,0.87644519,0.00703299,0.00100000,162.50358632,5.00000000
27529,307,0.09481955,1.00489461,0.00907636,0.00100000,85.74318880,5.00000000
27552,315,0.00972387,1.07288239,0.00906884,0.00100000,0.68950178,-2.31049822
27555,315,0.05916951,1.27110399,0.00906884,0.00100000,50.10066656,5.00000000
27569,315,0.02115691,1.17432572,0.00906884,0.00100000,12.08806491,5.00000000
27577,315,0.04186220,1.17069677,0.00906884,0.00100000,32.79335946,5.00000000
