step,fast_slow_gap,fast_wins,gap_evidence,state_action_pseudo_count,state_action_familiarity_weight,familiarity_ready,familiarity_warmup_remaining,block_completed,block_valid,block_evidence,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining,initial_warmup_remaining,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,predictor_nll
2200,0.00000000,0,0.00000000,0,0.00000000,0,7799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7799,-28.42929840,-28.42929840,6.21797991,6.21797991,0.15589191,0.15589191,29.60202980
2300,0.00000000,0,0.00000000,0,0.00000000,0,7699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7699,-30.24283218,-30.24283218,17.92373466,17.92373466,0.23568647,0.23568647,31.20637178
2400,0.00000000,0,0.00000000,0,0.00000000,0,7599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7599,-30.53691864,-30.53691864,2.37203646,2.37203646,0.03844162,0.03844162,30.82671483
2500,0.00000000,0,0.00000000,0,0.00000000,0,7499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7499,-24.42716217,-24.42716217,9.98462772,9.98462772,0.14049906,0.14049906,25.92792511
2600,0.00000000,0,0.00000000,0,0.00000000,0,7399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7399,-24.42580795,-24.42580795,11.64197063,11.64197063,0.16797502,0.16797502,25.11849022
2700,0.00000000,0,0.00000000,0,0.00000000,0,7299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7299,-22.73630905,-22.73630905,3.60041904,3.60041904,0.06579754,0.06579754,22.94740041
2800,0.00000000,0,0.00000000,0,0.00000000,0,7199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7199,-23.80775833,-23.80775833,11.61735916,11.61735916,0.13701122,0.13701122,23.28207207
2900,0.00000000,0,0.00000000,0,0.00000000,0,7099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7099,-31.30348396,-31.30348396,42.78369904,42.78369904,0.32139498,0.32139498,35.55685552
3000,0.00000000,0,0.00000000,0,0.00000000,0,6999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6999,-80.88882446,-80.88882446,1.14512742,1.14512742,0.00559975,0.00559975,81.81469879
3100,0.00000000,0,0.00000000,0,0.00000000,0,6899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6899,-28.74425507,-28.74425507,22.33265114,22.33265114,0.19417800,0.19417800,29.49646886
3200,0.00000000,0,0.00000000,0,0.00000000,0,6799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6799,-27.12197495,-27.12197495,26.75577354,26.75577354,0.23051850,0.23051850,27.98536777
3300,0.00000000,0,0.00000000,0,0.00000000,0,6699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6699,-32.27674103,-32.27674103,8.76273346,8.76273346,0.12323860,0.12323860,33.85865879
3400,0.00000000,0,0.00000000,0,0.00000000,0,6599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6599,-31.05768394,-31.05768394,27.28626823,27.28626823,0.27386162,0.27386162,32.11307144
3500,0.00000000,0,0.00000000,0,0.00000000,0,6499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6499,-23.59926605,-23.59926605,8.84852409,8.84852409,0.15928517,0.15928517,23.12353849
3600,0.00000000,0,0.00000000,0,0.00000000,0,6399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6399,-26.53918076,-26.53918076,21.27356720,21.27356720,0.18605185,0.18605185,27.20119349
3700,0.00000000,0,0.00000000,0,0.00000000,0,6299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6299,-25.45646286,-25.45646286,12.98891163,12.98891163,0.16952324,0.16952324,25.22875913
3800,0.00000000,0,0.00000000,0,0.00000000,0,6199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6199,-29.51712799,-29.51712799,8.96773243,8.96773243,0.07523615,0.07523615,28.76939329
3900,0.00000000,0,0.00000000,0,0.00000000,0,6099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6099,-26.96086121,-26.96086121,46.35770416,46.35770416,0.26305380,0.26305380,29.51748721
