block_end_step,block_valid,block_evidence,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining,adaptation_active,adaptation_remaining
15299,1,0.01691708,0.81266172,81.26617153,0.00587491,0.00435373,0.00152118,1,0,0,0,0,1,0,0,0
15399,1,0.06354853,0.83453019,83.45301872,0.01740964,0.00494568,0.01246396,1,0,0,0,0,1,0,0,0
15499,1,0.02699137,0.76189724,76.18972379,0.01932598,0.00516614,0.01415985,1,0,0,0,0,1,0,0,0
15599,1,0.04220759,0.88013368,88.01336809,0.02390230,0.00553655,0.01836575,1,0,0,0,0,1,0,0,0
15699,1,0.04868220,0.93677695,93.67769510,0.02885828,0.00596801,0.02289028,1,0,0,0,0,1,0,0,0
15799,1,0.08726456,0.90917658,90.91765837,0.04053954,0.00678097,0.03375857,1,0,0,0,0,1,0,0,0
15899,1,0.05386374,0.88855968,88.85596845,0.04320438,0.00725180,0.03595258,1,0,0,0,0,1,0,0,0
15999,1,0.02532597,0.85051737,85.05173662,0.03962870,0.00743254,0.03219615,1,0,0,0,0,1,0,0,0
16099,1,0.02877228,0.82409101,82.40910125,0.03745741,0.00764594,0.02981147,1,0,0,0,0,1,0,0,0
16199,1,0.00383800,0.91457781,91.45778147,0.03073353,0.00760786,0.02312567,1,0,0,0,0,1,0,0,0
16299,1,0.00258929,0.94828263,94.82826258,0.02510468,0.00755767,0.01754701,1,0,0,0,0,1,0,0,0
16399,1,0.01035502,0.89302310,89.30231022,0.02215475,0.00758565,0.01456910,1,0,0,0,0,1,0,0,0
16499,1,0.02204704,0.88425268,88.42526836,0.02213321,0.00773026,0.01440294,1,0,0,0,0,1,0,0,0
16599,1,0.02519649,0.90565560,90.56556047,0.02274586,0.00790492,0.01484094,1,0,0,0,0,1,0,0,0
16699,1,0.00695205,0.91404865,91.40486502,0.01958710,0.00789540,0.01169171,1,0,0,0,0,1,0,0,0
16799,1,0.00000000,0.96159667,96.15966742,0.01566968,0.00781644,0.00785324,1,0,0,0,0,1,0,0,0
16899,1,0.00017125,0.97104489,97.10448942,0.01256999,0.00773999,0.00483000,1,0,0,0,0,1,0,0,0
16999,1,0.00016154,0.92515880,92.51588002,0.01008830,0.00766421,0.00242410,1,0,0,0,0,1,0,0,0
17099,1,0.00000000,0.91658750,91.65874974,0.00807064,0.00758756,0.00048308,1,0,0,0,0,1,0,0,0
17199,1,0.00104631,0.87543873,87.54387251,0.00666578,0.00752215,-0.00085637,1,0,0,0,0,1,0,0,0
