step,surprise_raw,surprise_clipped,state_action_pseudo_count,familiarity,e_t,block_E_k,W_k,block_completed,warmup_remaining,regime_change,mean_total_var,mean_epistemic_var,predictor_nll
4900,0.51835400,0.51835400,0,0.00000000,0.00000000,nan,0.00000000,0,5099,0,35.47597885,0.14490938,26.65121078
5000,2.17415309,2.17415309,0,0.00000000,0.00000000,nan,0.00000000,0,4999,0,1.10077333,0.00169041,36.19599660
5100,1.16539252,1.16539252,0,0.00000000,0.00000000,nan,0.00000000,0,4899,0,5.20342255,0.05103046,30.54876200
5200,0.30871153,0.30871153,0,0.00000000,0.00000000,nan,0.00000000,0,4799,0,42.82529831,0.19943242,29.38646507
5300,0.30459970,0.30459970,0,0.00000000,0.00000000,nan,0.00000000,0,4699,0,39.19832993,0.16518195,25.03736229
5400,0.36964172,0.36964172,0,0.00000000,0.00000000,nan,0.00000000,0,4599,0,38.87974167,0.29905730,26.39277506
5500,0.37385991,0.37385991,0,0.00000000,0.00000000,nan,0.00000000,0,4499,0,31.45509911,0.11047193,26.62194316
5600,0.18618955,0.18618955,0,0.00000000,0.00000000,nan,0.00000000,0,4399,0,49.33034134,0.26727179,28.79966431
5700,0.43985701,0.43985701,0,0.00000000,0.00000000,nan,0.00000000,0,4299,0,40.84729385,0.16359249,26.96694756
5800,0.38249886,0.38249886,0,0.00000000,0.00000000,nan,0.00000000,0,4199,0,49.86231995,0.21377496,27.05039644
5900,0.53056449,0.53056449,0,0.00000000,0.00000000,nan,0.00000000,0,4099,0,48.51473999,0.25355211,30.03417826
6000,7.77476835,7.77476835,0,0.00000000,0.00000000,nan,0.00000000,0,3999,0,1.20540583,0.00370861,89.61325582
6100,0.50793850,0.50793850,0,0.00000000,0.00000000,nan,0.00000000,0,3899,0,27.52867317,0.21197291,27.91225052
6200,0.92676383,0.92676383,0,0.00000000,0.00000000,nan,0.00000000,0,3799,0,3.33174300,0.03435866,27.40035343
6300,1.16816080,1.16816080,0,0.00000000,0.00000000,nan,0.00000000,0,3699,0,10.39950943,0.07211586,31.50169802
6400,0.87414002,0.87414002,0,0.00000000,0.00000000,nan,0.00000000,0,3599,0,44.81897354,0.19474557,39.90753301
6500,0.41444001,0.41444001,0,0.00000000,0.00000000,nan,0.00000000,0,3499,0,47.32945251,0.26239839,28.56209373
6600,0.65508443,0.65508443,0,0.00000000,0.00000000,nan,0.00000000,0,3399,0,20.89944267,0.12556757,27.57588768
6700,0.26329443,0.26329443,0,0.00000000,0.00000000,nan,0.00000000,0,3299,0,8.37269783,0.04714542,22.19150289
6800,0.27042660,0.27042660,0,0.00000000,0.00000000,nan,0.00000000,0,3199,0,46.48117447,0.13754085,25.57314110
6900,0.36050612,0.36050612,0,0.00000000,0.00000000,nan,0.00000000,0,3099,0,25.51582527,0.09297127,25.25311089
7000,7.35431767,7.35431767,0,0.00000000,0.00000000,nan,0.00000000,0,2999,0,1.26234198,0.00424719,83.82647705
7100,0.61305350,0.61305350,0,0.00000000,0.00000000,nan,0.00000000,0,2899,0,48.91816330,0.24253729,33.92729696
7200,0.51431322,0.51431322,0,0.00000000,0.00000000,nan,0.00000000,0,2799,0,31.89633942,0.15062767,26.39272213
7300,0.30974141,0.30974141,0,0.00000000,0.00000000,nan,0.00000000,0,2699,0,27.85790253,0.10372856,23.79221153
7400,0.34510064,0.34510064,0,0.00000000,0.00000000,nan,0.00000000,0,2599,0,21.98719788,0.05441999,22.86659114
7500,0.36061776,0.36061776,0,0.00000000,0.00000000,nan,0.00000000,0,2499,0,38.94063187,0.14574702,25.17727725
7600,0.56254917,0.56254917,0,0.00000000,0.00000000,nan,0.00000000,0,2399,0,49.93977356,0.36005041,39.60443878
7700,0.43534806,0.43534806,0,0.00000000,0.00000000,nan,0.00000000,0,2299,0,24.75357819,0.10906569,23.29121590
7800,0.42462721,0.42462721,0,0.00000000,0.00000000,nan,0.00000000,0,2199,0,13.20943451,0.05758585,22.98281384
7900,0.57415676,0.57415676,0,0.00000000,0.00000000,nan,0.00000000,0,2099,0,12.00700378,0.05572607,24.16678429
8000,4.65048695,4.65048695,0,0.00000000,0.00000000,nan,0.00000000,0,1999,0,1.12655210,0.00244386,60.82253075
8100,0.43920839,0.43920839,0,0.00000000,0.00000000,nan,0.00000000,0,1899,0,5.84141159,0.04914280,22.35277796
8200,0.37572229,0.37572229,0,0.00000000,0.00000000,nan,0.00000000,0,1799,0,21.13477516,0.07813212,23.59997940
8300,0.48101494,0.48101494,0,0.00000000,0.00000000,nan,0.00000000,0,1699,0,23.74530792,0.05100049,24.58699322
8400,0.45734766,0.45734766,0,0.00000000,0.00000000,nan,0.00000000,0,1599,0,16.17550278,0.08228297,23.04449081
8500,0.91148442,0.91148442,0,0.00000000,0.00000000,nan,0.00000000,0,1499,0,7.16105080,0.02960612,26.24971453
8600,0.16195387,0.16195387,0,0.00000000,0.00000000,nan,0.00000000,0,1399,0,33.75715637,0.08499335,21.80186081
8700,0.36098462,0.36098462,0,0.00000000,0.00000000,nan,0.00000000,0,1299,0,29.10830688,0.09928938,22.78249550
8800,0.40653002,0.40653002,0,0.00000000,0.00000000,nan,0.00000000,0,1199,0,19.23585320,0.08940548,23.11439578
8900,0.20647554,0.20647554,0,0.00000000,0.00000000,nan,0.00000000,0,1099,0,11.47465038,0.06190531,19.59276390
9000,3.66389203,3.66389203,0,0.00000000,0.00000000,nan,0.00000000,0,999,0,1.23886979,0.00377002,48.82000732
9100,0.78506929,0.78506929,0,0.00000000,0.00000000,nan,0.00000000,0,899,0,19.57480240,0.10636910,27.80910397
9200,0.56874853,0.56874853,0,0.00000000,0.00000000,nan,0.00000000,0,799,0,23.21536636,0.08316910,24.73737764
9300,0.24238199,0.24238199,0,0.00000000,0.00000000,nan,0.00000000,0,699,0,31.45240593,0.11643504,20.49559911
9400,0.33673683,0.33673683,0,0.00000000,0.00000000,nan,0.00000000,0,599,0,10.76245689,0.05563237,20.80030441
9500,0.39177933,0.39177933,0,0.00000000,0.00000000,nan,0.00000000,0,499,0,36.56147766,0.09190952,24.67695856
9600,0.39208475,0.39208475,0,0.00000000,0.00000000,nan,0.00000000,0,399,0,43.10582352,0.13184845,22.16848278
9700,0.56588751,0.56588751,0,0.00000000,0.00000000,nan,0.00000000,0,299,0,23.73807907,0.07371791,23.96604602
9800,0.46589142,0.46589142,0,0.00000000,0.00000000,nan,0.00000000,0,199,0,25.43871689,0.11764407,21.71274281
9900,0.60299182,0.60299182,0,0.00000000,0.00000000,nan,0.00000000,0,99,0,16.34231758,0.05736396,23.73969173
10000,5.18167925,5.18167925,0,0.00000000,0.00000000,nan,0.00000000,0,0,0,1.13718987,0.00274231,65.63159180
10100,0.27469465,0.27469465,0,0.00000000,0.00000000,nan,0.00000000,0,0,0,17.71353912,0.14515015,22.33124304
10200,0.45792431,0.45792431,0,0.00000000,0.00000000,nan,0.00000000,0,0,0,34.81708908,0.10444188,25.38372612
10300,0.55861002,0.55861002,3,0.25918178,0.00252073,nan,0.00000000,0,0,0,32.99375534,0.10579467,24.66136456
10400,0.34631765,0.34631765,4,0.32967995,0.00409114,nan,0.00000000,0,0,0,37.49665833,0.07554734,22.74383259
10500,0.53860134,0.53860134,0,0.00000000,0.00000000,nan,0.00000000,0,0,0,21.19441605,0.06613088,23.62264125
10600,0.26839125,0.26839125,4,0.32967995,0.00317058,nan,0.00000000,0,0,0,47.50303650,0.20258312,29.22405624
10700,0.43392786,0.43392786,3,0.25918178,0.00195810,nan,0.00000000,0,0,0,36.10280609,0.12493245,23.54401398
10800,0.41981655,0.41981655,1,0.09516258,0.00003443,nan,0.00000000,0,0,0,19.45617867,0.08507539,22.97378349
10900,0.34544429,0.34544429,1,0.09516258,0.00002833,nan,0.00000000,0,0,0,28.91534042,0.09678935,21.27415466
11000,3.36197996,3.36197996,4,0.32967995,0.03971598,nan,0.00000000,0,0,0,1.10222936,0.00295910,46.74879456
11100,1.50238526,1.50238526,5,0.39346934,0.03601015,nan,0.00000000,0,0,0,5.32750463,0.03484530,32.14595890
11200,0.13338988,0.13338988,11,0.66712892,0.02642177,nan,0.00000000,0,0,0,17.57106972,0.06195621,19.31712818
11300,0.35373473,0.35373473,15,0.77686984,0.12884594,nan,0.00000000,0,0,0,39.58045959,0.08989166,22.01732349
11400,0.28572026,0.28572026,6,0.45118836,0.01184057,nan,0.00000000,0,0,0,22.42721176,0.07742875,21.91438866
11500,0.39652619,0.39652619,8,0.55067104,0.03646203,nan,0.00000000,0,0,0,35.53041077,0.13549060,22.76545715
11600,0.42658031,0.42658031,11,0.66712892,0.08449672,nan,0.00000000,0,0,0,21.69426727,0.09506217,21.00059128
11700,1.08527088,1.08527088,12,0.69880579,0.25879991,nan,0.00000000,0,0,0,11.19257259,0.06133264,nan
11800,0.35850942,0.35850942,12,0.69880579,0.08549221,nan,0.00000000,0,0,0,15.92772388,0.06511088,21.23559252
11900,0.44349980,0.44349980,14,0.75340304,0.14289035,nan,0.00000000,0,0,0,8.23974609,0.03261629,20.90504201
12000,7.32471704,7.32471704,2,0.18126925,0.00790838,nan,0.00000000,0,0,0,1.13540053,0.00341133,84.67256927
12100,1.92719030,1.92719030,16,0.79810348,0.78191838,nan,0.00000000,0,0,0,5.07939482,0.03935052,34.05918248
12200,0.78656018,0.78656018,9,0.59343034,0.09754633,nan,0.00000000,0,0,0,10.08535099,0.05659787,25.71213961
12300,0.39714956,0.39714956,19,0.85043138,0.20773573,nan,0.00000000,0,0,0,13.43059254,0.08456748,21.38137436
12400,0.43642405,0.43642405,9,0.59343034,0.05412372,nan,0.00000000,0,0,0,25.11356926,0.09763627,21.61555815
12500,0.97379661,0.97379661,21,0.87754357,0.57748807,nan,0.00000000,0,0,0,13.18206787,0.04191271,26.85244624
12600,0.39620012,0.39620012,28,0.93918994,0.30826792,nan,0.00000000,0,0,0,16.86682701,0.04582191,20.20643870
12700,0.44612661,0.44612661,13,0.72746821,0.12494365,nan,0.00000000,0,0,0,9.07271862,0.02867974,19.92172699
12800,1.13116157,1.13116157,14,0.75340304,0.36444677,nan,0.00000000,0,0,0,20.04553604,0.08944295,26.87329960
12900,0.16819268,0.16819268,23,0.89974116,0.11022433,nan,0.00000000,0,0,0,17.92011452,0.06382787,17.14135615
13000,3.28991365,3.28991365,25,0.91791500,2.33557797,nan,0.00000000,0,0,0,1.08762169,0.00171967,46.96478653
13100,1.10184169,1.10184169,3,0.25918178,0.00497207,nan,0.00000000,0,0,0,20.14955902,0.13211899,30.41543706
13200,0.35572848,0.35572848,21,0.87754357,0.21095673,nan,0.00000000,0,0,0,17.72920418,0.05590459,19.68073209
13300,0.28444526,0.28444526,47,0.99090472,0.27423715,nan,0.00000000,0,0,0,11.57718182,0.04541156,18.57032712
13400,0.38665897,0.38665897,42,0.98500442,0.36398276,nan,0.00000000,0,0,0,17.67046165,0.05545954,19.13663530
13500,1.32446218,1.32446218,22,0.88919684,0.82800166,nan,0.00000000,0,0,0,10.06253910,0.03214459,28.92692629
13600,0.69993949,0.69993949,32,0.95923780,0.59260543,nan,0.00000000,0,0,0,10.17501736,0.02309339,21.67734655
13700,0.42270449,0.42270449,31,0.95495080,0.35152874,nan,0.00000000,0,0,0,10.42590714,0.07888433,20.39997292
13800,0.29981726,0.29981726,20,0.86466472,0.16758980,nan,0.00000000,0,0,0,35.63784409,0.12299386,17.97368717
13900,0.76093698,0.76093698,22,0.88919684,0.47570787,nan,0.00000000,0,0,0,12.10589504,0.07356595,21.28209019
14000,2.14694667,2.14694667,13,0.72746821,0.60128079,nan,0.00000000,0,0,0,1.14169836,0.00320979,35.81350899
14100,0.44689614,0.44689614,30,0.95021293,0.36432615,nan,0.00000000,0,0,0,12.63734913,0.05605252,19.02651672
14200,1.35136080,1.35136080,52,0.99448344,1.32178717,nan,0.00000000,0,0,0,16.08636093,0.07995803,28.64349874
14300,0.50721961,0.50721961,47,0.99090472,0.48901663,nan,0.00000000,0,0,0,21.20137215,0.07786463,22.32895756
14400,0.53559941,0.53559941,36,0.97267628,0.47941695,nan,0.00000000,0,0,0,13.19082451,0.07605719,19.62987232
14500,0.16716091,0.16716091,28,0.93918994,0.13006141,nan,0.00000000,0,0,0,16.71682358,0.08516939,15.92553329
14600,0.42280972,0.42280972,40,0.98168436,0.39267428,nan,0.00000000,0,0,0,27.07162094,0.09199087,18.45190334
14700,1.50250459,1.50250459,3,0.25918178,0.00678006,nan,0.00000000,0,0,0,40.92526627,0.22699372,36.26919508
14800,0.92833793,0.92833793,56,0.99630214,0.91468244,nan,0.00000000,0,0,0,15.10770035,0.03572787,21.99869410
14900,0.26943362,0.26943362,61,0.99775713,0.26702452,nan,0.00000000,0,0,0,10.40989304,0.03278039,15.42346096
15000,5.19890690,5.19890690,18,0.83470111,2.52369001,nan,0.00000000,0,0,0,1.13092256,0.00609176,63.46636295
15100,0.70491803,0.70491803,82,0.99972535,0.70414391,nan,0.00000000,0,0,0,33.73149109,0.15168840,24.07570744
15200,0.17077233,0.17077233,68,0.99888622,0.17001279,nan,0.00000000,0,0,0,27.30235863,0.08601370,18.06866074
15300,0.55455005,0.55455005,49,0.99255342,0.53821563,nan,0.00000000,0,0,0,19.67731476,0.04949946,20.59659863
15400,0.40640914,0.40640914,56,0.99630214,0.40043102,nan,0.00000000,0,0,0,18.41181374,0.08606212,18.76610298
15500,0.62993073,0.62993073,55,0.99591323,0.61969616,nan,0.00000000,0,0,0,12.98374653,0.07428461,20.00335566
15600,0.48857656,0.48857656,56,0.99630214,0.48138979,nan,0.00000000,0,0,0,7.67527866,0.02354125,18.41367340
15700,0.27182686,0.27182686,74,0.99938875,0.27116285,nan,0.00000000,0,0,0,11.04683781,0.03184608,16.03550434
15800,0.48493052,0.48493052,48,0.99177025,0.46916308,nan,0.00000000,0,0,0,35.44050980,0.10226432,22.17195702
15900,0.27615348,0.27615348,91,0.99988833,0.27603015,nan,0.01121436,0,0,0,14.71044540,0.06328373,16.67729759
16000,5.13958311,5.13958311,56,0.99630214,5.06398184,nan,0.00000000,0,0,0,1.14224672,0.00646004,60.86835480
16100,0.86808389,0.86808389,18,0.83470111,0.42139140,nan,0.11306891,0,0,0,16.79732895,0.05901931,22.78816261
16200,0.39352724,0.39352724,19,0.85043138,0.20584101,nan,0.08976320,0,0,0,42.30229187,0.20407620,18.82796097
16300,0.44437203,0.44437203,19,0.85043138,0.23243623,nan,0.00000000,0,0,0,21.60576630,0.09073862,19.81817579
16400,0.60842460,0.60842460,43,0.98643144,0.57606885,nan,0.01115778,0,0,0,35.58852768,0.13271753,23.50066423
16500,0.94092518,0.94092518,77,0.99954717,0.93922203,nan,0.00000000,0,0,0,9.68880558,0.02601270,22.82465219
16600,0.26592985,0.26592985,23,0.89974116,0.17427594,nan,0.00000000,0,0,0,28.79149628,0.11773716,16.51782513
16700,0.33024418,0.33024418,11,0.66712892,0.06541453,nan,0.00000000,0,0,0,13.65616703,0.05380779,17.06203556
16800,1.27415788,1.27415788,59,0.99726056,1.26025321,nan,0.00000000,0,0,0,7.72357416,0.03054763,24.86020184
16900,0.65547413,0.65547413,47,0.99090472,0.63195062,nan,0.00000000,0,0,0,43.28261948,0.13937797,26.39777803
17000,2.28350019,2.28350019,51,0.99390325,2.22831971,nan,0.00000000,0,0,0,1.12222958,0.00523023,36.66854000
17100,0.39296803,0.39296803,18,0.83470111,0.19075731,nan,0.13985550,0,0,0,28.74060059,0.06053319,18.76060867
17200,0.52964580,0.52964580,50,0.99326205,0.51551453,nan,0.05136980,0,0,0,36.18117142,0.15516922,20.36520338
17300,1.12123251,1.12123251,69,0.99899221,1.11671949,nan,0.00000000,0,0,0,7.43357849,0.02325107,23.79746628
17400,0.69911397,0.69911397,56,0.99630214,0.68883027,nan,0.00000000,0,0,0,26.75277328,0.08030938,21.55177593
17500,0.56972897,0.56972897,25,0.91791500,0.40446242,nan,0.00000000,0,0,0,32.63290024,0.17852919,23.81490850
17600,0.48124558,0.48124558,80,0.99966454,0.48060014,nan,0.00000000,0,0,0,13.38047028,0.04750615,19.56159973
17700,0.40740064,0.40740064,106,0.99997508,0.40736004,nan,0.02872713,0,0,0,18.84065819,0.06785341,nan
17800,0.74294937,0.74294937,4,0.32967995,0.00877666,nan,0.00000000,0,0,0,30.76246071,0.11351509,22.75451317
17900,0.56728446,0.56728446,12,0.69880579,0.13527790,nan,0.00000000,0,0,0,34.62321472,0.14465724,22.90230560
18000,5.51225471,5.51225471,12,0.69880579,1.31448384,nan,0.00000000,0,0,0,1.18855524,0.00565535,65.64434814
18100,0.86404860,0.86404860,66,0.99863963,0.85935649,nan,0.14908162,0,0,0,12.28433704,0.05974260,21.26660776
18200,1.02254951,1.02254951,14,0.75340304,0.32945326,nan,0.02725671,0,0,0,9.55627060,0.03815125,23.16081301
18300,0.21457595,0.21457595,32,0.95923780,0.18167123,nan,0.00000000,0,0,0,22.09372711,0.10699909,15.75506916
18400,0.97379982,0.97379982,106,0.99997508,0.97370278,nan,0.00000000,0,0,0,16.41243744,0.06790388,23.17986202
18500,0.54131818,0.54131818,62,0.99797057,0.53693727,nan,0.06759934,0,0,0,29.95443726,0.11444656,21.75488790
