step,fast_slow_gap,fast_wins,gap_evidence,state_action_pseudo_count,state_action_familiarity_weight,familiarity_ready,familiarity_warmup_remaining,block_completed,block_valid,block_evidence,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining,adaptation_active,adaptation_remaining,predictor_lr,active_slow_ema,initial_warmup_remaining,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,predictor_nll
1000,0.00000000,0,0.00000000,0,0.00000000,0,8999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,8999,-59.53630447,-59.53630447,1.05313385,1.05313385,0.00283170,0.00283170,60.44878896
1100,0.00000000,0,0.00000000,0,0.00000000,0,8899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,8899,-83.36448669,-83.36448669,1.16554880,1.16554880,0.01666459,0.01666459,87.60491180
1200,0.00000000,0,0.00000000,0,0.00000000,0,8799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,8799,-29.60248947,-29.60248947,5.07890987,5.07890987,0.21014799,0.21014799,30.61154429
1300,0.00000000,0,0.00000000,0,0.00000000,0,8699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,8699,-35.85886002,-35.85886002,4.15760899,4.15760899,0.24424431,0.24424431,45.00259209
1400,0.00000000,0,0.00000000,0,0.00000000,0,8599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,8599,-41.95064163,-41.95064163,4.40771723,4.40771723,0.27053070,0.27053070,47.63385010
1500,0.00000000,0,0.00000000,0,0.00000000,0,8499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,8499,-25.18848610,-25.18848610,6.90061378,6.90061378,0.23379214,0.23379214,26.09555054
1600,0.00000000,0,0.00000000,0,0.00000000,0,8399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,8399,-31.56463051,-31.56463051,37.62470627,37.62470627,0.76594579,0.76594579,38.04967880
1700,0.00000000,0,0.00000000,0,0.00000000,0,8299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,8299,-37.08233643,-37.08233643,20.03479767,20.03479767,0.38082421,0.38082421,48.23302555
1800,0.00000000,0,0.00000000,0,0.00000000,0,8199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,8199,-31.55036354,-31.55036354,35.49752808,35.49752808,0.54302895,0.54302895,34.09250387
1900,0.00000000,0,0.00000000,0,0.00000000,0,8099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,8099,-31.79152870,-31.79152870,10.75414848,10.75414848,0.18069856,0.18069856,33.36334356
2000,0.00000000,0,0.00000000,0,0.00000000,0,7999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,7999,-118.38387299,-118.38387299,1.12748063,1.12748063,0.00623552,0.00623552,119.01652908
2100,0.00000000,0,0.00000000,0,0.00000000,0,7899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,7899,-29.17496490,-29.17496490,24.72780609,24.72780609,0.33060184,0.33060184,29.98180389
2200,0.00000000,0,0.00000000,0,0.00000000,0,7799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,7799,-28.42929840,-28.42929840,6.21797991,6.21797991,0.15589191,0.15589191,29.60202980
2300,0.00000000,0,0.00000000,0,0.00000000,0,7699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,7699,-30.24283218,-30.24283218,17.92373466,17.92373466,0.23568647,0.23568647,31.20637178
2400,0.00000000,0,0.00000000,0,0.00000000,0,7599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,7599,-30.53691864,-30.53691864,2.37203646,2.37203646,0.03844162,0.03844162,30.82671483
2500,0.00000000,0,0.00000000,0,0.00000000,0,7499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,7499,-24.42716217,-24.42716217,9.98462772,9.98462772,0.14049906,0.14049906,25.92792511
2600,0.00000000,0,0.00000000,0,0.00000000,0,7399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,7399,-24.42580795,-24.42580795,11.64197063,11.64197063,0.16797502,0.16797502,25.11849022
2700,0.00000000,0,0.00000000,0,0.00000000,0,7299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,7299,-22.73630905,-22.73630905,3.60041904,3.60041904,0.06579754,0.06579754,22.94740041
2800,0.00000000,0,0.00000000,0,0.00000000,0,7199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,7199,-23.80775833,-23.80775833,11.61735916,11.61735916,0.13701122,0.13701122,23.28207207
2900,0.00000000,0,0.00000000,0,0.00000000,0,7099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,7099,-31.30348396,-31.30348396,42.78369904,42.78369904,0.32139498,0.32139498,35.55685552
3000,0.00000000,0,0.00000000,0,0.00000000,0,6999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,6999,-80.88882446,-80.88882446,1.14512742,1.14512742,0.00559975,0.00559975,81.81469879
3100,0.00000000,0,0.00000000,0,0.00000000,0,6899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,6899,-28.74425507,-28.74425507,22.33265114,22.33265114,0.19417800,0.19417800,29.49646886
3200,0.00000000,0,0.00000000,0,0.00000000,0,6799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,6799,-27.12197495,-27.12197495,26.75577354,26.75577354,0.23051850,0.23051850,27.98536777
3300,0.00000000,0,0.00000000,0,0.00000000,0,6699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,6699,-32.27674103,-32.27674103,8.76273346,8.76273346,0.12323860,0.12323860,33.85865879
3400,0.00000000,0,0.00000000,0,0.00000000,0,6599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,6599,-31.05768394,-31.05768394,27.28626823,27.28626823,0.27386162,0.27386162,32.11307144
3500,0.00000000,0,0.00000000,0,0.00000000,0,6499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,6499,-23.59926605,-23.59926605,8.84852409,8.84852409,0.15928517,0.15928517,23.12353849
3600,0.00000000,0,0.00000000,0,0.00000000,0,6399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,6399,-26.53918076,-26.53918076,21.27356720,21.27356720,0.18605185,0.18605185,27.20119349
3700,0.00000000,0,0.00000000,0,0.00000000,0,6299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,6299,-25.45646286,-25.45646286,12.98891163,12.98891163,0.16952324,0.16952324,25.22875913
3800,0.00000000,0,0.00000000,0,0.00000000,0,6199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,6199,-29.51712799,-29.51712799,8.96773243,8.96773243,0.07523615,0.07523615,28.76939329
3900,0.00000000,0,0.00000000,0,0.00000000,0,6099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,6099,-26.96086121,-26.96086121,46.35770416,46.35770416,0.26305380,0.26305380,29.51748721
4000,0.00000000,0,0.00000000,0,0.00000000,0,5999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,5999,-41.67558289,-41.67558289,1.08084214,1.08084214,0.00191491,0.00191491,41.97973537
4100,0.00000000,0,0.00000000,0,0.00000000,0,5899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,5899,-28.39521980,-28.39521980,4.30470419,4.30470419,0.08365843,0.08365843,28.67198563
4200,0.00000000,0,0.00000000,0,0.00000000,0,5799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,5799,-28.68480873,-28.68480873,5.48452091,5.48452091,0.07840198,0.07840198,29.07747726
4300,0.00000000,0,0.00000000,0,0.00000000,0,5699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,5699,-24.77627182,-24.77627182,13.79826069,13.79826069,0.08957635,0.08957635,24.62957319
4400,0.00000000,0,0.00000000,0,0.00000000,0,5599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,5599,-27.39820862,-27.39820862,44.20902634,44.20902634,0.20357510,0.20357510,26.65818469
4500,0.00000000,0,0.00000000,0,0.00000000,0,5499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,5499,-26.67671204,-26.67671204,40.78454590,40.78454590,0.16414285,0.16414285,27.64977884
4600,0.00000000,0,0.00000000,0,0.00000000,0,5399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,5399,-24.96194077,-24.96194077,37.52554703,37.52554703,0.21628810,0.21628810,25.70720482
4700,0.00000000,0,0.00000000,0,0.00000000,0,5299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,5299,-29.82202911,-29.82202911,44.96385193,44.96385193,0.19345339,0.19345339,29.22538280
4800,0.00000000,0,0.00000000,0,0.00000000,0,5199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,5199,-27.27393341,-27.27393341,20.95837593,20.95837593,0.09685837,0.09685837,27.92410469
4900,0.00000000,0,0.00000000,0,0.00000000,0,5099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,5099,-26.10538292,-26.10538292,41.86023712,41.86023712,0.25705087,0.25705087,27.34984144
5000,0.00000000,0,0.00000000,0,0.00000000,0,4999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,4999,-68.25615692,-68.25615692,1.14561987,1.14561987,0.00394485,0.00394485,67.71791077
5100,0.00000000,0,0.00000000,0,0.00000000,0,4899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,4899,-27.43168068,-27.43168068,16.34407234,16.34407234,0.13170068,0.13170068,27.93230200
5200,0.00000000,0,0.00000000,0,0.00000000,0,4799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,4799,-23.75188255,-23.75188255,19.12124252,19.12124252,0.10544036,0.10544036,24.71799850
5300,0.00000000,0,0.00000000,0,0.00000000,0,4699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,4699,-23.89059830,-23.89059830,6.29215670,6.29215670,0.07893109,0.07893109,23.89966726
5400,0.00000000,0,0.00000000,0,0.00000000,0,4599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,4599,-31.36469650,-31.36469650,42.31727600,42.31727600,0.23839110,0.23839110,39.49256897
5500,0.00000000,0,0.00000000,0,0.00000000,0,4499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,4499,-24.17032623,-24.17032623,27.15727997,27.15727997,0.17551178,0.17551178,24.08063507
5600,0.00000000,0,0.00000000,0,0.00000000,0,4399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,4399,-23.50761032,-23.50761032,18.09675026,18.09675026,0.13263215,0.13263215,23.66441154
5700,0.00000000,0,0.00000000,0,0.00000000,0,4299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,4299,-28.26051712,-28.26051712,10.40417290,10.40417290,0.07083840,0.07083840,29.46596909
5800,0.00000000,0,0.00000000,0,0.00000000,0,4199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,4199,-24.65385056,-24.65385056,50.07028198,50.07028198,0.35410362,0.35410362,29.41887856
5900,0.00000000,0,0.00000000,0,0.00000000,0,4099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,4099,-27.39341354,-27.39341354,6.18890285,6.18890285,0.05807205,0.05807205,27.59397736
6000,0.00000000,0,0.00000000,0,0.00000000,0,3999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,3999,-63.58429337,-63.58429337,1.12771344,1.12771344,0.00253442,0.00253442,64.86112722
6100,0.00000000,0,0.00000000,0,0.00000000,0,3899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,3899,-25.34313583,-25.34313583,15.41093826,15.41093826,0.07242931,0.07242931,25.59930929
6200,0.00000000,0,0.00000000,0,0.00000000,0,3799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,3799,-33.28640747,-33.28640747,45.01724243,45.01724243,0.21908879,0.21908879,35.93970362
6300,0.00000000,0,0.00000000,0,0.00000000,0,3699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,3699,-24.99089622,-24.99089622,26.59754753,26.59754753,0.11981551,0.11981551,25.14069605
6400,0.00000000,0,0.00000000,0,0.00000000,0,3599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,3599,-23.55649948,-23.55649948,22.04956818,22.04956818,0.07531450,0.07531450,23.15202332
6500,0.00000000,0,0.00000000,0,0.00000000,0,3499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,3499,-27.05904770,-27.05904770,49.92289734,49.92289734,0.24533762,0.24533762,27.51241684
6600,0.00000000,0,0.00000000,0,0.00000000,0,3399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,3399,-23.58678627,-23.58678627,37.44817734,37.44817734,0.11823405,0.11823405,23.97804387
6700,0.00000000,0,0.00000000,0,0.00000000,0,3299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,3299,-31.21686363,-31.21686363,20.86465454,20.86465454,0.10388763,0.10388763,32.12329721
6800,0.00000000,0,0.00000000,0,0.00000000,0,3199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,3199,-26.28031731,-26.28031731,17.14989662,17.14989662,0.12765616,0.12765616,26.81864119
