block_index,step,E_k,W_k,mean_familiarity,mean_surprise,regime_change
0,10099,0.00012503,0.00000000,0.03182054,1.08377798,0
1,10199,0.00135458,0.00000000,0.10739011,0.89677907,0
2,10299,0.00586407,0.00000000,0.18359043,0.69846377,0
3,10399,0.00268956,0.00000000,0.11878997,0.77808996,0
4,10499,0.00492663,0.00000000,0.20011432,0.53261832,0
5,10599,0.00718572,0.00000000,0.22746007,0.47892654,0
6,10699,0.02036670,0.00000000,0.34594091,0.49482375,0
7,10799,0.02969569,0.00000000,0.36428273,0.46862047,0
8,10899,0.04931718,0.00000000,0.42792720,0.53917032,0
9,10999,0.05200201,0.00000000,0.45333325,0.56450733,0
10,11099,0.09440743,0.00000000,0.41122136,1.12062063,0
11,11199,0.08135755,0.00000000,0.44314681,0.71000334,0
12,11299,0.09782514,0.00000000,0.56354890,0.54964539,0
13,11399,0.10116564,0.00000000,0.58230183,0.49645566,0
14,11499,0.13033977,0.00000000,0.56958855,0.59572132,0
15,11599,0.11173352,0.00000000,0.57545653,0.53592090,0
16,11699,0.10992837,0.00000000,0.58755133,0.45387881,0
17,11799,0.14859689,0.00000000,0.66732772,0.48279965,0
18,11899,0.15538766,0.00000000,0.63345438,0.54278674,0
19,11999,0.15894897,0.00000000,0.63075544,0.56661899,0
20,12099,0.27538913,0.00000000,0.66062501,0.99995504,0
21,12199,0.16239098,0.00000000,0.57338340,0.69532765,0
22,12299,0.19797005,0.00000000,0.65037294,0.59685356,0
23,12399,0.20290603,0.00000000,0.65400375,0.55099904,0
24,12499,0.18543428,0.00000000,0.64301495,0.58140569,0
25,12599,0.21303725,0.00000000,0.65332269,0.59461291,0
26,12699,0.23338404,0.00000000,0.74128237,0.52942668,0
27,12799,0.24362833,0.00000000,0.69825872,0.57432402,0
28,12899,0.22166727,0.00000000,0.77553828,0.46504981,0
29,12999,0.28383932,0.00000000,0.75284101,0.62737915,0
30,13099,0.34959891,0.00000000,0.72914313,0.87848176,0
31,13199,0.37405630,0.00000000,0.68483787,1.03026334,0
32,13299,0.39636020,0.00000000,0.68989475,0.95391376,0
33,13399,0.24823880,0.00000000,0.78191528,0.53621601,0
34,13499,0.22351568,0.00000000,0.77492615,0.43363256,0
35,13599,0.28234296,0.00000000,0.81200950,0.49618461,0
36,13699,0.29415246,0.00000000,0.82908627,0.49264542,0
37,13799,0.26712490,0.00000000,0.79253728,0.51276502,0
38,13899,0.27369553,0.00000000,0.78217508,0.52311214,0
39,13999,0.27396005,0.00000000,0.80804948,0.48350729,0
40,14099,0.46248712,0.00000000,0.76824363,0.88868381,0
41,14199,0.30871439,0.00000000,0.80304927,0.54402473,0
42,14299,0.30746642,0.00000000,0.79710092,0.55750770,0
43,14399,0.32823946,0.00000000,0.79255974,0.62716888,0
44,14499,0.33520071,0.00000000,0.82574284,0.57300586,0
45,14599,0.34721908,0.00000000,0.82000658,0.58434219,0
46,14699,0.35420164,0.00000000,0.82121969,0.54599404,0
47,14799,0.28821742,0.00000000,0.74174189,0.57791698,0
48,14899,0.34907547,0.00000000,0.76660340,0.62563018,0
49,14999,0.31478061,0.00000000,0.77243397,0.60952950,0
50,15099,0.51293356,0.00000000,0.84121723,0.80386663,0
51,15199,0.39283982,0.00000000,0.86017168,0.58253076,0
52,15299,0.34410008,0.00000000,0.83749468,0.50225919,0
53,15399,0.31904191,0.00000000,0.86603296,0.48832666,0
54,15499,0.34360686,0.00000000,0.85012744,0.53722161,0
55,15599,0.33415965,0.00000000,0.86809934,0.50336308,0
56,15699,0.41838775,0.00000000,0.88163678,0.56635145,0
57,15799,0.39891288,0.00000000,0.89967075,0.51378124,0
58,15899,0.41398900,0.00000000,0.89532040,0.56111101,0
59,15999,0.45381483,0.00000000,0.88441623,0.60768043,0
60,16099,0.62051964,0.23847325,0.79923656,1.05903891,0
61,16199,0.43111598,0.14014630,0.92170924,0.54042436,0
62,16299,0.40815755,0.05936231,0.88834881,0.57501046,0
63,16399,0.45808955,0.05201919,0.86826066,0.64461269,0
64,16499,0.44206787,0.00000000,0.91188798,0.56900271,0
65,16599,0.39023793,0.00000000,0.91298588,0.52527563,0
66,16699,0.48200920,0.00000000,0.91564461,0.58963316,0
67,16799,0.40530738,0.00000000,0.89504099,0.52892958,0
68,16899,0.44787048,0.00000000,0.87301207,0.61105844,0
69,16999,0.40262108,0.00000000,0.82764535,0.64690325,0
70,17099,0.55878577,0.19431345,0.77235439,1.02805722,0
71,17199,0.47515780,0.36462470,0.72981546,0.91845967,0
72,17299,0.47293703,0.42386788,0.81812091,0.74427084,0
73,17399,0.34945458,0.19150462,0.95302375,0.40125950,0
74,17499,0.35599715,0.00550710,0.92698719,0.44616491,0
75,17599,0.36166001,0.00000000,0.94860273,0.42381730,0
76,17699,0.37034241,0.00000000,0.94052157,0.43599584,0
77,17799,0.44208789,0.00000000,0.93412967,0.53973984,0
78,17899,0.46054530,0.00000000,0.93639706,0.55152232,0
79,17999,0.43119630,0.00000000,0.96169675,0.48784873,0
80,18099,0.77556586,0.29685827,0.88127602,1.06677417,0
81,18199,0.65614855,0.46787446,0.88738762,0.91988450,0
82,18299,0.51886424,0.54569320,0.83487779,0.80412491,0
83,18399,0.47279460,0.67780633,0.71703704,0.96051285,0
84,18499,0.38924824,0.45682522,0.97079453,0.43723671,0
85,18599,0.37349177,0.24430372,0.95351563,0.42430347,0
86,18699,0.37515915,0.03590618,0.95014538,0.45110149,0
87,18799,0.40176791,0.00000000,0.95484306,0.45317421,0
88,18899,0.38184269,0.00000000,0.94603206,0.45731734,0
89,18999,0.37793321,0.00000000,0.97049309,0.41713237,0
90,19099,0.79436532,0.24550921,0.93245383,0.94617121,0
91,19199,0.59705352,0.33500926,0.89188808,0.80097947,0
92,19299,0.58727146,0.38107304,0.91643861,0.71811428,0
93,19399,0.55560757,0.34249992,0.95733974,0.62263183,0
94,19499,0.50901353,0.29065846,0.93843980,0.61791912,0
95,19599,0.49906220,0.26507432,0.89833883,0.66150286,0
96,19699,0.48411422,0.28619147,0.85202153,0.77714846,0
97,19799,0.39744913,0.05677438,0.97653413,0.43516657,0
98,19899,0.41276834,0.00000000,0.95066396,0.47171504,0
99,19999,0.43971062,0.00000000,0.94689986,0.51279576,0
100,20099,0.59017800,0.06392414,0.90048709,0.79497037,0
101,20199,0.44439396,0.00000000,0.92040633,0.55751725,0
102,20299,0.38119252,0.00000000,0.95103483,0.43045455,0
103,20399,0.44104444,0.00000000,0.96323851,0.49437629,0
104,20499,0.48688167,0.00000000,0.94314588,0.55371797,0
105,20599,0.48820422,0.00000000,0.94447099,0.55308034,0
106,20699,0.42164122,0.00000000,0.93684944,0.50190848,0
107,20799,0.50602858,0.00000000,0.94931896,0.57160410,0
108,20899,0.43085142,0.00000000,0.91223640,0.52804599,0
109,20999,0.46424725,0.00000000,0.95159989,0.52933185,0
110,21099,0.59743703,0.14158875,0.81892273,0.95961253,0
111,21199,0.39689345,0.00000000,0.94735321,0.47057960,0
112,21299,0.43401524,0.00000000,0.92445726,0.51969515,0
113,21399,0.50644260,0.00000000,0.94541204,0.57903867,0
114,21499,0.46927998,0.00000000,0.96172620,0.52938484,0
115,21599,0.45371912,0.00000000,0.94935948,0.53573277,0
116,21699,0.46591517,0.00000000,0.96438312,0.51974080,0
117,21799,0.48044737,0.00000000,0.97920734,0.52247734,0
118,21899,0.48477887,0.00000000,0.97489583,0.52869301,0
119,21999,0.50754945,0.00000000,0.96567852,0.56646997,0
120,22099,0.84187400,0.34423348,0.88119212,1.14457173,0
121,22199,0.44805505,0.19584921,0.95533115,0.50942595,0
122,22299,0.47711515,0.07961085,0.94819352,0.54145738,0
123,22399,0.45009440,0.00000000,0.97151251,0.47894183,0
124,22499,0.49043310,0.00000000,0.96892148,0.53610754,0
125,22599,0.48137117,0.00000000,0.97030292,0.53157059,0
126,22699,0.53626480,0.00000000,0.95248550,0.59463130,0
127,22799,0.53061670,0.00000000,0.95116360,0.59341443,0
128,22899,0.49680177,0.00000000,0.95801524,0.55678423,0
129,22999,0.48485681,0.00000000,0.95932113,0.52788682,0
130,23099,0.70763825,0.19457497,0.89607230,0.93620420,0
131,23199,0.47955002,0.08107949,0.95798798,0.53044020,0
132,23299,0.42816998,0.00000000,0.94397502,0.49914936,0
133,23399,0.47798932,0.00000000,0.93653584,0.53747916,0
134,23499,0.48033666,0.00000000,0.91937459,0.56815815,0
135,23599,0.45792325,0.00000000,0.94029051,0.54366422,0
136,23699,0.46788950,0.00000000,0.94769826,0.52833179,0
137,23799,0.58209717,0.00000000,0.97795581,0.61892341,0
138,23899,0.47172845,0.00000000,0.96630952,0.50643386,0
139,23999,0.53172082,0.00000000,0.97139190,0.57316593,0
140,24099,0.79643832,0.20641256,0.94584587,0.91221383,0
141,24199,0.53895351,0.21333842,0.87503189,0.82676262,0
142,24299,0.52118448,0.10194409,0.97581031,0.55992634,0
143,24399,0.45218801,0.00000000,0.95598202,0.48928670,0
144,24499,0.46662121,0.00000000,0.98212772,0.50111021,0
145,24599,0.50978815,0.00000000,0.96425371,0.55753928,0
146,24699,0.52797059,0.00000000,0.95906976,0.57147055,0
147,24799,0.59207975,0.00000000,0.97993062,0.63265127,0
148,24899,0.50169713,0.00000000,0.98649753,0.51586048,0
149,24999,0.56267281,0.00000000,0.97784689,0.59653397,0
150,25099,0.76499144,0.21151711,0.90485632,0.98871156,0
151,25199,0.44541817,0.02722312,0.97452198,0.48709655,0
152,25299,0.44753182,0.00000000,0.96771165,0.50160663,0
153,25399,0.45753019,0.00000000,0.98510371,0.47750953,0
154,25499,0.44396326,0.00000000,0.97020525,0.48141305,0
155,25599,0.49095006,0.00000000,0.98030556,0.51665232,0
156,25699,0.55074436,0.00000000,0.96894503,0.59476950,0
157,25799,0.52488821,0.00000000,0.98419778,0.55812292,0
158,25899,0.53564002,0.00000000,0.95572785,0.57664825,0
159,25999,0.49254658,0.00000000,0.97783611,0.52836905,0
160,26099,0.59560268,0.09386743,0.85899221,0.93416064,0
161,26199,0.55014165,0.02751319,0.96677680,0.59364394,0
162,26299,0.49390533,0.00000000,0.96836641,0.53456238,0
163,26399,0.46977030,0.00000000,0.97388445,0.50201584,0
164,26499,0.52926388,0.00000000,0.98577796,0.55270611,0
165,26599,0.47002305,0.00000000,0.98160619,0.48939360,0
166,26699,0.48494770,0.00000000,0.97785570,0.50667538,0
167,26799,0.47634924,0.00000000,0.98173705,0.50058061,0
168,26899,0.51936308,0.00000000,0.98419959,0.53783533,0
169,26999,0.51207697,0.00000000,0.98718035,0.53447347,0
170,27099,0.64585782,0.09510552,0.90624562,0.85341378,0
171,27199,0.47292749,0.00000000,0.97188585,0.50730249,0
172,27299,0.50970477,0.00000000,0.98505645,0.52490110,0
173,27399,0.49393570,0.00000000,0.98915644,0.50961118,0
174,27499,0.57297038,0.00000000,0.98799750,0.59499480,0
175,27599,0.53396122,0.00000000,0.99448825,0.54405601,0
176,27699,0.50168317,0.00000000,0.98286445,0.51910097,0
