step,surprise_raw,surprise_clipped,state_action_pseudo_count,familiarity,e_t,block_E_k,W_k,block_completed,warmup_remaining,regime_change,mean_total_var,mean_epistemic_var,predictor_nll
0,19.00547981,19.00547981,0,0.00000000,0.00000000,nan,0.00000000,0,9999,0,0.99977803,0.00544875,191.55627950
100,8.65323353,8.65323353,0,0.00000000,0.00000000,nan,0.00000000,0,9899,0,1.51743102,0.21418425,134.10005379
200,9.98002148,9.98002148,0,0.00000000,0.00000000,nan,0.00000000,0,9799,0,1.68256903,0.24216631,137.96575546
300,9.21244431,9.21244431,0,0.00000000,0.00000000,nan,0.00000000,0,9699,0,1.35240972,0.09873851,118.57719803
400,2.68900704,2.68900704,0,0.00000000,0.00000000,nan,0.00000000,0,9599,0,1.73789251,0.18784329,47.78162003
500,9.01258945,9.01258945,0,0.00000000,0.00000000,nan,0.00000000,0,9499,0,1.67544985,0.14579757,126.28696442
600,3.59466052,3.59466052,0,0.00000000,0.00000000,nan,0.00000000,0,9399,0,2.08151245,0.25955391,66.18104362
700,1.30441308,1.30441308,0,0.00000000,0.00000000,nan,0.00000000,0,9299,0,4.49488926,0.34259045,43.38277435
800,1.04803431,1.04803431,0,0.00000000,0.00000000,nan,0.00000000,0,9199,0,2.46505523,0.16261455,31.59680462
900,2.95314574,2.95314574,0,0.00000000,0.00000000,nan,0.00000000,0,9099,0,1.88102770,0.09830725,45.74545670
1000,4.73586369,4.73586369,0,0.00000000,0.00000000,nan,0.00000000,0,8999,0,1.05313385,0.00283170,60.44878896
1100,7.33251095,7.33251095,0,0.00000000,0.00000000,nan,0.00000000,0,8899,0,1.16554880,0.01666459,87.60491180
1200,0.81793213,0.81793213,0,0.00000000,0.00000000,nan,0.00000000,0,8799,0,5.07890987,0.21014799,30.61154429
1300,1.60535514,1.60535514,0,0.00000000,0.00000000,nan,0.00000000,0,8699,0,4.15760899,0.24424431,45.00259209
1400,2.25865722,2.25865722,0,0.00000000,0.00000000,nan,0.00000000,0,8599,0,4.40771723,0.27053070,47.63385010
1500,0.25744104,0.25744104,0,0.00000000,0.00000000,nan,0.00000000,0,8499,0,6.90061378,0.23379214,26.09555054
1600,0.41468531,0.41468531,0,0.00000000,0.00000000,nan,0.00000000,0,8399,0,37.62470627,0.76594579,38.04967880
1700,1.41402805,1.41402805,0,0.00000000,0.00000000,nan,0.00000000,0,8299,0,20.03479767,0.38082421,48.23302555
1800,0.44568151,0.44568151,0,0.00000000,0.00000000,nan,0.00000000,0,8199,0,35.49752808,0.54302895,34.09250387
1900,0.94594550,0.94594550,0,0.00000000,0.00000000,nan,0.00000000,0,8099,0,10.75414848,0.18069856,33.36334356
2000,11.23365211,11.23365211,0,0.00000000,0.00000000,nan,0.00000000,0,7999,0,1.12748063,0.00623552,119.01652908
2100,0.45324388,0.45324388,0,0.00000000,0.00000000,nan,0.00000000,0,7899,0,24.72780609,0.33060184,29.98180389
2200,0.74522901,0.74522901,0,0.00000000,0.00000000,nan,0.00000000,0,7799,0,6.21797991,0.15589191,29.60202980
2300,0.70005870,0.70005870,0,0.00000000,0.00000000,nan,0.00000000,0,7699,0,17.92373466,0.23568647,31.20637178
2400,1.31327140,1.31327140,0,0.00000000,0.00000000,nan,0.00000000,0,7599,0,2.37203646,0.03844162,30.82671483
2500,0.33966020,0.33966020,0,0.00000000,0.00000000,nan,0.00000000,0,7499,0,9.98462772,0.14049906,25.92792511
2600,0.40604103,0.40604103,0,0.00000000,0.00000000,nan,0.00000000,0,7399,0,11.64197063,0.16797502,25.11849022
2700,0.44361204,0.44361204,0,0.00000000,0.00000000,nan,0.00000000,0,7299,0,3.60041904,0.06579754,22.94740041
2800,0.27637443,0.27637443,0,0.00000000,0.00000000,nan,0.00000000,0,7199,0,11.61735916,0.13701122,23.28207207
2900,0.75696242,0.75696242,0,0.00000000,0.00000000,nan,0.00000000,0,7099,0,42.78369904,0.32139498,35.55685552
3000,7.07735109,7.07735109,0,0.00000000,0.00000000,nan,0.00000000,0,6999,0,1.14512742,0.00559975,81.81469879
3100,0.63549823,0.63549823,0,0.00000000,0.00000000,nan,0.00000000,0,6899,0,22.33265114,0.19417800,29.49646886
3200,0.39159828,0.39159828,0,0.00000000,0.00000000,nan,0.00000000,0,6799,0,26.75577354,0.23051850,27.98536777
3300,1.27600253,1.27600253,0,0.00000000,0.00000000,nan,0.00000000,0,6699,0,8.76273346,0.12323860,33.85865879
3400,0.90126801,0.90126801,0,0.00000000,0.00000000,nan,0.00000000,0,6599,0,27.28626823,0.27386162,32.11307144
3500,0.26756498,0.26756498,0,0.00000000,0.00000000,nan,0.00000000,0,6499,0,8.84852409,0.15928517,23.12353849
3600,0.47316539,0.47316539,0,0.00000000,0.00000000,nan,0.00000000,0,6399,0,21.27356720,0.18605185,27.20119349
3700,0.48154676,0.48154676,0,0.00000000,0.00000000,nan,0.00000000,0,6299,0,12.98891163,0.16952324,25.22875913
3800,0.99384665,0.99384665,0,0.00000000,0.00000000,nan,0.00000000,0,6199,0,8.96773243,0.07523615,28.76939329
3900,0.35101333,0.35101333,0,0.00000000,0.00000000,nan,0.00000000,0,6099,0,46.35770416,0.26305380,29.51748721
4000,2.74958253,2.74958253,0,0.00000000,0.00000000,nan,0.00000000,0,5999,0,1.08084214,0.00191491,41.97973537
4100,0.98917240,0.98917240,0,0.00000000,0.00000000,nan,0.00000000,0,5899,0,4.30470419,0.08365843,28.67198563
4200,0.89457542,0.89457542,0,0.00000000,0.00000000,nan,0.00000000,0,5799,0,5.48452091,0.07840198,29.07747726
4300,0.43959761,0.43959761,0,0.00000000,0.00000000,nan,0.00000000,0,5699,0,13.79826069,0.08957635,24.62957319
4400,0.45337063,0.45337063,0,0.00000000,0.00000000,nan,0.00000000,0,5599,0,44.20902634,0.20357510,26.65818469
4500,0.40735018,0.40735018,0,0.00000000,0.00000000,nan,0.00000000,0,5499,0,40.78454590,0.16414285,27.64977884
4600,0.30944398,0.30944398,0,0.00000000,0.00000000,nan,0.00000000,0,5399,0,37.52554703,0.21628810,25.70720482
4700,0.75248468,0.75248468,0,0.00000000,0.00000000,nan,0.00000000,0,5299,0,44.96385193,0.19345339,29.22538280
4800,0.65971595,0.65971595,0,0.00000000,0.00000000,nan,0.00000000,0,5199,0,20.95837593,0.09685837,27.92410469
4900,0.43950740,0.43950740,0,0.00000000,0.00000000,nan,0.00000000,0,5099,0,41.86023712,0.25705087,27.34984144
5000,5.69690895,5.69690895,0,0.00000000,0.00000000,nan,0.00000000,0,4999,0,1.14561987,0.00394485,67.71791077
5100,0.60971373,0.60971373,0,0.00000000,0.00000000,nan,0.00000000,0,4899,0,16.34407234,0.13170068,27.93230200
5200,0.33388436,0.33388436,0,0.00000000,0.00000000,nan,0.00000000,0,4799,0,19.12124252,0.10544036,24.71799850
5300,0.52864957,0.52864957,0,0.00000000,0.00000000,nan,0.00000000,0,4699,0,6.29215670,0.07893109,23.89966726
5400,1.06499803,1.06499803,0,0.00000000,0.00000000,nan,0.00000000,0,4599,0,42.31727600,0.23839110,39.49256897
5500,0.34428352,0.34428352,0,0.00000000,0.00000000,nan,0.00000000,0,4499,0,27.15727997,0.17551178,24.08063507
5600,0.23175934,0.23175934,0,0.00000000,0.00000000,nan,0.00000000,0,4399,0,18.09675026,0.13263215,23.66441154
5700,0.87667519,0.87667519,0,0.00000000,0.00000000,nan,0.00000000,0,4299,0,10.40417290,0.07083840,29.46596909
5800,0.39932907,0.39932907,0,0.00000000,0.00000000,nan,0.00000000,0,4199,0,50.07028198,0.35410362,29.41887856
5900,0.88877988,0.88877988,0,0.00000000,0.00000000,nan,0.00000000,0,4099,0,6.18890285,0.05807205,27.59397736
6000,5.18681002,5.18681002,0,0.00000000,0.00000000,nan,0.00000000,0,3999,0,1.12771344,0.00253442,64.86112722
6100,0.46614912,0.46614912,0,0.00000000,0.00000000,nan,0.00000000,0,3899,0,15.41093826,0.07242931,25.59930929
