step,fast_slow_gap,fast_wins,bernoulli_llr,cusum_W,detector_active,regime_change,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,initial_warmup_remaining,post_change_warmup_remaining,predictor_nll
4000,0.00000000,0,0.00000000,0.00000000,0,0,-41.67558289,-41.67558289,1.08084214,1.08084214,0.00191491,0.00191491,5999,0,41.97973537
4100,0.00000000,0,0.00000000,0.00000000,0,0,-28.39521980,-28.39521980,4.30470419,4.30470419,0.08365843,0.08365843,5899,0,28.67198563
4200,0.00000000,0,0.00000000,0.00000000,0,0,-28.68480873,-28.68480873,5.48452091,5.48452091,0.07840198,0.07840198,5799,0,29.07747726
4300,0.00000000,0,0.00000000,0.00000000,0,0,-24.77627182,-24.77627182,13.79826069,13.79826069,0.08957635,0.08957635,5699,0,24.62957319
4400,0.00000000,0,0.00000000,0.00000000,0,0,-27.39820862,-27.39820862,44.20902634,44.20902634,0.20357510,0.20357510,5599,0,26.65818469
4500,0.00000000,0,0.00000000,0.00000000,0,0,-26.67671204,-26.67671204,40.78454590,40.78454590,0.16414285,0.16414285,5499,0,27.64977884
4600,0.00000000,0,0.00000000,0.00000000,0,0,-24.96194077,-24.96194077,37.52554703,37.52554703,0.21628810,0.21628810,5399,0,25.70720482
4700,0.00000000,0,0.00000000,0.00000000,0,0,-29.82202911,-29.82202911,44.96385193,44.96385193,0.19345339,0.19345339,5299,0,29.22538280
4800,0.00000000,0,0.00000000,0.00000000,0,0,-27.27393341,-27.27393341,20.95837593,20.95837593,0.09685837,0.09685837,5199,0,27.92410469
4900,0.00000000,0,0.00000000,0.00000000,0,0,-26.10538292,-26.10538292,41.86023712,41.86023712,0.25705087,0.25705087,5099,0,27.34984144
5000,0.00000000,0,0.00000000,0.00000000,0,0,-68.25615692,-68.25615692,1.14561987,1.14561987,0.00394485,0.00394485,4999,0,67.71791077
5100,0.00000000,0,0.00000000,0.00000000,0,0,-27.43168068,-27.43168068,16.34407234,16.34407234,0.13170068,0.13170068,4899,0,27.93230200
5200,0.00000000,0,0.00000000,0.00000000,0,0,-23.75188255,-23.75188255,19.12124252,19.12124252,0.10544036,0.10544036,4799,0,24.71799850
5300,0.00000000,0,0.00000000,0.00000000,0,0,-23.89059830,-23.89059830,6.29215670,6.29215670,0.07893109,0.07893109,4699,0,23.89966726
5400,0.00000000,0,0.00000000,0.00000000,0,0,-31.36469650,-31.36469650,42.31727600,42.31727600,0.23839110,0.23839110,4599,0,39.49256897
5500,0.00000000,0,0.00000000,0.00000000,0,0,-24.17032623,-24.17032623,27.15727997,27.15727997,0.17551178,0.17551178,4499,0,24.08063507
5600,0.00000000,0,0.00000000,0.00000000,0,0,-23.50761032,-23.50761032,18.09675026,18.09675026,0.13263215,0.13263215,4399,0,23.66441154
5700,0.00000000,0,0.00000000,0.00000000,0,0,-28.26051712,-28.26051712,10.40417290,10.40417290,0.07083840,0.07083840,4299,0,29.46596909
5800,0.00000000,0,0.00000000,0.00000000,0,0,-24.65385056,-24.65385056,50.07028198,50.07028198,0.35410362,0.35410362,4199,0,29.41887856
5900,0.00000000,0,0.00000000,0.00000000,0,0,-27.39341354,-27.39341354,6.18890285,6.18890285,0.05807205,0.05807205,4099,0,27.59397736
6000,0.00000000,0,0.00000000,0.00000000,0,0,-63.58429337,-63.58429337,1.12771344,1.12771344,0.00253442,0.00253442,3999,0,64.86112722
6100,0.00000000,0,0.00000000,0.00000000,0,0,-25.34313583,-25.34313583,15.41093826,15.41093826,0.07242931,0.07242931,3899,0,25.59930929
6200,0.00000000,0,0.00000000,0.00000000,0,0,-33.28640747,-33.28640747,45.01724243,45.01724243,0.21908879,0.21908879,3799,0,35.93970362
6300,0.00000000,0,0.00000000,0.00000000,0,0,-24.99089622,-24.99089622,26.59754753,26.59754753,0.11981551,0.11981551,3699,0,25.14069605
6400,0.00000000,0,0.00000000,0.00000000,0,0,-23.55649948,-23.55649948,22.04956818,22.04956818,0.07531450,0.07531450,3599,0,23.15202332
6500,0.00000000,0,0.00000000,0.00000000,0,0,-27.05904770,-27.05904770,49.92289734,49.92289734,0.24533762,0.24533762,3499,0,27.51241684
6600,0.00000000,0,0.00000000,0.00000000,0,0,-23.58678627,-23.58678627,37.44817734,37.44817734,0.11823405,0.11823405,3399,0,23.97804387
6700,0.00000000,0,0.00000000,0.00000000,0,0,-31.21686363,-31.21686363,20.86465454,20.86465454,0.10388763,0.10388763,3299,0,32.12329721
6800,0.00000000,0,0.00000000,0.00000000,0,0,-26.28031731,-26.28031731,17.14989662,17.14989662,0.12765616,0.12765616,3199,0,26.81864119
