step,fast_slow_gap,fast_wins,bernoulli_llr,cusum_W,detector_active,regime_change,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,initial_warmup_remaining,post_change_warmup_remaining,predictor_nll
34400,0.02966309,1,0.33647224,1.00941671,1,0,-19.21420288,-19.24386597,21.23131180,19.76216316,0.07541621,0.06394756,0,0,18.61188889
34500,-0.43160915,0,-0.51082562,2.33083658,1,0,-15.19994164,-14.76833248,26.75235748,27.82920074,0.09278803,0.09185043,0,0,15.88590503
34600,0.85767746,1,0.33647224,0.33647224,1,0,-16.79912949,-17.65680695,33.38601685,33.19729996,0.16469471,0.14373973,0,0,19.59570236
34700,0.15400410,1,0.33647224,0.33647224,1,0,-13.63800335,-13.79200745,23.48046303,20.65835571,0.06200116,0.06219177,0,0,13.74208403
34800,1.20125771,1,0.33647224,0.67294447,1,0,-15.17273521,-16.37399292,39.86906815,41.34785843,0.17637797,0.18244356,0,0,21.56077118
34900,-0.64647293,0,-0.51082562,0.00000000,1,0,-14.01487732,-13.36840439,27.50177193,26.92654800,0.08256748,0.07844348,0,0,14.73693800
35000,0.48268890,1,0.33647224,0.33647224,1,0,-65.79460907,-66.27729797,1.36789370,1.33999610,0.00709777,0.00716085,0,0,nan
35100,0.79264450,1,0.33647224,17.62197154,1,0,-19.03467178,-19.82731628,5.69039965,5.05281925,0.03962006,0.04074335,0,0,19.55446196
35200,0.97098827,1,0.33647224,51.26919520,1,0,-13.88030529,-14.85129356,7.48949623,6.55007458,0.03180964,0.03031009,0,0,13.72903633
35300,1.04721260,1,0.33647224,43.39882371,1,0,-23.11024666,-24.15745926,23.09798813,19.86495018,0.04475764,0.04736640,0,0,24.65840530
35400,-0.02702236,0,-0.51082562,32.13926077,1,0,-12.40635681,-12.37933445,28.96806526,25.49701691,0.06212755,0.05446353,0,0,12.50869497
35500,0.48099804,1,0.33647224,31.04727215,1,0,-12.39282799,-12.87382603,29.29723740,28.51487923,0.08987034,0.08149008,0,0,13.86807489
35600,-0.33109474,0,-0.51082562,18.09311349,1,0,-13.89766693,-13.56657219,25.31935883,24.07114220,0.05010392,0.04609600,0,0,14.56809735
35700,0.42636299,1,0.33647224,0.67294447,1,0,-13.38436890,-13.81073189,29.62207985,30.34520531,0.08076750,0.06870655,0,0,14.20952358
35800,-0.34130096,0,-0.51082562,13.53536655,1,0,-14.27560806,-13.93430710,32.43655396,33.62724304,0.12597230,0.12546320,0,0,21.33220100
35900,-0.42075348,0,-0.51082562,17.52716510,1,0,-11.43900681,-11.01825333,33.07766342,33.71744919,0.09967960,0.08878406,0,0,13.75088716
36000,-0.22389984,0,-0.51082562,29.14464439,1,0,-40.39131165,-40.16741180,1.45416689,1.44530034,0.00867192,0.00810401,0,0,40.61722819
36100,0.15787888,1,0.33647224,40.76212368,1,0,-15.84971619,-16.00759506,36.62844467,34.05854797,0.06607661,0.06513408,0,0,28.75180173
36200,-0.10624313,0,-0.51082562,30.34985861,1,0,-11.52321339,-11.41697025,29.72884750,28.67283440,0.12014259,0.11136231,0,0,12.68364620
36300,0.79916191,1,0.33647224,22.47948711,1,0,-11.03503418,-11.83419609,16.53607750,15.24669933,0.04025067,0.03889030,0,0,11.00722713
36400,0.08509254,1,0.33647224,19.69290277,1,0,-14.48053741,-14.56562996,14.38634777,13.97542381,0.03432691,0.03369086,0,0,14.49818349
36500,0.08787251,1,0.33647224,19.44821202,1,0,-15.99033451,-16.07820702,18.67666626,19.98874474,0.06150919,0.05802645,0,0,17.25396156
36600,0.82557201,1,0.33647224,34.45488275,1,0,-11.13802242,-11.96359444,20.96381569,21.68950653,0.04517499,0.04325893,0,0,10.22252083
36700,0.67490482,1,0.33647224,55.39263851,1,0,-10.18095684,-10.85586166,22.34637642,23.44374275,0.05669762,0.06039333,0,0,10.34662604
36800,0.04179859,1,0.33647224,62.77362850,1,0,-14.58082485,-14.62262344,26.60993767,29.42564583,0.06730635,0.07745343,0,0,15.50567849
36900,0.87956619,1,0.33647224,44.73568268,1,0,-15.11781693,-15.99738312,18.37529755,19.30389595,0.04130025,0.04176348,0,0,15.05730597
37000,0.03188324,1,0.33647224,28.39233258,1,0,-36.25788879,-36.28977203,1.35212660,1.36848509,0.00532539,0.00524215,0,0,36.54664898
37100,2.31254387,1,0.33647224,27.30034396,1,0,-20.41742325,-22.72996712,12.36592007,10.55053234,0.04723773,0.04309492,0,0,21.10144043
37200,-2.41123772,0,-0.51082562,0.00000000,1,0,-15.85741615,-13.44617844,38.46147537,34.27430344,0.12153853,0.11686630,0,0,22.31312027
37300,0.15330887,1,0.33647224,0.33647224,1,0,-16.71635437,-16.86966324,24.85839081,24.13701820,0.06525619,0.06321880,0,0,17.39003372
37400,0.45075130,1,0.33647224,1.00941671,1,0,-11.36639786,-11.81714916,23.49196434,24.62729645,0.05457731,0.05015877,0,0,11.53737679
37500,0.34971809,1,0.33647224,10.93230028,1,0,-13.00052452,-13.35024261,17.54386711,17.56514740,0.05336852,0.04911812,0,0,11.76280117
37600,0.22627258,1,0.33647224,21.70248171,1,0,-10.55928612,-10.78555870,25.08265114,27.40979767,0.11172730,0.11279281,0,0,10.81990528
37700,-0.13366413,0,-0.51082562,25.69428026,1,0,-10.81013870,-10.67647457,23.68302345,24.73558998,0.18734623,0.15039948,0,0,14.36947274
37800,-0.10813332,0,-0.51082562,33.07527025,1,0,-16.42544556,-16.31731224,17.67566872,18.49147797,0.06360336,0.05055466,0,0,16.83913040
37900,-0.33971882,0,-0.51082562,47.23464312,1,0,-15.50164890,-15.16193008,24.66576767,25.76917839,0.13820760,0.11451978,0,0,18.45569820
38000,-0.07916260,0,-0.51082562,49.53184595,1,0,-42.36885834,-42.28969574,1.46236205,1.48423243,0.00759409,0.00662972,0,0,42.91024526
38100,0.45576477,1,0.33647224,23.86821939,1,0,-16.62877655,-17.08454132,23.61581802,22.34526634,0.05725090,0.05489542,0,0,17.75763766
38200,0.59885502,1,0.33647224,0.33647224,1,0,-14.24076366,-14.83961868,21.70564461,22.00176048,0.07953104,0.07511960,0,0,15.54586919
38300,-0.16165161,0,-0.51082562,0.00000000,1,0,-16.53025055,-16.36859894,15.93902588,15.81578922,0.06360403,0.06040838,0,0,17.44098949
38400,0.42059231,1,0.33647224,2.81719313,1,0,-11.46541119,-11.88600349,26.15971947,26.97937965,0.08636508,0.08421603,0,0,11.16813421
38500,-0.14440918,0,-0.51082562,0.32423770,1,0,-10.43409729,-10.28968811,23.97312164,24.65367317,0.07632011,0.07071223,0,0,11.05101426
38600,0.38950062,1,0.33647224,1.17153556,1,0,-9.64941978,-10.03892040,21.20714378,23.95110321,0.06774916,0.05991592,0,0,nan
38700,-0.62126350,0,-0.51082562,0.00000000,1,0,-11.05541801,-10.43415451,31.07512665,33.88270569,0.08699301,0.08058742,0,0,15.86638037
38800,-0.28985596,0,-0.51082562,2.25742936,1,0,-11.15283966,-10.86298370,29.38370705,31.46609497,0.07594768,0.06983022,0,0,15.54631742
38900,0.65257835,1,0.33647224,15.56950437,1,0,-14.31490517,-14.96748352,19.00823402,19.56462860,0.05582155,0.05001225,0,0,14.61793009
39000,-0.00443649,0,-0.51082562,26.33968580,1,0,-37.57857132,-37.57413483,1.48976529,1.49263048,0.01604611,0.01538569,0,0,37.86453056
39100,-1.29259682,0,-0.51082562,1.52335709,1,0,-12.08364105,-10.79104424,20.74130440,21.35641861,0.08280909,0.08114641,0,0,13.66786289
39200,0.42244911,1,0.33647224,0.33647224,1,0,-13.73474884,-14.15719795,17.75062752,17.66035843,0.03802118,0.03825783,0,0,13.47372007
39300,-1.17778873,0,-0.51082562,0.00000000,1,0,-14.88427544,-13.70648670,27.51989365,27.15974045,0.05524797,0.05513659,0,0,17.38380432
39400,-0.33201504,0,-0.51082562,1.15930102,1,0,-12.12648392,-11.79446888,23.45030022,25.49670029,0.07276470,0.07004727,0,0,13.36899090
39500,-1.82991600,0,-0.51082562,0.00000000,1,0,-9.80438900,-7.97447300,26.91773415,29.81433105,0.09099516,0.08940870,0,0,13.16951847
39600,0.61112022,1,0.33647224,1.48353872,1,0,-11.04064751,-11.65176773,18.05719757,18.94941139,0.03253070,0.03276472,0,0,10.73433471
39700,0.48794651,1,0.33647224,0.33647224,1,0,-14.10125256,-14.58919907,23.92144775,24.14122772,0.10860176,0.10524642,0,0,14.25772047
39800,0.01487255,1,0.33647224,1.00941671,1,0,-10.90465736,-10.91952991,17.18049812,18.14926338,0.07212272,0.06944629,0,0,10.82943185
39900,0.02049923,1,0.33647224,0.33647224,1,0,-14.94252872,-14.96302795,20.59299850,21.32844925,0.09644016,0.08456773,0,0,17.04717541
40000,0.20959473,1,0.33647224,0.33647224,1,0,-44.01778793,-44.22738266,1.68712986,1.68688571,0.02463617,0.02350750,0,0,46.41665077
40100,-1.24642849,0,-0.51082562,0.00000000,1,0,-12.83630371,-11.58987522,26.03366852,25.89667702,0.13895644,0.11743876,0,0,13.75546487
40200,0.23293018,1,0.33647224,0.33647224,1,0,-11.56879425,-11.80172443,27.65699196,26.78821564,0.08232221,0.06446993,0,0,11.41498121
40300,-1.00580311,0,-0.51082562,0.00000000,1,0,-12.02542686,-11.01962376,20.13204002,20.20893860,0.08394367,0.07442066,0,0,12.25508404
40400,-0.11974812,0,-0.51082562,1.13483195,1,0,-11.06463909,-10.94489098,22.84649849,21.55986595,0.06536128,0.05930285,0,0,11.37966366
40500,-0.24183559,0,-0.51082562,1.48353872,1,0,-10.23725510,-9.99541950,17.60191917,18.56942368,0.15043360,0.12690343,0,0,10.81392574
40600,0.05391693,1,0.33647224,13.10101801,1,0,-12.30604744,-12.35996437,21.07912445,20.61201286,0.05652600,0.05439209,0,0,13.49732526
40700,0.24618149,1,0.33647224,17.94011442,1,0,-11.62736511,-11.87354660,20.43526459,20.46566010,0.08873461,0.07181261,0,0,11.80241919
40800,-0.71064568,0,-0.51082562,21.08461511,1,0,-12.43310452,-11.72245884,25.05673599,25.32302856,0.08837996,0.07903069,0,0,15.13826714
40900,0.01338196,1,0.33647224,27.61830724,1,0,-10.79170227,-10.80508423,18.63209915,19.92043114,0.06829827,0.06643324,0,0,11.08175707
41000,0.22426605,1,0.33647224,23.98442504,1,0,-60.04177475,-60.26604080,1.45363152,1.47011709,0.01991550,0.01850135,0,0,60.30920919
41100,-1.65090466,0,-0.51082562,0.00000000,1,0,-10.82724380,-9.17633915,24.49261093,25.44875145,0.12575991,0.12072042,0,0,13.06741524
41200,0.18625069,1,0.33647224,1.49577326,1,0,-16.25689125,-16.44314194,19.54856110,20.29590988,0.09693840,0.09525143,0,0,19.13031864
41300,0.12256241,1,0.33647224,0.66070994,1,0,-16.23148727,-16.35404968,18.33478355,18.97866058,0.09493298,0.08696540,0,0,17.34821002
41400,0.45828438,1,0.33647224,6.19415003,1,0,-7.78127575,-8.23956013,17.98623657,18.75488663,0.05974399,0.06429466,0,0,8.09228007
41500,0.02697659,1,0.33647224,0.33647224,1,0,-12.04694271,-12.07391930,20.28804779,20.69536400,0.08681467,0.08046491,0,0,14.98282623
41600,-0.38163376,0,-0.51082562,0.00000000,1,0,-11.95775604,-11.57612228,20.71865082,21.04305267,0.07915158,0.07294055,0,0,12.99287987
41700,0.08523655,1,0.33647224,2.80495859,1,0,-14.09524059,-14.18047714,18.48341560,18.69969368,0.09384671,0.08581969,0,0,15.26328278
41800,-0.70383930,0,-0.51082562,0.49859109,1,0,-11.69125175,-10.98741245,30.67317009,31.88591194,0.13212095,0.11892833,0,0,14.71729851
41900,0.11930370,1,0.33647224,2.79579391,1,0,-13.35379791,-13.47310162,17.07153893,17.12533188,0.06263682,0.05707406,0,0,13.70006609
42000,-0.28222656,0,-0.51082562,0.00000000,1,0,-59.79045868,-59.50823212,1.81210411,1.82855856,0.03272982,0.02944145,0,0,60.88107204
42100,-1.17807388,0,-0.51082562,0.00000000,1,0,-10.56172562,-9.38365173,19.90535355,20.30399895,0.08660266,0.09065429,0,0,11.19080114
42200,0.04811192,1,0.33647224,0.67294447,1,0,-14.19902611,-14.24713802,17.05382919,18.00055504,0.13147897,0.11430307,0,0,16.18129559
42300,0.05026817,1,0.33647224,1.00941671,1,0,-11.09109688,-11.14136505,21.59076309,21.64783669,0.12287206,0.12417118,0,0,12.35595385
42400,-0.09767818,0,-0.51082562,0.00000000,1,0,-12.40265846,-12.30498028,17.28237915,17.87646675,0.10201126,0.09309822,0,0,12.63460112
42500,-0.20244503,0,-0.51082562,0.00000000,1,0,-12.31654835,-12.11410332,15.76502132,16.28978348,0.04768663,0.04164888,0,0,13.61032248
42600,-0.23382568,0,-0.51082562,5.47226741,1,0,-11.56775379,-11.33392811,19.09838867,19.69890976,0.05847450,0.05039128,0,0,12.65816212
42700,0.53710651,1,0.33647224,0.67294447,1,0,-10.46076298,-10.99786949,17.97304344,18.64343071,0.10141888,0.09372070,0,0,11.00056648
42800,0.29781151,1,0.33647224,3.67672553,1,0,-10.75560665,-11.05341816,21.89378357,23.27780724,0.12352198,0.12480007,0,0,11.73191333
42900,-0.37560558,0,-0.51082562,0.00000000,1,0,-12.54190636,-12.16630077,17.49054337,18.65177345,0.06732367,0.06649050,0,0,13.47573757
43000,-0.11557007,0,-0.51082562,0.00000000,1,0,-56.91345596,-56.79788589,1.88558877,1.89959311,0.03706885,0.03468038,0,0,58.45563507
43100,-0.09944391,0,-0.51082562,0.00000000,1,0,-7.52577305,-7.42632914,13.87213612,14.69102955,0.13067204,0.11314771,0,0,9.00110245
43200,0.07186699,1,0.33647224,0.33647224,1,0,-9.44770241,-9.51956940,17.26844025,17.68498802,0.04736941,0.04588636,0,0,9.18790913
43300,-0.07283783,0,-0.51082562,0.00000000,1,0,-13.68101501,-13.60817719,20.69505119,21.19510841,0.07168327,0.06680200,0,0,13.88966815
43400,-1.53521919,0,-0.51082562,0.00000000,1,0,-11.76993847,-10.23471928,26.17592430,26.14685059,0.11187240,0.10841239,0,0,20.12489557
43500,0.22294044,1,0.33647224,1.60895396,1,0,-15.12724018,-15.35018063,13.84463310,13.80159569,0.05425250,0.05388901,0,0,16.45654742
43600,-0.18718147,0,-0.51082562,4.93697271,1,0,-10.45140743,-10.26422596,24.19058228,24.16004372,0.08788911,0.08742133,0,0,12.29450607
43700,0.01407003,1,0.33647224,0.45579266,1,0,-7.37632942,-7.39039946,13.47666550,13.56100464,0.06234887,0.05841820,0,0,7.74357963
43800,-0.37219715,0,-0.51082562,0.00000000,1,0,-9.29821301,-8.92601585,18.20653534,18.39413071,0.06477525,0.05668719,0,0,8.33791733
43900,0.17984390,1,0.33647224,0.67294447,1,0,-9.89901924,-10.07886314,17.26922417,17.75443649,0.11024254,0.10481039,0,0,10.38518429
44000,-0.02791595,0,-0.51082562,0.16211885,1,0,-36.09432983,-36.06641388,1.86313462,1.85788202,0.02543195,0.02478946,0,0,36.53410149
44100,-0.53920650,0,-0.51082562,0.00000000,1,0,-12.20877552,-11.66956902,15.04294872,14.50988770,0.05014256,0.05117295,0,0,12.85743942
44200,-0.35190868,0,-0.51082562,0.00000000,1,0,-11.65319061,-11.30128193,18.48852348,18.04936981,0.07354447,0.07512692,0,0,11.27081609
44300,-1.23359489,0,-0.51082562,0.00000000,1,0,-9.98753929,-8.75394440,17.10127068,17.58767891,0.13064985,0.13257717,0,0,11.08772850
44400,-0.34595585,0,-0.51082562,0.00000000,1,0,-12.09885788,-11.75290203,18.59257317,18.42837143,0.12274528,0.11503768,0,0,13.27196280
44500,-0.22519398,0,-0.51082562,0.00000000,1,0,-9.99083328,-9.76563931,17.23781395,17.75032616,0.06786832,0.06386125,0,0,12.16026115
44600,-0.58531570,0,-0.51082562,0.00000000,1,0,-9.45263863,-8.86732292,21.64322853,22.41119003,0.10266872,0.10410240,0,0,16.21506405
44700,1.57939434,1,0.33647224,1.00941671,1,0,-12.32474232,-13.90413666,13.72980881,14.03409290,0.03652579,0.03344133,0,0,12.81953182
44800,0.96286297,1,0.33647224,2.18095227,1,0,-15.47796345,-16.44082642,18.28517532,18.20342445,0.06509132,0.05814069,0,0,16.72717222
44900,-2.36980343,0,-0.51082562,0.00000000,1,0,-13.69369411,-11.32389069,17.82475853,17.89236832,0.04844795,0.04662891,0,0,15.42309443
45000,0.85085678,1,0.33647224,0.33647224,1,0,-41.96455002,-42.81540680,1.94516134,1.93978369,0.03868584,0.03455618,0,0,43.23440266
45100,-0.37782955,0,-0.51082562,0.00000000,1,0,-10.81581020,-10.43798065,18.22978783,17.99361992,0.07767778,0.08076049,0,0,11.21576468
45200,0.02101851,1,0.33647224,4.51178885,1,0,-6.34227753,-6.36329603,16.53102875,16.43755913,0.09086411,0.08351538,0,0,6.72389587
45300,1.38883686,1,0.33647224,19.51845958,1,0,-7.57831955,-8.96715641,16.13258553,16.17002678,0.05871717,0.06075849,0,0,7.46785450
45400,0.96629906,1,0.33647224,31.13593888,1,0,-7.13404846,-8.10034752,13.65065479,14.86182308,0.07007537,0.07691640,0,0,7.36722946
45500,0.54029369,1,0.33647224,37.66963101,1,0,-7.08001995,-7.62031364,16.16017532,16.67445183,0.11801510,0.11533327,0,0,6.72564363
45600,-0.50149584,0,-0.51082562,42.50872741,1,0,-7.88254499,-7.38104916,11.37349701,12.63423443,0.03496455,0.03308690,0,0,7.50769965
45700,-0.92642593,0,-0.51082562,14.30320727,1,0,-11.83088112,-10.90445518,21.48180389,21.92968369,0.09552404,0.08835141,0,0,14.34362570
45800,-0.14970207,0,-0.51082562,0.00000000,1,0,-12.07874680,-11.92904472,22.54643250,22.70900536,0.10212105,0.09672242,0,0,13.19577909
45900,-0.56929207,0,-0.51082562,0.00000000,1,0,-8.08835030,-7.51905823,16.27939987,16.08338928,0.06472895,0.05443179,0,0,12.74002361
46000,0.47245789,1,0.33647224,0.67294447,1,0,-37.99298096,-38.46543884,1.73670256,1.71531725,0.03127784,0.02938303,0,0,37.95811176
46100,-0.95536518,0,-0.51082562,0.00000000,1,0,-9.40903473,-8.45366955,14.85292053,14.03461742,0.09052256,0.07448018,0,0,15.63846302
46200,0.62399483,1,0.33647224,0.33647224,1,0,-15.07077789,-15.69477272,19.00951767,17.10526085,0.13950540,0.13420364,0,0,14.93963099
46300,0.70586586,1,0.33647224,0.33647224,1,0,-12.72051620,-13.42638206,29.31688499,27.09259033,0.16668528,0.15760575,0,0,15.66592852
46400,0.81060028,1,0.33647224,0.33647224,1,0,-19.98714066,-20.79774094,14.49151230,13.56828785,0.04517154,0.03926708,0,0,20.64503956
46500,-1.47468376,0,-0.51082562,0.00000000,1,0,-9.91342926,-8.43874550,24.48461151,23.12949944,0.06803000,0.05616526,0,0,9.62199306
46600,0.37583065,1,0.33647224,0.67294447,1,0,-14.68009186,-15.05592251,13.31317520,13.15805435,0.09511079,0.08782829,0,0,14.70515394
46700,-0.30159187,0,-0.51082562,0.49859109,1,0,-7.93377495,-7.63218307,23.65600777,22.69800568,0.12077924,0.10555854,0,0,9.65933943
46800,0.22334099,1,0.33647224,1.84448003,1,0,-5.24954319,-5.47288418,22.40887260,22.05925369,0.10580117,0.09024243,0,0,4.73470736
46900,-0.72481155,0,-0.51082562,0.00000000,1,0,-6.97865391,-6.25384235,15.90680981,16.06702995,0.06221770,0.05818538,0,0,7.56509113
47000,0.47371292,1,0.33647224,0.33647224,1,0,-51.88743210,-52.36114502,1.91888702,1.88334703,0.03503075,0.03491596,0,0,52.32183647
47100,0.25328350,1,0.33647224,0.33647224,1,0,-13.28710747,-13.54039097,21.85411072,19.46720314,0.10735643,0.10474233,0,0,14.39418316
47200,0.41477251,1,0.33647224,0.33647224,1,0,-6.66864204,-7.08341455,14.42547417,13.60709667,0.07605079,0.06993951,0,0,7.03137469
47300,0.09069061,1,0.33647224,0.33647224,1,0,-5.95432949,-6.04502010,13.98116875,14.08815384,0.04830130,0.04488253,0,0,5.74505126
47400,0.48434258,1,0.33647224,0.67294447,1,0,-6.47351074,-6.95785332,13.40755177,14.11270142,0.07812134,0.08120123,0,0,6.11682447
47500,-0.09898949,0,-0.51082562,0.00000000,1,0,-11.88777733,-11.78878784,21.79478645,21.69726181,0.09524988,0.09219905,0,0,14.41461372
47600,-0.02658176,0,-0.51082562,0.31200316,1,0,-7.09817982,-7.07159805,9.15561485,9.83102036,0.10238121,0.09917978,0,0,8.63832808
47700,0.18512535,1,0.33647224,1.67012665,1,0,-10.24837208,-10.43349743,15.04163647,15.21124458,0.06714443,0.06067478,0,0,10.46467519
47800,0.93657970,1,0.33647224,1.34588895,1,0,-7.35125637,-8.28783607,14.71778011,15.62273121,0.06365890,0.05091954,0,0,8.36376691
47900,-0.85912848,0,-0.51082562,4.49038963,1,0,-5.95703459,-5.09790611,11.99272156,13.50509071,0.07330298,0.06522411,0,0,4.83043575
48000,-0.40996933,0,-0.51082562,0.00000000,1,0,-42.05120850,-41.64123917,1.57362700,1.61458087,0.02566776,0.02369684,0,0,42.13140869
48100,-0.83340836,0,-0.51082562,0.16211885,1,0,-10.97336102,-10.13995266,21.02307129,20.85609818,0.13935195,0.12987515,0,0,nan
48200,-0.43198395,0,-0.51082562,0.00000000,1,0,-13.84897041,-13.41698647,13.26112652,13.85706043,0.07242087,0.07185161,0,0,14.41166162
48300,-2.27221060,0,-0.51082562,0.00000000,1,0,-6.71573925,-4.44352865,10.47482967,12.47589016,0.19347221,0.18361196,0,0,8.35653512
48400,-0.27132893,0,-0.51082562,0.00000000,1,0,-14.16490078,-13.89357185,15.90224361,16.49160767,0.07192706,0.06903885,0,0,14.88074589
48500,-1.13186264,0,-0.51082562,0.00000000,1,0,-7.33075905,-6.19889641,15.04981136,16.11294937,0.06318242,0.06093495,0,0,8.19177945
48600,-0.73925018,0,-0.51082562,0.00000000,1,0,-11.31820965,-10.57895947,18.58892441,19.52147675,0.07930356,0.07326123,0,0,12.35833581
48700,1.00169182,1,0.33647224,0.67294447,1,0,-12.59208298,-13.59377480,17.36866951,17.59465408,0.17494805,0.16838619,0,0,14.49410057
48800,-0.07284546,0,-0.51082562,0.00000000,1,0,-5.31089878,-5.23805332,10.99406242,12.32523441,0.06151138,0.05585323,0,0,5.04863644
48900,0.41852760,1,0.33647224,10.28382488,1,0,-8.27137470,-8.68990231,14.41570568,16.00430679,0.05849973,0.05536270,0,0,8.63102849
49000,-0.36323166,0,-0.51082562,20.20670845,1,0,-45.22222519,-44.85899353,1.54002488,1.59168184,0.02415868,0.02261005,0,0,45.87369003
49100,0.01899815,1,0.33647224,0.33647224,1,0,-5.90564346,-5.92464161,9.31549072,10.10178661,0.03795677,0.04647636,0,0,6.35947771
49200,-0.31211853,0,-0.51082562,0.00000000,1,0,-8.72241879,-8.41030025,11.06434155,12.56826115,0.05931769,0.05945323,0,0,9.75510025
49300,-0.85793066,0,-0.51082562,0.00000000,1,0,-5.75488424,-4.89695358,16.18457031,18.84775543,0.05631806,0.05571110,0,0,6.27138548
49400,-0.13843346,0,-0.51082562,0.00000000,1,0,-12.31143951,-12.17300606,23.10246468,23.96086502,0.12892655,0.12785752,0,0,16.74941730
49500,-0.46413517,0,-0.51082562,0.00000000,1,0,-9.39271736,-8.92858219,17.80039787,18.27516937,0.08911905,0.09726965,0,0,16.50559044
49600,-1.05312872,0,-0.51082562,0.00000000,1,0,-8.22522163,-7.17209291,20.73481369,21.66922188,0.13216628,0.12689975,0,0,11.55912177
49700,-1.14109993,0,-0.51082562,0.00000000,1,0,-16.07181740,-14.93071747,16.00979233,18.07207680,0.15138428,0.14619154,0,0,18.68749046
49800,-0.77040672,0,-0.51082562,0.00000000,1,0,-10.83126831,-10.06086159,20.15717888,20.86614227,0.13060215,0.12780221,0,0,14.21215801
49900,0.41213512,1,0.33647224,0.33647224,1,0,-9.99664783,-10.40878296,11.80638790,12.39267349,0.04122376,0.03751402,0,0,10.78554344
50000,0.44974518,1,0.33647224,0.33647224,1,0,-37.33185577,-37.78160095,1.63389969,1.62639868,0.02744107,0.02766194,0,0,38.26080195
50100,16.96283340,1,0.33647224,7.70215783,1,0,-13.89088535,-30.85371971,12.94709587,12.98386765,0.04115611,0.04691325,0,0,15.65815067
50200,24.44114685,1,0.33647224,32.87640289,1,0,-13.91027832,-38.35142517,14.54714298,16.17389870,0.05061866,0.05340638,0,0,15.60762715
50300,2.76748753,1,0.33647224,46.18847790,1,0,-13.09419060,-15.86167812,20.28022003,23.96663475,0.12907954,0.14934523,0,0,19.37940598
50400,26.09571648,1,0.33647224,63.73704222,1,0,-13.43271065,-39.52842712,11.97344685,14.73352432,0.05778009,0.06437933,0,0,14.60783768
50500,9.69763470,1,0.33647224,77.04911723,1,0,-12.43756199,-22.13519669,7.89629602,9.16660023,0.05216168,0.06302036,0,0,13.65396595
50600,8.78472710,1,0.33647224,86.12470294,1,0,-14.07728004,-22.86200714,11.90081215,14.26585865,0.07801814,0.06806697,0,0,14.82634258
50700,0.11181355,1,0.33647224,99.43677795,1,0,-9.32868671,-9.44050026,13.58639050,15.76253414,0.04158108,0.04976996,0,0,9.32627411
50800,0.00000000,0,0.00000000,0.00000000,0,0,-10.09434986,-10.09434986,17.89528275,17.89528275,0.09310858,0.09310858,0,902,10.55351067
50900,0.00000000,0,0.00000000,0.00000000,0,0,-13.23814392,-13.23814392,13.38196659,13.38196659,0.05765531,0.05765531,0,802,15.62847424
51000,0.00000000,0,0.00000000,0.00000000,0,0,-28.54225731,-28.54225731,1.46773267,1.46773267,0.01089073,0.01089073,0,702,28.76578789
51100,0.00000000,0,0.00000000,0.00000000,0,0,-11.68155670,-11.68155670,10.24580574,10.24580574,0.02989659,0.02989659,0,602,12.47533989
51200,0.00000000,0,0.00000000,0.00000000,0,0,-8.32243633,-8.32243633,9.21583366,9.21583366,0.06175947,0.06175947,0,502,7.46201992
51300,0.00000000,0,0.00000000,0.00000000,0,0,-10.80814362,-10.80814362,7.86464787,7.86464787,0.05189682,0.05189682,0,402,11.29355113
51400,0.00000000,0,0.00000000,0.00000000,0,0,-13.84969902,-13.84969902,8.92545700,8.92545700,0.05645783,0.05645783,0,302,19.92469406
51500,0.00000000,0,0.00000000,0.00000000,0,0,-10.01047993,-10.01047993,9.87296867,9.87296867,0.02328515,0.02328515,0,202,10.26226664
51600,0.00000000,0,0.00000000,0.00000000,0,0,-12.29736137,-12.29736137,8.28021049,8.28021049,0.03034141,0.03034141,0,102,12.55623182
51700,0.00000000,0,0.00000000,0.00000000,0,0,-9.64430428,-9.64430428,11.96376228,11.96376228,0.03130704,0.03130704,0,2,11.70848656
51800,-0.56976604,0,-0.51082562,4.35273986,1,0,-13.20744133,-12.63767529,10.64982986,10.81677437,0.03031770,0.02982324,0,0,13.57798195
51900,2.29944420,1,0.33647224,10.88643199,1,0,-9.24768257,-11.54712677,9.24513912,9.28796196,0.02644125,0.02991191,0,0,9.45661807
52000,0.28719711,1,0.33647224,2.16876263,1,0,-59.06742477,-59.35462189,1.29371786,1.29940367,0.01020818,0.01036910,0,0,59.69622421
52100,-2.31719494,0,-0.51082562,0.00000000,1,0,-12.47621250,-10.15901756,12.88279629,13.06525898,0.04337528,0.03912409,0,0,13.32060083
52200,0.12742186,1,0.33647224,5.74756696,1,0,-6.33930254,-6.46672440,6.80709505,7.44853020,0.03990087,0.04267685,0,0,6.52781073
52300,-0.09464073,0,-0.51082562,0.00000000,1,0,-6.73717308,-6.64253235,7.03187275,7.68285799,0.01615595,0.01733590,0,0,6.56872495
52400,0.48588943,1,0.33647224,0.67294447,1,0,-22.15618134,-22.64207077,7.09397125,8.06058216,0.02989842,0.03012634,0,0,23.94470644
52500,0.47859335,1,0.33647224,1.78330734,1,0,-6.56350756,-7.04210091,10.47890568,10.91463280,0.05454408,0.05323974,0,0,6.34061019
