block_index,step,E_k,W_k,mean_familiarity,mean_surprise,mean_gradient_coherence,mean_gradient_novelty,regime_change
0,10099,0.00005021,0.00000000,0.01392077,1.04126864,-0.02221855,1.02221855,0
1,10199,0.00036513,0.00000000,0.06758192,0.72356149,0.01605309,0.98394691,0
2,10299,0.00093725,0.00000000,0.13089176,0.67193914,0.06914184,0.93085816,0
3,10399,0.00341891,0.00000000,0.20840869,0.53658919,-0.00307518,1.00307518,0
4,10499,0.01247853,0.00000000,0.28339887,0.58643432,-0.01015537,1.01015537,0
5,10599,0.00376357,0.00000000,0.16537490,0.68884600,0.01011497,0.98988503,0
6,10699,0.00391530,0.00000000,0.19479598,0.55415476,0.03903345,0.96096655,0
7,10799,0.01227369,0.00000000,0.28057891,0.55600559,0.00865117,0.99134883,0
8,10899,0.01920419,0.00000000,0.31554479,0.52420306,0.02217839,0.97782161,0
9,10999,0.02429071,0.00000000,0.36753999,0.49781987,0.05367118,0.94632882,0
10,11099,0.07171324,0.00000000,0.37045309,1.33199494,-0.15350680,1.15350680,0
11,11199,0.03294808,0.00000000,0.32639252,0.96027362,-0.03856484,1.03856484,0
12,11299,0.05380808,0.00000000,0.41188854,0.69432232,0.05164586,0.94835414,0
13,11399,0.08045639,0.00000000,0.49441758,0.67395601,0.02765418,0.97234582,0
14,11499,0.05357462,0.00000000,0.48405405,0.56068455,0.07364676,0.92635324,0
15,11599,0.08338869,0.00000000,0.53140041,0.48432299,0.07349519,0.92650481,0
16,11699,0.06787932,0.00000000,0.49945520,0.49518401,0.04710755,0.95289245,0
17,11799,0.07638800,0.00000000,0.52634540,0.53624865,0.05426330,0.94573670,0
18,11899,0.09243131,0.00000000,0.58153665,0.42949673,0.08004288,0.91995712,0
19,11999,0.09685279,0.00000000,0.55986257,0.50632938,0.07723565,0.92276435,0
20,12099,0.20722255,0.00000000,0.47226645,1.14993446,-0.07105116,1.07105116,0
21,12199,0.17137426,0.00000000,0.59077463,0.73773663,-0.05349701,1.05349701,0
22,12299,0.12880785,0.00000000,0.58215879,0.59471913,0.03266338,0.96733662,0
23,12399,0.11390099,0.00000000,0.60694057,0.46043109,0.03853230,0.96146770,0
24,12499,0.13032660,0.00000000,0.63344239,0.48107429,0.03467823,0.96532177,0
25,12599,0.12904849,0.00000000,0.69068404,0.44825650,0.06530100,0.93469900,0
26,12699,0.13487034,0.00000000,0.71282095,0.40478784,0.05212716,0.94787284,0
27,12799,0.21040091,0.00000000,0.73793047,0.53885169,0.02928653,0.97071347,0
28,12899,0.19420264,0.00000000,0.74908420,0.50998991,0.04257222,0.95742778,0
29,12999,0.25591705,0.00000000,0.80047062,0.54633315,0.03525790,0.96474210,0
30,13099,0.43800935,0.00000000,0.66375250,1.21472743,-0.10732485,1.10732485,0
31,13199,0.29039759,0.00000000,0.65785988,0.78388017,0.00273102,0.99726898,0
32,13299,0.35517077,0.00000000,0.70374129,0.92506595,-0.02079908,1.02079908,0
33,13399,0.31777524,0.00000000,0.77451025,0.67075838,0.01053804,0.98946196,0
34,13499,0.29826655,0.00000000,0.75894511,0.61076688,-0.02254455,1.02254455,0
35,13599,0.35056384,0.00000000,0.77125155,0.71147630,0.08823980,0.91176020,0
36,13699,0.27279260,0.00000000,0.82893567,0.48904744,0.04175608,0.95824392,0
37,13799,0.25273391,0.00000000,0.78667986,0.52725224,0.01115069,0.98884931,0
38,13899,0.23732357,0.00000000,0.81907158,0.43551593,0.04775706,0.95224294,0
39,13999,0.30956151,0.00000000,0.87121727,0.45800363,0.04124036,0.95875964,0
40,14099,0.54023710,0.00000000,0.80686862,0.97369897,-0.06993908,1.06993908,0
