block_end_step,detector_epoch,block_valid,block_win_rate,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining
10099,0,0,1.00000000,0.01495434,1.49543356,nan,nan,nan,0,0,0,0,0,0,20
10199,0,0,0.98136683,0.05107159,5.10715917,nan,nan,nan,0,0,0,0,0,0,20
10299,0,0,0.95534813,0.08524847,8.52484678,nan,nan,nan,0,0,0,0,0,0,20
10399,0,0,0.50407752,0.14397066,14.39706634,nan,nan,nan,0,0,0,0,0,0,20
10499,0,0,0.65312449,0.16348570,16.34856975,nan,nan,nan,0,0,0,0,0,0,20
10599,0,0,0.64154212,0.20197086,20.19708589,nan,nan,nan,0,0,0,0,0,0,20
10699,0,0,0.65091644,0.22050788,22.05078778,nan,nan,nan,0,0,0,0,0,0,20
10799,0,1,0.59117520,0.32073466,32.07346583,0.59117520,0.59117520,0.00000000,0,0,0,0,0,0,19
10899,0,1,0.74339911,0.36904475,36.90447467,0.62161998,0.59269744,0.02892254,0,0,0,0,0,0,18
10999,0,1,0.63299054,0.37205572,37.20557217,0.62389409,0.59310037,0.03079372,0,0,0,0,0,0,17
11099,0,1,0.82467698,0.39896221,39.89622147,0.66405067,0.59541613,0.06863453,0,0,0,0,0,0,16
11199,0,1,0.54083116,0.34280685,34.28068508,0.63940677,0.59487029,0.04453648,0,0,0,0,0,0,15
11299,0,1,0.66182406,0.43801506,43.80150585,0.64389023,0.59553982,0.04835040,0,0,0,0,0,0,14
11399,0,1,0.51636371,0.46887682,46.88768248,0.61838492,0.59474806,0.02363686,0,0,0,0,0,0,13
11499,0,1,0.40880038,0.47197110,47.19711006,0.57646801,0.59288858,-0.01642057,0,0,0,0,0,0,12
11599,0,1,0.55673324,0.52247978,52.24797756,0.57252106,0.59252703,-0.02000597,0,0,0,0,0,0,11
11699,0,1,0.86852791,0.57368817,57.36881706,0.63172243,0.59528704,0.03643539,0,0,0,0,0,0,10
11799,0,1,0.77478906,0.59007647,59.00764690,0.66033576,0.59708206,0.06325370,0,0,0,0,0,0,9
11899,0,1,0.73357024,0.61913924,61.91392426,0.67498265,0.59844694,0.07653571,0,0,0,0,0,0,8
