block_index,step,E_k,W_k,mean_familiarity,mean_surprise,mean_gradient_coherence,mean_gradient_novelty,regime_change
0,10099,0.00000552,0.00000000,0.00570975,1.13032798,-0.10669928,1.10669928,0
1,10199,0.00037358,0.00000000,0.09044186,0.45466687,0.17335069,0.82664931,0
2,10299,0.00335723,0.00000000,0.20470027,0.49057677,0.07188223,0.92811777,0
3,10399,0.01082566,0.00000000,0.30134758,0.43116914,0.08217223,0.91782777,0
4,10499,0.03086921,0.00000000,0.42142384,0.44619443,0.05175961,0.94824039,0
5,10599,0.06017131,0.00000000,0.45263092,0.51015667,0.05438853,0.94561147,0
6,10699,0.08451453,0.00000000,0.49502899,0.52727986,0.07381998,0.92618002,0
7,10799,0.12709260,0.00000000,0.57893808,0.56746251,0.07949344,0.92050656,0
8,10899,0.14436355,0.00000000,0.66046454,0.48847344,0.07137102,0.92862898,0
9,10999,0.14847483,0.00000000,0.64734268,0.51473692,0.07279751,0.92720249,0
10,11099,0.05871385,0.00000000,0.25142266,1.40847410,-0.11421167,1.11421167,0
11,11199,0.04749514,0.00000000,0.31304677,1.00693172,-0.02968313,1.02968313,0
12,11299,0.05076791,0.00000000,0.32258051,0.97757453,0.00940028,0.99059972,0
13,11399,0.07557812,0.00000000,0.42415961,0.74778461,-0.03469437,1.03469437,0
14,11499,0.10173852,0.00000000,0.50128617,0.75604059,-0.01342461,1.01342461,0
15,11599,0.13021771,0.00000000,0.46799693,0.90849207,0.03731871,0.96268129,0
16,11699,0.19140173,0.00000000,0.71674220,0.48146167,0.05254592,0.94745408,0
17,11799,0.19371707,0.00000000,0.78153271,0.41739589,0.09847004,0.90152996,0
18,11899,0.25685630,0.00000000,0.78253679,0.49833605,0.03037642,0.96962358,0
19,11999,0.20481475,0.00000000,0.74533934,0.50251110,0.04540954,0.95459046,0
20,12099,0.25092339,0.00000000,0.62602846,0.92274708,0.04353581,0.95646419,0
21,12199,0.24944020,0.00000000,0.68302479,0.72836077,-0.00624647,1.00624647,0
22,12299,0.30010170,0.00000000,0.65321329,0.89773833,0.01871868,0.98128132,0
23,12399,0.28502717,0.00000000,0.68159756,0.74859997,0.01113708,0.98886292,0
24,12499,0.22173870,0.00000000,0.62345632,0.77579171,0.03087970,0.96912030,0
25,12599,0.23707409,0.00000000,0.80962055,0.46015490,0.08231488,0.91768512,0
26,12699,0.23181179,0.00000000,0.80603167,0.43628108,0.07265748,0.92734252,0
27,12799,0.29436587,0.00000000,0.89945749,0.41268340,0.07117943,0.92882057,0
28,12899,0.30860041,0.00000000,0.86768411,0.43911481,0.07305051,0.92694949,0
29,12999,0.26801542,0.00000000,0.84020444,0.46487991,0.00045273,0.99954727,0
