block_index,step,E_k,W_k,mean_familiarity,mean_surprise,regime_change
0,10099,0.00002948,0.00000000,0.01495434,0.99032395,0
1,10199,0.00019084,0.00000000,0.05107159,0.80820477,0
2,10299,0.00084262,0.00000000,0.08524847,0.82416399,0
3,10399,0.00240509,0.00000000,0.14120635,0.63080920,0
4,10499,0.00212777,0.00000000,0.15976975,0.55925475,0
5,10599,0.00554288,0.00000000,0.20165713,0.51824534,0
6,10699,0.00638119,0.00000000,0.21775841,0.52437784,0
7,10799,0.01498940,0.00000000,0.31668239,0.48772038,0
8,10899,0.02002606,0.00000000,0.36846756,0.45769522,0
9,10999,0.02981558,0.00000000,0.37258410,0.57076452,0
10,11099,0.08076414,0.00000000,0.39927595,0.83086236,0
11,11199,0.03415291,0.00000000,0.34162931,0.69434864,0
12,11299,0.04299704,0.00000000,0.43312865,0.49085171,0
13,11399,0.05407273,0.00000000,0.46062025,0.53858376,0
14,11499,0.05986133,0.00000000,0.46009829,0.55592133,0
15,11599,0.07479398,0.00000000,0.51551097,0.48457235,0
16,11699,0.09083252,0.00000000,0.56641251,0.45646418,0
17,11799,0.10371226,0.00000000,0.58857322,0.50700107,0
18,11899,0.12897520,0.02294913,0.61420112,0.51504517,0
19,11999,0.13108685,0.04800992,0.64926037,0.48627119,0
20,12099,0.13478787,0.07677173,0.55081973,0.80262142,0
21,12199,0.16293242,0.13367808,0.71671497,0.45186135,0
22,12299,0.17276383,0.20041585,0.70212386,0.47272451,0
23,12399,0.18543697,0.27982675,0.68766649,0.50392176,0
24,12499,0.19364310,0.36744378,0.72385283,0.50690563,0
25,12599,0.22574959,0.48716731,0.76170534,0.49592918,0
26,12699,0.24932644,0.63046768,0.78774918,0.48586970,0
27,12799,0.23317770,0.75761931,0.77092912,0.54280603,0
28,12899,0.25285596,0.90444921,0.77219437,0.55557076,0
29,12999,0.27349256,1.07191570,0.72013323,0.66522036,0
30,13099,0.32249097,1.28838060,0.60562964,1.09636730,0
31,13199,0.41258036,1.59493490,0.76138003,0.86506436,0
32,13299,0.38791495,1.87682378,0.70632331,0.90033647,0
33,13399,0.32019756,2.09099528,0.69069285,0.93916596,0
34,13499,0.28644909,2.27141831,0.80776986,0.49946854,0
35,13599,0.26774859,2.43314083,0.88031395,0.40737206,0
36,13699,0.27637695,2.60349171,0.85035036,0.43306137,0
37,13799,0.29280414,2.79026978,0.83466679,0.47885119,0
38,13899,0.32437026,3.00861397,0.83897922,0.49560669,1
39,14999,0.07614227,0.00000000,0.52029705,0.53645351,0
40,15099,0.09618786,0.00000000,0.34187980,1.12406571,0
41,15199,0.06723452,0.00000000,0.39463399,0.80820549,0
42,15299,0.11250038,0.00000000,0.47852165,0.76164821,0
43,15399,0.13306396,0.00000000,0.48058330,0.84469146,0
44,15499,0.05925526,0.00000000,0.40096840,0.66862766,0
45,15599,0.12182369,0.00000000,0.59226557,0.59873886,0
46,15699,0.18658399,0.00913635,0.72253590,0.48019518,0
47,15799,0.19492205,0.02661077,0.69938783,0.53016798,0
48,15899,0.19382278,0.04298591,0.69401109,0.60093835,0
49,15999,0.18084790,0.04638617,0.62011015,0.75490520,0
50,16099,0.30154149,0.17048003,0.59841807,0.90787062,0
51,16199,0.11971061,0.11274300,0.65829044,0.41006009,0
52,16299,0.18529725,0.12059261,0.73702538,0.42334457,0
53,16399,0.19169213,0.13483710,0.69246095,0.52976952,0
54,16499,0.16248136,0.11987083,0.65332666,0.49447201,0
55,16599,0.21340186,0.15582505,0.69505768,0.59814710,0
56,16699,0.26861516,0.24699258,0.72814718,0.57633015,0
57,16799,0.27517593,0.34472087,0.82425826,0.50120163,0
58,16899,0.28682168,0.45409492,0.84872010,0.45083410,0
59,16999,0.28751256,0.56415984,0.75994107,0.58492617,0
60,17099,0.51521959,0.90193179,0.79983318,0.90935153,0
61,17199,0.40877075,1.13325490,0.75599566,0.78609746,0
62,17299,0.40067671,1.35648398,0.70696090,0.85910509,0
63,17399,0.37430848,1.55334482,0.78943453,0.71962636,0
64,17499,0.23490831,1.61080550,0.85309118,0.36146907,0
65,17599,0.29337411,1.72673198,0.80714003,0.51268788,0
66,17699,0.27159237,1.82087671,0.82122111,0.45522873,0
67,17799,0.33907531,1.98250439,0.85776677,0.53125586,0
68,17899,0.32946129,2.13451804,0.84049612,0.53775186,0
69,17999,0.34531489,2.30238530,0.87569450,0.48987914,0
70,18099,0.55668154,2.68161920,0.88807798,0.81495501,0
71,18199,0.41721685,2.92138841,0.75017246,0.90862919,0
72,18299,0.44881272,3.19275350,0.81542688,0.74172923,1
73,19399,0.09926072,0.00000000,0.49860764,0.70888701,0
74,19499,0.10455340,0.00000000,0.56590580,0.54232713,0
75,19599,0.11756015,0.00000000,0.60349502,0.58027161,0
76,19699,0.05678925,0.00000000,0.39781423,0.67427517,0
77,19799,0.07414681,0.00000000,0.48796905,0.48637634,0
78,19899,0.09299792,0.00000000,0.53957749,0.49509175,0
79,19999,0.09503286,0.00000000,0.47922427,0.62365777,0
80,20099,0.28152952,0.08280521,0.70286782,0.85017283,0
81,20199,0.23905620,0.12313710,0.72375480,0.59491324,0
82,20299,0.16287571,0.08728849,0.60051361,0.68704191,0
83,20399,0.14662668,0.03519086,0.59566834,0.55291919,0
84,20499,0.11642313,0.00000000,0.57064378,0.49746627,0
85,20599,0.14106947,0.00000000,0.67939450,0.46932701,0
86,20699,0.17876994,0.00000000,0.63866820,0.63814463,0
87,20799,0.18141855,0.00000000,0.64543327,0.55342550,0
88,20899,0.19996217,0.00000000,0.67060177,0.57395598,0
89,20999,0.17606345,0.00000000,0.66624505,0.57564539,0
90,21099,0.41388323,0.21122103,0.69042798,0.95680513,0
