step,surprise_raw,surprise_clipped,state_action_pseudo_count,familiarity,e_t,block_E_k,W_k,block_completed,warmup_remaining,regime_change,mean_total_var,mean_epistemic_var,gradient_coherence,gradient_novelty,predictor_nll
0,9.22776985,9.22776985,0,0.00000000,0.00000000,nan,0.00000000,0,9999,0,1.00187528,0.00378657,nan,nan,100.04019547
100,7.07933331,7.07933331,0,0.00000000,0.00000000,nan,0.00000000,0,9899,0,1.10881269,0.05995845,0.42861677,0.57138323,102.38169607
200,7.09067202,7.09067202,0,0.00000000,0.00000000,nan,0.00000000,0,9799,0,2.42755938,0.60841417,0.03535224,0.96464776,142.32345581
300,3.45954800,3.45954800,0,0.00000000,0.00000000,nan,0.00000000,0,9699,0,4.09242296,0.73694682,-0.16750581,1.16750581,93.93436813
400,2.86173463,2.86173463,0,0.00000000,0.00000000,nan,0.00000000,0,9599,0,2.90921903,0.52642083,0.03317758,0.96682242,75.00897217
500,1.42664337,1.42664337,0,0.00000000,0.00000000,nan,0.00000000,0,9499,0,1.56237924,0.11198095,0.00557579,0.99442421,32.42900848
600,1.31227958,1.31227958,0,0.00000000,0.00000000,nan,0.00000000,0,9399,0,2.18117857,0.15062982,0.00837710,0.99162290,35.25777674
700,2.67302251,2.67302251,0,0.00000000,0.00000000,nan,0.00000000,0,9299,0,1.96047127,0.10087601,0.24676328,0.75323672,41.89165115
800,3.69291782,3.69291782,0,0.00000000,0.00000000,nan,0.00000000,0,9199,0,2.03463459,0.13575268,0.07933668,0.92066332,65.03680929
900,1.65220356,1.65220356,0,0.00000000,0.00000000,nan,0.00000000,0,9099,0,10.85786819,0.33791152,0.01406187,0.98593813,58.31191508
1000,5.27837229,5.27837229,0,0.00000000,0.00000000,nan,0.00000000,0,8999,0,1.05585718,0.00166521,-0.07008540,1.07008540,64.72275162
1100,2.44534540,2.44534540,0,0.00000000,0.00000000,nan,0.00000000,0,8899,0,1.53696251,0.05335253,0.35466235,0.64533765,41.85638428
1200,1.33297110,1.33297110,0,0.00000000,0.00000000,nan,0.00000000,0,8799,0,5.42474461,0.20074373,-0.04474530,1.04474530,37.85965919
1300,2.49671817,2.49671817,0,0.00000000,0.00000000,nan,0.00000000,0,8699,0,2.12756824,0.06130741,-0.03203684,1.03203684,45.94103909
1400,1.25811362,1.25811362,0,0.00000000,0.00000000,nan,0.00000000,0,8599,0,5.71254063,0.11537427,0.04770958,0.95229042,37.31922798
1500,1.76015687,1.76015687,0,0.00000000,0.00000000,nan,0.00000000,0,8499,0,7.30103731,0.21837571,0.03556142,0.96443858,46.12401199
1600,0.82205212,0.82205212,0,0.00000000,0.00000000,nan,0.00000000,0,8399,0,8.56077576,0.22422732,0.02523373,0.97476627,31.63266182
1700,0.22922322,0.22922322,0,0.00000000,0.00000000,nan,0.00000000,0,8299,0,10.91464615,0.19944409,0.02219187,0.97780813,24.74987745
1800,1.01216316,1.01216316,0,0.00000000,0.00000000,nan,0.00000000,0,8199,0,4.35045290,0.13588817,-0.05739022,1.05739022,30.93732961
1900,0.61773711,0.61773711,0,0.00000000,0.00000000,nan,0.00000000,0,8099,0,33.41820526,0.51636887,0.01803353,0.98196647,38.85319328
2000,9.14636421,9.14636421,0,0.00000000,0.00000000,nan,0.00000000,0,7999,0,1.13454986,0.00457444,0.55909703,0.44090297,99.04828644
2100,0.57406509,0.57406509,0,0.00000000,0.00000000,nan,0.00000000,0,7899,0,5.62122965,0.12271113,-0.03410666,1.03410666,26.75248241
2200,1.99969780,1.99969780,0,0.00000000,0.00000000,nan,0.00000000,0,7799,0,2.26931119,0.03754060,0.17754361,0.82245639,37.51448059
2300,1.20803773,1.20803773,0,0.00000000,0.00000000,nan,0.00000000,0,7699,0,10.58641434,0.17385827,-0.02925327,1.02925327,36.07606697
2400,0.48479688,0.48479688,0,0.00000000,0.00000000,nan,0.00000000,0,7599,0,8.63801003,0.13955478,0.02895330,0.97104670,27.32604504
2500,0.38357553,0.38357553,0,0.00000000,0.00000000,nan,0.00000000,0,7499,0,27.10749245,0.28973433,0.03471124,0.96528876,29.37250010
2600,0.18667859,0.18667859,0,0.00000000,0.00000000,nan,0.00000000,0,7399,0,39.20651245,0.39078653,0.00022374,0.99977626,27.04331827
2700,0.37973535,0.37973535,0,0.00000000,0.00000000,nan,0.00000000,0,7299,0,21.63897324,0.22106659,0.01406355,0.98593645,26.47888994
2800,0.26355812,0.26355812,0,0.00000000,0.00000000,nan,0.00000000,0,7199,0,32.62279510,0.26666525,0.01031884,0.98968116,27.61658001
