step,fast_slow_gap,fast_wins,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,warmup_remaining,predictor_nll
4600,0.75515366,1,-24.96194077,-25.71709442,37.52554703,29.68778419,0.21628810,0.24956772,5399,25.70720482
4700,0.59049797,1,-29.82202911,-30.41252708,44.96385193,40.54674149,0.19345339,0.22913568,5299,29.22538280
4800,1.21656036,1,-27.27393341,-28.49049377,20.95837593,16.20147896,0.09685837,0.10583070,5199,27.92410469
4900,-0.54687500,0,-26.10538292,-25.55850792,41.86023712,37.83099365,0.25705087,0.29697451,5099,27.34984144
5000,1.98531342,1,-68.25615692,-70.24147034,1.14561987,1.13653731,0.00394485,0.00432194,4999,67.71791077
5100,1.53494453,1,-27.43168068,-28.96662521,16.34407234,13.99736023,0.13170068,0.14730862,4899,27.93230200
5200,1.40096092,1,-23.75188255,-25.15284348,19.12124252,16.20375252,0.10544036,0.11940297,4799,24.71799850
5300,1.18864822,1,-23.89059830,-25.07924652,6.29215670,5.34139538,0.07893109,0.08996475,4699,23.89966726
5400,0.05940437,1,-31.36469650,-31.42410088,42.31727600,38.13246155,0.23839110,0.25386995,4599,39.49256897
5500,0.06823349,1,-24.17032623,-24.23855972,27.15727997,21.85530663,0.17551178,0.19945158,4499,24.08063507
5600,0.79482269,1,-23.50761032,-24.30243301,18.09675026,14.78508854,0.13263215,0.14734751,4399,23.66441154
5700,0.59530640,1,-28.26051712,-28.85582352,10.40417290,9.31211185,0.07083840,0.08085522,4299,29.46596909
5800,0.34754562,1,-24.65385056,-25.00139618,50.07028198,50.13650131,0.35410362,0.40509579,4199,29.41887856
5900,0.90863800,1,-27.39341354,-28.30205154,6.18890285,5.62945461,0.05807205,0.06224781,4099,27.59397736
6000,0.89432907,1,-63.58429337,-64.47862244,1.12771344,1.12238288,0.00253442,0.00256367,3999,64.86112722
6100,0.51063728,1,-25.34313583,-25.85377312,15.41093826,14.95443058,0.07242931,0.08343206,3899,25.59930929
6200,-0.81377411,0,-33.28640747,-32.47263336,45.01724243,41.23468781,0.21908879,0.24093848,3799,35.93970362
6300,0.29737282,1,-24.99089622,-25.28826904,26.59754753,24.12430954,0.11981551,0.13095964,3699,25.14069605
6400,-0.01852417,0,-23.55649948,-23.53797531,22.04956818,19.95285606,0.07531450,0.08250453,3599,23.15202332
6500,1.03836823,1,-27.05904770,-28.09741592,49.92289734,49.98074341,0.24533762,0.28372824,3499,27.51241684
6600,1.15194893,1,-23.58678627,-24.73873520,37.44817734,35.49014664,0.11823405,0.13719457,3399,23.97804387
6700,0.07573509,1,-31.21686363,-31.29259872,20.86465454,19.39730072,0.10388763,0.11579193,3299,32.12329721
6800,0.57623482,1,-26.28031731,-26.85655212,17.14989662,16.27335358,0.12765616,0.13783114,3199,26.81864119
6900,0.56289482,1,-22.74580574,-23.30870056,25.70089912,24.34293938,0.07705286,0.08553214,3099,22.65856028
7000,0.82727814,1,-55.33358002,-56.16085815,1.14447379,1.15005124,0.00414219,0.00426750,2999,55.48107910
7100,0.66211128,1,-29.44667053,-30.10878181,35.44622421,34.95983124,0.21007839,0.22232877,2899,31.26579158
7200,0.12037849,1,-25.89640236,-26.01678085,47.13315201,46.26946259,0.18142724,0.19445202,2799,nan
7300,0.49743462,1,-23.69444466,-24.19187927,48.11170197,48.09260941,0.18502033,0.21935232,2699,23.85321554
7400,0.67872238,1,-22.71670151,-23.39542389,49.81661224,49.83917236,0.22589439,0.25476092,2599,26.70700979
7500,0.74160004,1,-25.07378769,-25.81538773,42.35407639,42.62886429,0.15910369,0.17563230,2499,25.86785841
7600,0.28469086,1,-25.44142532,-25.72611618,43.80458832,43.98558044,0.18116185,0.19175677,2399,26.41972961
7700,0.16733932,1,-24.62150002,-24.78883934,29.99460793,31.66339111,0.12047342,0.13102953,2299,nan
7800,0.76557159,1,-24.54168701,-25.30725861,33.48589325,35.05510712,0.16593677,0.18104075,2199,23.68195629
7900,1.11721992,1,-23.05067444,-24.16789436,34.71633530,36.27170944,0.17846076,0.18981902,2099,23.45045614
8000,0.61502075,1,-73.05868530,-73.67370605,1.17914140,1.18993282,0.00455098,0.00483177,1999,75.55507151
8100,1.27003860,1,-26.33443832,-27.60447693,15.52273750,17.32591820,0.05877453,0.06682492,1899,26.57466650
8200,0.41986084,1,-25.23816681,-25.65802765,49.41574478,49.34970093,0.29394564,0.31617200,1799,37.75118351
8300,0.79374504,1,-21.33678436,-22.13052940,17.26653290,17.33531380,0.08545241,0.09342739,1699,21.61152331
8400,0.30224228,1,-23.47888565,-23.78112793,27.92955589,29.35525894,0.09194160,0.11090369,1599,23.18772554
8500,0.74808884,1,-24.31320953,-25.06129837,45.02374649,45.67607498,0.18430978,0.21454638,1499,27.36234919
8600,0.99027061,1,-24.99081993,-25.98109055,17.18410301,17.08008385,0.07380560,0.07863220,1399,25.05251455
8700,1.13699150,1,-25.77158737,-26.90857887,9.16561031,9.38149452,0.04878929,0.05494761,1299,26.34940290
8800,1.23654556,1,-21.26478195,-22.50132751,19.27448273,20.54224205,0.10730892,0.11897723,1199,21.34543419
8900,0.84772682,1,-22.56627083,-23.41399765,41.46247864,44.31087112,0.10037415,0.11508727,1099,23.92621422
9000,0.30784988,1,-43.17250061,-43.48035049,1.10229754,1.11433971,0.00202781,0.00202209,999,43.82784271
9100,2.68154716,1,-23.81388283,-26.49542999,25.61985016,26.23183250,0.08488970,0.09754265,899,24.36259222
9200,2.60773277,1,-26.29848862,-28.90622139,7.36917686,6.59824800,0.03549907,0.04283449,799,25.97150326
9300,2.66498566,1,-35.91971207,-38.58469772,25.35589027,24.71256828,0.13621777,0.14631738,699,38.16194248
