block_end_step,detector_epoch,block_valid,block_win_rate,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining
10099,0,0,1.00000000,0.01495434,1.49543356,nan,nan,nan,0,0,0,0,0,0,20
10199,0,0,0.98136683,0.05107159,5.10715917,nan,nan,nan,0,0,0,0,0,0,20
10299,0,0,0.96651110,0.08524847,8.52484678,nan,nan,nan,0,0,0,0,0,0,20
10399,0,0,0.32533983,0.14397066,14.39706634,nan,nan,nan,0,0,0,0,0,0,20
10499,0,0,0.58273415,0.16348570,16.34856975,nan,nan,nan,0,0,0,0,0,0,20
10599,0,0,0.63823596,0.20197086,20.19708589,nan,nan,nan,0,0,0,0,0,0,20
10699,0,0,0.69257217,0.22050788,22.05078778,nan,nan,nan,0,0,0,0,0,0,20
10799,0,1,0.64964331,0.32073466,32.07346583,0.64964331,0.64964331,0.00000000,0,0,0,0,0,0,19
10899,0,1,0.76108399,0.36904475,36.90447467,0.67193145,0.65075772,0.02117373,0,0,0,0,0,0,18
10999,0,1,0.71497770,0.37205572,37.20557217,0.68054070,0.65139992,0.02914078,0,0,0,0,0,0,17
11099,0,1,0.77618430,0.39896221,39.89622147,0.69966942,0.65264776,0.04702166,0,0,0,0,0,0,16
11199,0,1,0.61692456,0.34280685,34.28068508,0.68312045,0.65229053,0.03082992,0,0,0,0,0,0,15
11299,0,1,0.65294942,0.43801506,43.80150585,0.67708624,0.65229712,0.02478912,0,0,0,0,0,0,14
11399,0,1,0.57168590,0.46887682,46.88768248,0.65600617,0.65149101,0.00451517,0,0,0,0,0,0,13
11499,0,1,0.47319978,0.47197110,47.19711006,0.61944489,0.64970809,-0.03026320,0,0,0,0,0,0,12
11599,0,1,0.57350003,0.52247978,52.24797756,0.61025592,0.64894601,-0.03869009,0,0,0,0,0,0,11
11699,0,1,0.87001734,0.57368817,57.36881706,0.66220821,0.65115673,0.01105148,0,0,0,0,0,0,10
11799,0,1,0.81345595,0.59007647,59.00764690,0.69245776,0.65277972,0.03967804,0,0,0,0,0,0,9
11899,0,1,0.78482538,0.61913924,61.91392426,0.71093128,0.65410017,0.05683111,0,0,0,0,0,0,8
