step,detector_epoch,phase,transition_surprise,z_score,transition_evidence,valid_local_residual,supported_tables,median_bucket_count,block_completed,block_evidence,block_coverage,num_regions,W_t,log_p_hat,mean_total_var,mean_epistemic_var,predictor_warmup_remaining,residual_calibration_remaining,regime_change,predictor_nll
3800,0,predictor_warmup,0.99384665,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-29.51712799,8.96773243,0.07523615,6199,0,0,28.76939329
3900,0,predictor_warmup,0.35101333,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-26.96086121,46.35770416,0.26305380,6099,0,0,29.51748721
4000,0,predictor_warmup,2.74958253,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-41.67558289,1.08084214,0.00191491,5999,0,0,41.97973537
4100,0,predictor_warmup,0.98917240,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-28.39521980,4.30470419,0.08365843,5899,0,0,28.67198563
4200,0,predictor_warmup,0.89457542,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-28.68480873,5.48452091,0.07840198,5799,0,0,29.07747726
4300,0,predictor_warmup,0.43959761,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.77627182,13.79826069,0.08957635,5699,0,0,24.62957319
4400,0,predictor_warmup,0.45337063,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-27.39820862,44.20902634,0.20357510,5599,0,0,26.65818469
4500,0,predictor_warmup,0.40735018,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-26.67671204,40.78454590,0.16414285,5499,0,0,27.64977884
4600,0,predictor_warmup,0.30944398,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.96194077,37.52554703,0.21628810,5399,0,0,25.70720482
4700,0,predictor_warmup,0.75248468,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-29.82202911,44.96385193,0.19345339,5299,0,0,29.22538280
4800,0,predictor_warmup,0.65971595,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-27.27393341,20.95837593,0.09685837,5199,0,0,27.92410469
4900,0,predictor_warmup,0.43950740,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-26.10538292,41.86023712,0.25705087,5099,0,0,27.34984144
5000,0,predictor_warmup,5.69690895,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-68.25615692,1.14561987,0.00394485,4999,0,0,67.71791077
5100,0,predictor_warmup,0.60971373,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-27.43168068,16.34407234,0.13170068,4899,0,0,27.93230200
5200,0,predictor_warmup,0.33388436,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.75188255,19.12124252,0.10544036,4799,0,0,24.71799850
5300,0,predictor_warmup,0.52864957,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.89059830,6.29215670,0.07893109,4699,0,0,23.89966726
5400,0,predictor_warmup,1.06499803,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-31.36469650,42.31727600,0.23839110,4599,0,0,39.49256897
5500,0,predictor_warmup,0.34428352,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.17032623,27.15727997,0.17551178,4499,0,0,24.08063507
5600,0,predictor_warmup,0.23175934,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.50761032,18.09675026,0.13263215,4399,0,0,23.66441154
5700,0,predictor_warmup,0.87667519,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-28.26051712,10.40417290,0.07083840,4299,0,0,29.46596909
5800,0,predictor_warmup,0.39932907,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.65385056,50.07028198,0.35410362,4199,0,0,29.41887856
5900,0,predictor_warmup,0.88877988,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-27.39341354,6.18890285,0.05807205,4099,0,0,27.59397736
6000,0,predictor_warmup,5.18681002,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-63.58429337,1.12771344,0.00253442,3999,0,0,64.86112722
6100,0,predictor_warmup,0.46614912,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-25.34313583,15.41093826,0.07242931,3899,0,0,25.59930929
6200,0,predictor_warmup,1.26956439,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-33.28640747,45.01724243,0.21908879,3799,0,0,35.93970362
6300,0,predictor_warmup,0.33578387,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.99089622,26.59754753,0.11981551,3699,0,0,25.14069605
6400,0,predictor_warmup,0.22844201,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.55649948,22.04956818,0.07531450,3599,0,0,23.15202332
6500,0,predictor_warmup,0.56994843,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-27.05904770,49.92289734,0.24533762,3499,0,0,27.51241684
6600,0,predictor_warmup,0.21358296,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.58678627,37.44817734,0.11823405,3399,0,0,23.97804387
6700,0,predictor_warmup,1.20064294,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-31.21686363,20.86465454,0.10388763,3299,0,0,32.12329721
6800,0,predictor_warmup,0.62469411,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-26.28031731,17.14989662,0.12765616,3199,0,0,26.81864119
6900,0,predictor_warmup,0.25339153,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.74580574,25.70089912,0.07705286,3099,0,0,22.65856028
7000,0,predictor_warmup,4.26289463,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-55.33358002,1.14447379,0.00414219,2999,0,0,55.48107910
7100,0,predictor_warmup,0.76899129,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-29.44667053,35.44622421,0.21007839,2899,0,0,31.26579158
7200,0,predictor_warmup,0.47652021,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-25.89640236,47.13315201,0.18142724,2799,0,0,nan
7300,0,predictor_warmup,0.21755572,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.69444466,48.11170197,0.18502033,2699,0,0,23.85321554
7400,0,predictor_warmup,0.20572002,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.71670151,49.81661224,0.22589439,2599,0,0,26.70700979
7500,0,predictor_warmup,0.41483834,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-25.07378769,42.35407639,0.15910369,2499,0,0,25.86785841
7600,0,predictor_warmup,0.46954715,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-25.44142532,43.80458832,0.18116185,2399,0,0,26.41972961
7700,0,predictor_warmup,0.29433835,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.62150002,29.99460793,0.12047342,2299,0,0,nan
7800,0,predictor_warmup,0.39231595,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.54168701,33.48589325,0.16593677,2199,0,0,23.68195629
