step,fast_slow_gap,fast_wins,p0_hat,p1_hat,bernoulli_llr,cusum_W,detector_active,regime_change,p0_update_enabled,initial_warmup_remaining,calibration_remaining,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,predictor_nll
3300,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,6699,10000,-32.27674103,-32.27674103,8.76273346,8.76273346,0.12323860,0.12323860,33.85865879
3400,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,6599,10000,-31.05768394,-31.05768394,27.28626823,27.28626823,0.27386162,0.27386162,32.11307144
3500,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,6499,10000,-23.59926605,-23.59926605,8.84852409,8.84852409,0.15928517,0.15928517,23.12353849
3600,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,6399,10000,-26.53918076,-26.53918076,21.27356720,21.27356720,0.18605185,0.18605185,27.20119349
3700,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,6299,10000,-25.45646286,-25.45646286,12.98891163,12.98891163,0.16952324,0.16952324,25.22875913
3800,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,6199,10000,-29.51712799,-29.51712799,8.96773243,8.96773243,0.07523615,0.07523615,28.76939329
3900,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,6099,10000,-26.96086121,-26.96086121,46.35770416,46.35770416,0.26305380,0.26305380,29.51748721
4000,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,5999,10000,-41.67558289,-41.67558289,1.08084214,1.08084214,0.00191491,0.00191491,41.97973537
4100,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,5899,10000,-28.39521980,-28.39521980,4.30470419,4.30470419,0.08365843,0.08365843,28.67198563
4200,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,5799,10000,-28.68480873,-28.68480873,5.48452091,5.48452091,0.07840198,0.07840198,29.07747726
4300,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,5699,10000,-24.77627182,-24.77627182,13.79826069,13.79826069,0.08957635,0.08957635,24.62957319
4400,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,5599,10000,-27.39820862,-27.39820862,44.20902634,44.20902634,0.20357510,0.20357510,26.65818469
4500,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,5499,10000,-26.67671204,-26.67671204,40.78454590,40.78454590,0.16414285,0.16414285,27.64977884
4600,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,5399,10000,-24.96194077,-24.96194077,37.52554703,37.52554703,0.21628810,0.21628810,25.70720482
4700,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,5299,10000,-29.82202911,-29.82202911,44.96385193,44.96385193,0.19345339,0.19345339,29.22538280
4800,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,5199,10000,-27.27393341,-27.27393341,20.95837593,20.95837593,0.09685837,0.09685837,27.92410469
4900,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,5099,10000,-26.10538292,-26.10538292,41.86023712,41.86023712,0.25705087,0.25705087,27.34984144
5000,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,4999,10000,-68.25615692,-68.25615692,1.14561987,1.14561987,0.00394485,0.00394485,67.71791077
5100,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,4899,10000,-27.43168068,-27.43168068,16.34407234,16.34407234,0.13170068,0.13170068,27.93230200
5200,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,4799,10000,-23.75188255,-23.75188255,19.12124252,19.12124252,0.10544036,0.10544036,24.71799850
5300,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,4699,10000,-23.89059830,-23.89059830,6.29215670,6.29215670,0.07893109,0.07893109,23.89966726
5400,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,4599,10000,-31.36469650,-31.36469650,42.31727600,42.31727600,0.23839110,0.23839110,39.49256897
5500,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,4499,10000,-24.17032623,-24.17032623,27.15727997,27.15727997,0.17551178,0.17551178,24.08063507
5600,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,4399,10000,-23.50761032,-23.50761032,18.09675026,18.09675026,0.13263215,0.13263215,23.66441154
5700,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,4299,10000,-28.26051712,-28.26051712,10.40417290,10.40417290,0.07083840,0.07083840,29.46596909
5800,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,4199,10000,-24.65385056,-24.65385056,50.07028198,50.07028198,0.35410362,0.35410362,29.41887856
5900,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,4099,10000,-27.39341354,-27.39341354,6.18890285,6.18890285,0.05807205,0.05807205,27.59397736
6000,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,3999,10000,-63.58429337,-63.58429337,1.12771344,1.12771344,0.00253442,0.00253442,64.86112722
6100,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,3899,10000,-25.34313583,-25.34313583,15.41093826,15.41093826,0.07242931,0.07242931,25.59930929
6200,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,3799,10000,-33.28640747,-33.28640747,45.01724243,45.01724243,0.21908879,0.21908879,35.93970362
6300,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,3699,10000,-24.99089622,-24.99089622,26.59754753,26.59754753,0.11981551,0.11981551,25.14069605
6400,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,3599,10000,-23.55649948,-23.55649948,22.04956818,22.04956818,0.07531450,0.07531450,23.15202332
6500,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,3499,10000,-27.05904770,-27.05904770,49.92289734,49.92289734,0.24533762,0.24533762,27.51241684
6600,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,3399,10000,-23.58678627,-23.58678627,37.44817734,37.44817734,0.11823405,0.11823405,23.97804387
6700,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,3299,10000,-31.21686363,-31.21686363,20.86465454,20.86465454,0.10388763,0.10388763,32.12329721
6800,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,3199,10000,-26.28031731,-26.28031731,17.14989662,17.14989662,0.12765616,0.12765616,26.81864119
6900,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,3099,10000,-22.74580574,-22.74580574,25.70089912,25.70089912,0.07705286,0.07705286,22.65856028
7000,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,2999,10000,-55.33358002,-55.33358002,1.14447379,1.14447379,0.00414219,0.00414219,55.48107910
7100,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,2899,10000,-29.44667053,-29.44667053,35.44622421,35.44622421,0.21007839,0.21007839,31.26579158
7200,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,2799,10000,-25.89640236,-25.89640236,47.13315201,47.13315201,0.18142724,0.18142724,nan
7300,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,2699,10000,-23.69444466,-23.69444466,48.11170197,48.11170197,0.18502033,0.18502033,23.85321554
7400,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,2599,10000,-22.71670151,-22.71670151,49.81661224,49.81661224,0.22589439,0.22589439,26.70700979
7500,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,2499,10000,-25.07378769,-25.07378769,42.35407639,42.35407639,0.15910369,0.15910369,25.86785841
7600,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,2399,10000,-25.44142532,-25.44142532,43.80458832,43.80458832,0.18116185,0.18116185,26.41972961
7700,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,2299,10000,-24.62150002,-24.62150002,29.99460793,29.99460793,0.12047342,0.12047342,nan
7800,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,2199,10000,-24.54168701,-24.54168701,33.48589325,33.48589325,0.16593677,0.16593677,23.68195629
7900,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,2099,10000,-23.05067444,-23.05067444,34.71633530,34.71633530,0.17846076,0.17846076,23.45045614
8000,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,1999,10000,-73.05868530,-73.05868530,1.17914140,1.17914140,0.00455098,0.00455098,75.55507151
8100,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,1899,10000,-26.33443832,-26.33443832,15.52273750,15.52273750,0.05877453,0.05877453,26.57466650
8200,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,1799,10000,-25.23816681,-25.23816681,49.41574478,49.41574478,0.29394564,0.29394564,37.75118351
8300,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,1699,10000,-21.33678436,-21.33678436,17.26653290,17.26653290,0.08545241,0.08545241,21.61152331
8400,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,1599,10000,-23.47888565,-23.47888565,27.92955589,27.92955589,0.09194160,0.09194160,23.18772554
8500,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,1499,10000,-24.31320953,-24.31320953,45.02374649,45.02374649,0.18430978,0.18430978,27.36234919
8600,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,1399,10000,-24.99081993,-24.99081993,17.18410301,17.18410301,0.07380560,0.07380560,25.05251455
8700,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,1299,10000,-25.77158737,-25.77158737,9.16561031,9.16561031,0.04878929,0.04878929,26.34940290
8800,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,1199,10000,-21.26478195,-21.26478195,19.27448273,19.27448273,0.10730892,0.10730892,21.34543419
8900,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,1099,10000,-22.56627083,-22.56627083,41.46247864,41.46247864,0.10037415,0.10037415,23.92621422
9000,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,999,10000,-43.17250061,-43.17250061,1.10229754,1.10229754,0.00202781,0.00202781,43.82784271
9100,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,899,10000,-23.81388283,-23.81388283,25.61985016,25.61985016,0.08488970,0.08488970,24.36259222
9200,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,799,10000,-26.29848862,-26.29848862,7.36917686,7.36917686,0.03549907,0.03549907,25.97150326
9300,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,699,10000,-35.91971207,-35.91971207,25.35589027,25.35589027,0.13621777,0.13621777,38.16194248
9400,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,599,10000,-24.87935066,-24.87935066,24.88264656,24.88264656,0.08448435,0.08448435,24.97634983
9500,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,499,10000,-22.70859718,-22.70859718,40.05534363,40.05534363,0.11374584,0.11374584,23.33099747
9600,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,399,10000,-22.37786102,-22.37786102,42.77833939,42.77833939,0.12093119,0.12093119,22.52577782
9700,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,299,10000,-23.61784172,-23.61784172,48.78121567,48.78121567,0.11985564,0.11985564,27.67801793
9800,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,199,10000,-27.44944572,-27.44944572,47.85256577,47.85256577,0.15250403,0.15250403,28.95239639
9900,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,99,10000,-24.20566368,-24.20566368,25.14897919,25.14897919,0.12031296,0.12031296,24.03305244
10000,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,0,9999,-41.35081482,-41.35081482,1.11167204,1.11167204,0.00236377,0.00236377,42.45619583
10100,1.75239182,1,0.87500000,0.99500000,0.00000000,0.00000000,0,0,0,0,9899,-26.55788040,-28.31027222,14.19107533,12.76288986,0.08028081,0.08900891,27.08274269
10200,1.28939438,1,0.92272727,0.99500000,0.00000000,0.00000000,0,0,0,0,9799,-24.17138672,-25.46078110,14.04534149,12.56500435,0.06230157,0.06174585,24.73993874
10300,0.11924362,1,0.94375000,0.99500000,0.00000000,0.00000000,0,0,0,0,9699,-25.23674011,-25.35598373,26.63292503,21.81558609,0.06784263,0.06684038,25.72560946
10400,1.98748589,1,0.77380952,0.97380952,0.00000000,0.00000000,0,0,0,0,9599,-27.10895157,-29.09643745,49.29931641,47.95905304,0.10899772,0.10054109,35.38037443
10500,0.69239235,1,0.71153846,0.91153846,0.00000000,0.00000000,0,0,0,0,9499,-28.21143913,-28.90383148,10.94148254,9.55250168,0.03989489,0.03886086,28.64431877
10600,1.20482445,1,0.67096774,0.87096774,0.00000000,0.00000000,0,0,0,0,9399,-21.93986130,-23.14468575,49.85780334,48.97225571,0.19768423,0.19194661,24.16625118
10700,-0.36733437,0,0.67638889,0.87638889,0.00000000,0.00000000,0,0,0,0,9299,-23.55924797,-23.19191360,48.81784439,46.71697998,0.17590454,0.17745505,26.15995932
