step,current_error,kde_neighbors,kde_support,kde_neff,kde_mean_error,kde_std_error,trusted,z_t,L_t,W_t,mean_total_var,mean_epistemic_var,warning,frozen,warmup_remaining,regime_change,predictor_nll
1600,2.28603209,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,9.48136234,0.26109907,0,0,8399,0,26.34645017
1700,0.50013764,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,12.13135338,0.22185376,0,0,8299,0,27.19540739
1800,0.93648717,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,4.50392389,0.16306433,0,0,8199,0,41.57357915
1900,13.13054488,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,34.57239532,0.59656668,0,0,8099,0,44.08203888
2000,0.61169100,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.14135504,0.00516858,0,0,7999,0,98.69678497
2100,1.78217702,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,6.15091753,0.14072919,0,0,7899,0,33.51455355
2200,0.53282175,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,2.34609079,0.05052831,0,0,7799,0,35.90455246
2300,1.23636743,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,11.80910301,0.24095981,0,0,7699,0,24.72017288
2400,0.63413993,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,11.03219128,0.17029165,0,0,7599,0,28.67055941
2500,2.75967049,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,28.73043823,0.38630539,0,0,7499,0,37.22199504
2600,1.76370881,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,44.13665009,0.49285752,0,0,7399,0,29.27822638
2700,0.99418489,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,26.81237793,0.31910113,0,0,7299,0,31.26656628
2800,1.16468828,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,35.95686722,0.37180325,0,0,7199,0,30.97990465
2900,1.24770130,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,22.42779541,0.24223000,0,0,7099,0,30.03321695
3000,0.42434998,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.15471280,0.00440647,0,0,6999,0,77.95812988
3100,0.75138853,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,12.53888702,0.15852727,0,0,6899,0,30.02434301
3200,0.92583719,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,17.99341965,0.10193390,0,0,6799,0,28.90585518
3300,1.23069312,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,47.53451157,0.56117928,0,0,6699,0,36.18375524
3400,1.26062102,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,26.23554993,0.23890167,0,0,6599,0,27.62899081
3500,1.03534731,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,42.39938354,0.22701457,0,0,6499,0,26.96489906
3600,0.93464287,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,38.81331253,0.21552831,0,0,6399,0,28.90605068
3700,1.51308308,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,42.88401031,0.22275755,0,0,6299,0,29.39522107
3800,0.66282495,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,38.16756821,0.16116112,0,0,6199,0,28.53691991
3900,2.96913392,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,44.53873825,0.43119577,0,0,6099,0,32.16446622
4000,0.48232090,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.21787560,0.00468396,0,0,5999,0,78.16355896
4100,1.41134905,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,46.04257584,0.26235929,0,0,5899,0,32.59403515
4200,2.92797869,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,45.53118896,0.27085149,0,0,5799,0,35.22885094
4300,1.15560300,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,15.64172554,0.16952451,0,0,5699,0,29.46568756
4400,0.52716642,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,23.99401283,0.14754742,0,0,5599,0,26.17522383
4500,2.00151551,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,29.23440170,0.12871875,0,0,5499,0,28.11068217
4600,5.75546232,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,48.70096970,0.39989030,0,0,5399,0,29.89905294
4700,3.58267535,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,50.14571762,0.39073393,0,0,5299,0,33.82180341
4800,0.72255264,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,49.22187805,0.41136411,0,0,5199,0,29.38694954
4900,0.89811472,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,10.81653976,0.09686169,0,0,5099,0,32.86398277
5000,0.30320548,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.13485634,0.00379170,0,0,4999,0,48.17524465
5100,0.76867710,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,24.86544800,0.19808872,0,0,4899,0,27.83751440
5200,1.61097462,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,19.23883057,0.11812781,0,0,4799,0,26.67701492
5300,1.72592007,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,49.93024826,0.24498667,0,0,4699,0,28.04910660
5400,0.63943139,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,15.42941952,0.06330371,0,0,4599,0,28.66273165
5500,1.53979098,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,28.77538300,0.23428518,0,0,4499,0,27.74082120
5600,0.69590477,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,34.25824738,0.16401085,0,0,4399,0,27.79894943
5700,0.17207175,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,14.69450855,0.05813163,0,0,4299,0,22.42498398
5800,2.19907214,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,44.78247833,0.16452612,0,0,4199,0,25.25499344
5900,1.44467741,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,45.85656738,0.25229123,0,0,4099,0,26.32707659
6000,1.06807294,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.27211237,0.00677102,0,0,3999,0,nan
6100,0.65818589,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,15.72914982,0.09102111,0,0,3899,0,24.32145754
6200,1.77628987,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,50.20491028,0.43408385,0,0,3799,0,59.38566780
6300,1.71723174,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,50.12770081,0.42777291,0,0,3699,0,31.44103813
6400,1.44056543,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,44.61062622,0.20836876,0,0,3599,0,29.09635798
6500,0.92199242,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,34.20314407,0.16067141,0,0,3499,0,27.76316643
6600,1.63529219,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,49.93912506,0.25646359,0,0,3399,0,38.19212341
6700,0.43709877,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,16.13286591,0.10587767,0,0,3299,0,22.69525210
6800,0.91328551,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,47.75725174,0.19285072,0,0,3199,0,28.18838692
6900,0.63851855,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,17.69979095,0.09557287,0,0,3099,0,25.23064232
7000,0.44803879,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.18805718,0.00393789,0,0,2999,0,52.91308212
7100,0.48754097,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,6.93779230,0.04776109,0,0,2899,0,31.55057621
7200,0.70630112,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,17.54827499,0.06571750,0,0,2799,0,26.03707123
7300,0.77266975,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,19.47354507,0.07899281,0,0,2699,0,27.67294006
7400,1.62936706,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,33.43711472,0.12179414,0,0,2599,0,26.51558431
7500,1.40530760,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,31.32608032,0.12269863,0,0,2499,0,25.68663915
7600,0.46472195,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,28.47853661,0.05847764,0,0,2399,0,25.22558784
7700,0.27268175,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,28.47594833,0.08183685,0,0,2299,0,22.90830088
7800,1.63761486,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,35.05383682,0.17563297,0,0,2199,0,25.50397530
7900,1.03335616,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,48.50641632,0.28267914,0,0,2099,0,26.57408142
8000,0.69818107,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.19681740,0.00448860,0,0,1999,0,91.98706309
8100,0.81209262,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,46.48149872,0.09893161,0,0,1899,0,25.71693802
8200,1.02230325,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,26.97832108,0.06506670,0,0,1799,0,25.79528618
8300,0.87348164,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,39.31432724,0.11763608,0,0,1699,0,27.13939705
8400,0.86376323,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,31.47742653,0.07339772,0,0,1599,0,27.65975571
8500,0.78687056,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,3.20947433,0.01770479,0,0,1499,0,34.02839088
8600,1.11378282,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,47.06170654,0.21134260,0,0,1399,0,21.24581909
8700,1.44590465,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,12.68694401,0.06334560,0,0,1299,0,35.68012238
8800,0.84366998,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,6.84442139,0.05536332,0,0,1199,0,30.02720833
8900,0.60457598,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,31.17885590,0.08451149,0,0,1099,0,22.65190506
9000,0.46278597,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.20252573,0.00266240,0,0,999,0,49.53231716
9100,0.31183061,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,17.42333984,0.07212104,0,0,899,0,21.63798841
9200,0.30905288,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,5.85443306,0.03878755,0,0,799,0,22.98891735
9300,0.98877584,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,43.66257858,0.12099203,0,0,699,0,25.44401423
9400,1.94939984,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,38.81959534,0.13693155,0,0,599,0,25.24217529
9500,1.08346365,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,48.72404099,0.20181668,0,0,499,0,27.06171862
9600,1.19325795,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,48.86059570,0.26772392,0,0,399,0,33.41335011
9700,0.89554081,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,37.76216888,0.16737336,0,0,299,0,27.62704754
9800,0.38553064,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,3.28963757,0.01629520,0,0,199,0,24.49171448
9900,0.32491600,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,18.45031357,0.06452111,0,0,99,0,21.59862328
10000,0.45052375,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.33071184,0.00368359,0,0,0,0,53.59992695
10100,2.82770753,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,47.25263596,0.21764892,0,0,0,0,26.63850365
10200,1.09339313,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,47.43373108,0.13212803,0,0,0,0,26.33390236
10300,1.39476087,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,48.62126923,0.27882469,0,0,0,0,25.26483536
10400,0.76565528,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,48.72970581,0.11996814,0,0,0,0,22.37546062
10500,1.14479561,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,46.11051178,0.13482869,0,0,0,0,24.24534950
10600,1.21663386,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,49.62685013,0.19448042,0,0,0,0,30.49972407
10700,1.01352956,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,39.73979950,0.05281392,0,0,0,0,27.62122297
10800,2.18288793,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,49.58723068,0.14160427,0,0,0,0,37.25125885
10900,0.59347495,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,40.61268997,0.07577541,0,0,0,0,24.61337471
11000,0.34140611,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.30452299,0.00345173,0,0,0,0,47.88189316
11100,0.68631377,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,43.05932617,0.08120308,0,0,0,0,23.11526108
11200,1.37087958,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,45.38637924,0.14187366,0,0,0,0,30.61701838
11300,0.68177922,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,34.73596954,0.08384565,0,0,0,0,24.47001648
11400,0.62207383,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,8.37620354,0.03435574,0,0,0,0,29.20592054
11500,1.27470542,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,48.90818024,0.27438197,0,0,0,0,28.42456293
11600,0.87420916,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,18.31441498,0.02770873,0,0,0,0,29.34226481
11700,1.85192060,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,48.74899673,0.07227385,0,0,0,0,29.37222910
11800,0.34567640,1,0.12584079,1.00000000,1.89317334,0.00000000,0,nan,0.00000000,0.00000000,32.81217575,0.10848045,0,0,0,0,23.30693436
11900,0.98474165,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,48.83425522,0.17476007,0,0,0,0,26.39459864
12000,0.35182465,1,0.85359270,1.00000000,0.34140611,0.00000000,0,nan,0.00000000,0.00000000,1.25299203,0.00307140,0,0,0,0,38.56204453
12100,0.29200999,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,14.57743454,0.06661260,0,0,0,0,24.03055143
12200,0.56484413,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,50.01317215,0.36108658,0,0,0,0,24.93019199
12300,1.18975280,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,49.23210907,0.22191378,0,0,0,0,31.19446411
12400,0.79220489,2,0.05105973,1.99759757,0.90241490,0.22953186,0,nan,0.00000000,0.00000000,7.81524849,0.02879353,0,0,0,0,30.52302615
12500,2.27359377,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,49.90941620,0.26613453,0,0,0,0,37.42191124
12600,1.24414890,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,49.87470627,0.25778994,0,0,0,0,35.99087048
12700,1.08785225,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,26.85050201,0.06032186,0,0,0,0,29.12375641
12800,0.64833019,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,46.34549713,0.15277460,0,0,0,0,25.86746597
12900,0.67546841,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,46.68608093,0.16055870,0,0,0,0,23.52901363
13000,0.40016454,2,1.05620343,1.91987385,0.34802022,0.00501626,0,nan,0.00000000,0.00000000,1.21149290,0.00271158,0,0,0,0,49.18687820
13100,1.13312712,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,49.86951065,0.21834868,0,0,0,0,27.91094494
13200,1.07715803,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,28.34196281,0.06180927,0,0,0,0,26.35384083
13300,0.65063590,1,0.01460986,1.00000000,0.39866331,0.00000000,0,nan,0.00000000,0.00000000,39.92685318,0.09933898,0,0,0,0,21.95591291
13400,1.28208377,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,33.24600983,0.10906094,0,0,0,0,25.49614668
13500,0.64614037,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,45.12742996,0.16415374,0,0,0,0,nan
13600,0.79465194,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,19.51959991,0.04684320,0,0,0,0,28.59419250
13700,0.53809710,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,22.36356926,0.04266371,0,0,0,0,24.79618835
13800,0.96051436,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,47.39126205,0.15532395,0,0,0,0,25.26098887
13900,0.48399376,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,29.14353371,0.03853042,0,0,0,0,23.01205635
14000,0.38749481,3,0.68227286,2.76064092,0.36132061,0.02323187,0,nan,0.00000000,0.00000000,1.27987373,0.00324377,0,0,0,0,43.43179703
14100,0.88297885,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,37.02640152,0.08058072,0,0,0,0,24.72521782
14200,0.67280913,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,36.86157608,0.16815543,0,0,0,0,23.19097185
14300,0.43671672,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,21.97467804,0.07747183,0,0,0,0,20.95539602
14400,0.54377686,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,48.88621521,0.24813843,0,0,0,0,27.23273659
14500,0.50739711,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,48.04274368,0.18563777,0,0,0,0,22.11857338
14600,1.36965005,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,38.69520187,0.08630586,0,0,0,0,22.96379662
14700,0.90600862,1,0.08681359,1.00000000,0.57746965,0.00000000,0,nan,0.00000000,0.00000000,38.73432159,0.09418643,0,0,0,0,23.59632238
14800,0.47317477,1,0.02999089,1.00000000,0.97415811,0.00000000,0,nan,0.00000000,0.00000000,41.53932953,0.13963325,0,0,0,0,20.02195263
14900,0.94523282,1,0.30902961,1.00000000,0.23039822,0.00000000,0,nan,0.00000000,0.00000000,34.68907928,0.14448401,0,0,0,0,22.10666704
15000,0.31881615,3,0.49892111,2.43430376,0.42480592,0.03390959,0,nan,0.00000000,0.00000000,1.27720213,0.00471574,0,0,0,0,50.26274109
15100,0.91049146,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,49.13223267,0.37675977,0,0,0,0,34.07373428
15200,0.27990269,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,12.15431499,0.05399377,0,0,0,0,20.40481504
15300,0.43180648,1,0.01944615,1.00000000,1.03832448,0.00000000,0,nan,0.00000000,0.00000000,20.63050270,0.05769851,0,0,0,0,20.08513641
15400,0.44875323,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,10.90835762,0.04854413,0,0,0,0,22.22023710
15500,0.75562382,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,24.51314545,0.08289140,0,0,0,0,21.48102999
15600,0.34371740,1,0.14470478,1.00000000,0.34281194,0.00000000,0,nan,0.00000000,0.00000000,4.74295568,0.01862763,0,0,0,0,26.06307888
15700,0.60471717,1,0.05545379,1.00000000,0.29303193,0.00000000,0,nan,0.00000000,0.00000000,32.99267578,0.07768459,0,0,0,0,18.76445770
15800,0.60136184,4,0.64550720,2.66778097,0.67895355,0.60609268,0,nan,0.00000000,0.00000000,17.30682755,0.07164726,0,0,0,0,21.17972120
15900,0.31735684,7,1.01635769,4.98984134,0.46420698,0.19259819,0,nan,0.00000000,0.00000000,4.85102510,0.01428585,0,0,0,0,23.26684761
16000,0.35969473,3,0.27711390,2.12971997,0.17865113,0.02982068,0,nan,0.00000000,0.00000000,1.27141082,0.00348024,0,0,0,0,39.10051727
16100,0.38845566,2,0.24551993,1.61631019,0.63897083,0.25229058,0,nan,0.00000000,0.00000000,7.69712162,0.03934190,0,0,0,0,21.19544792
16200,0.92097432,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,45.07187653,0.18897445,0,0,0,0,28.70068359
16300,0.28916909,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,34.48515701,0.08080693,0,0,0,0,19.62700017
16400,0.58506506,2,0.34504685,1.47824118,0.39889516,0.00571666,0,nan,0.00000000,0.00000000,20.42996979,0.06124244,0,0,0,0,20.93775749
16500,1.75747091,1,0.05405914,1.00000000,1.24954867,0.00000000,0,nan,0.00000000,0.00000000,49.16570663,0.38799894,0,0,0,0,26.53835201
16600,1.00703167,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,40.09419250,0.11287774,0,0,0,0,28.48300870
16700,0.21681070,2,0.34464920,1.90394173,0.25153661,0.02850975,0,nan,0.00000000,0.00000000,21.55071640,0.04535789,0,0,0,0,20.32387924
16800,0.67847679,1,0.04924372,1.00000000,0.97018856,0.00000000,0,nan,0.00000000,0.00000000,39.68401718,0.17129821,0,0,0,0,21.90695572
16900,0.93457407,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,25.14475822,0.08805435,0,0,0,0,28.04408360
17000,0.39728083,5,0.69631768,3.45262374,0.44235092,0.15905374,0,nan,0.00000000,0.00000000,1.28589177,0.00448706,0,0,0,0,35.47453308
17100,1.24486511,1,0.07616800,1.00000000,0.19562985,0.00000000,0,nan,0.00000000,0.00000000,33.99066162,0.08932248,0,0,0,0,26.09983444
17200,0.79663700,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,40.58066177,0.16560549,0,0,0,0,26.28566551
17300,0.53256210,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,31.98259544,0.09807368,0,0,0,0,20.51170667
17400,0.92738064,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,44.13844299,0.28818798,0,0,0,0,28.02319972
17500,0.82809034,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,35.21330261,0.10422912,0,0,0,0,23.01640463
17600,1.04419920,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,32.17694855,0.10112990,0,0,0,0,21.36471100
17700,0.28118069,1,0.07560404,1.00000000,0.30237734,0.00000000,0,nan,0.00000000,0.00000000,23.92023659,0.07799450,0,0,0,0,19.25527954
17800,0.20860595,3,0.62924431,2.70410532,0.16418507,0.08125720,0,nan,0.00000000,0.00000000,5.33324337,0.02532044,0,0,0,0,20.00602293
17900,0.39279195,2,0.16443140,1.99366647,0.50410688,0.20694202,0,nan,0.00000000,0.00000000,6.62764978,0.03169129,0,0,0,0,23.50165558
18000,0.35405780,5,0.51558945,1.98679680,0.37408482,0.02362395,0,nan,0.00000000,0.00000000,1.58603883,0.00608604,0,0,0,0,41.74276962
18100,0.14089905,10,1.13806188,7.20902378,0.41303043,0.11191361,0,nan,0.00000000,0.00000000,20.54335213,0.07188001,0,0,0,0,16.31324673
18200,0.28437751,2,0.20943266,1.96452987,0.26599696,0.10323635,0,nan,0.00000000,0.00000000,22.59134102,0.10686040,0,0,0,0,17.58919144
18300,0.72044354,1,0.16247522,1.00000000,0.41472828,0.00000000,0,nan,0.00000000,0.00000000,27.16452408,0.08450803,0,0,0,0,25.22982264
18400,0.30995077,3,0.27302455,2.03900515,0.18983081,0.05794985,0,nan,0.00000000,0.00000000,17.51789093,0.07225090,0,0,0,0,18.40556145
18500,0.74259321,2,0.26581687,1.35286330,0.13642368,0.03094281,0,nan,0.00000000,0.00000000,13.28969193,0.04544131,0,0,0,0,21.49816084
18600,0.80926594,1,0.02181524,1.00000000,0.54431647,0.00000000,0,nan,0.00000000,0.00000000,17.01454353,0.04606133,0,0,0,0,22.65766907
