step,bucket_id,bucket_trusted,became_trusted,learning_samples,prediction_error,baseline_error_mean,baseline_error_std,z_score,L_t,W_t,warning,shadow_active,warmup_remaining,regime_change,num_trusted_buckets
6600,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,3399,0,0
6700,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,3299,0,0
6800,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,3199,0,0
6900,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,3099,0,0
7000,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,2999,0,0
7100,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,2899,0,0
7200,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,2799,0,0
7300,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,2699,0,0
7400,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,2599,0,0
7500,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,2499,0,0
7600,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,2399,0,0
7700,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,2299,0,0
7800,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,2199,0,0
7900,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,2099,0,0
8000,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,1999,0,0
8100,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,1899,0,0
8200,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,1799,0,0
8300,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,1699,0,0
8400,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,1599,0,0
8500,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,1499,0,0
8600,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,1399,0,0
8700,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,1299,0,0
8800,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,1199,0,0
8900,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,1099,0,0
9000,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,999,0,0
9100,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,899,0,0
9200,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,799,0,0
9300,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,699,0,0
9400,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,599,0,0
9500,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,499,0,0
