step,surprise_raw,surprise_clipped,state_action_pseudo_count,familiarity,e_t,block_E_k,W_k,block_completed,warmup_remaining,regime_change,mean_total_var,mean_epistemic_var,gradient_coherence,gradient_novelty,predictor_nll
0,13.35897636,13.35897636,0,0.00000000,0.00000000,nan,0.00000000,0,9999,0,1.02066398,0.00468346,nan,nan,135.27533468
100,6.95422125,6.95422125,0,0.00000000,0.00000000,nan,0.00000000,0,9899,0,1.39678073,0.15779449,0.17874991,0.82125009,96.33086014
200,5.39056158,5.39056158,0,0.00000000,0.00000000,nan,0.00000000,0,9799,0,2.34190989,0.57238770,-0.17279231,1.17279231,127.01890373
300,2.58593798,2.58593798,0,0.00000000,0.00000000,nan,0.00000000,0,9699,0,1.38451850,0.12744771,0.20665073,0.79334927,46.00848134
400,5.48336220,5.48336220,0,0.00000000,0.00000000,nan,0.00000000,0,9599,0,1.88636398,0.20144659,-0.06282412,1.06282412,89.58093071
500,8.87050819,8.87050819,0,0.00000000,0.00000000,nan,0.00000000,0,9499,0,1.17736602,0.02727742,-0.07088404,1.07088404,97.72750854
600,1.71366251,1.71366251,0,0.00000000,0.00000000,nan,0.00000000,0,9399,0,1.61291540,0.12472917,0.13827482,0.86172518,40.76278687
700,1.42652333,1.42652333,0,0.00000000,0.00000000,nan,0.00000000,0,9299,0,1.39387286,0.07378796,-0.30041736,1.30041736,32.22505474
800,3.97687960,3.97687960,0,0.00000000,0.00000000,nan,0.00000000,0,9199,0,2.72185993,0.19973767,-0.18111890,1.18111890,62.45546595
900,3.69865203,3.69865203,0,0.00000000,0.00000000,nan,0.00000000,0,9099,0,2.21413112,0.17914902,0.07601834,0.92398166,55.79612541
1000,7.59102726,7.59102726,0,0.00000000,0.00000000,nan,0.00000000,0,8999,0,1.07673514,0.00493720,-0.12885907,1.12885907,86.22233327
1100,3.09146166,3.09146166,0,0.00000000,0.00000000,nan,0.00000000,0,8899,0,4.29559803,0.26253641,-0.10151141,1.10151141,75.52842045
1200,1.88307023,1.88307023,0,0.00000000,0.00000000,nan,0.00000000,0,8799,0,8.24011326,0.34319329,-0.06895475,1.06895475,53.26381429
