block_index,step,E_k,W_k,mean_familiarity,mean_surprise,mean_gradient_coherence,mean_gradient_novelty,regime_change
72,17299,0.55757231,0.17452926,0.98631629,0.59651437,-0.07125075,1.07125075,0
73,17399,0.58314450,0.12075309,0.96452016,0.63533053,-0.01080869,1.01080869,0
74,17499,0.51623379,0.08855041,0.90547163,0.66083569,-0.08792825,1.08792825,0
75,17599,0.50289131,0.12793950,0.83582456,0.81698307,0.02788475,0.97211525,0
76,17699,0.68487789,0.17324584,0.97003664,0.74809077,0.11720492,0.88279508,0
77,17799,0.47789538,0.00000000,0.96446765,0.51936025,0.08295137,0.91704863,0
78,17899,0.45571137,0.00000000,0.99562086,0.46419139,0.08180631,0.91819369,0
79,17999,0.46921324,0.00000000,0.99122662,0.47746920,0.06064954,0.93935046,0
80,18099,0.48438118,0.00000000,0.98568381,0.50716095,0.09383580,0.90616420,0
81,18199,0.53068482,0.00000000,0.98394890,0.55319843,0.09468247,0.90531753,0
82,18299,0.51821730,0.00000000,0.98699396,0.53440747,0.05087058,0.94912942,0
83,18399,0.59225576,0.00000000,0.97889648,0.64087115,0.05855213,0.94144787,0
84,18499,0.61846091,0.00000000,0.96710553,0.69318904,0.08113626,0.91886374,0
85,18599,0.57732370,0.00000000,0.98611375,0.60940671,0.03263599,0.96736401,0
86,18699,0.62395828,0.00000000,0.97120827,0.69422999,0.07734601,0.92265399,0
87,18799,0.66801264,0.06120458,0.94133268,0.79751001,0.00591414,0.99408586,0
88,18899,0.63628792,0.04024414,0.97433173,0.69175317,0.07015448,0.92984552,0
89,18999,0.48286899,0.00000000,0.98106442,0.50773754,0.03022667,0.96977333,0
90,19099,0.59086261,0.00000000,0.99360676,0.60655844,0.10110214,0.89889786,0
91,19199,0.42459740,0.00000000,0.97960005,0.44455711,0.09006587,0.90993413,0
92,19299,0.43192125,0.00000000,0.98936360,0.45141569,0.06112624,0.93887376,0
93,19399,0.49223796,0.00000000,0.99182654,0.50301082,0.09497386,0.90502614,0
94,19499,0.52221831,0.00000000,0.99653848,0.52760266,0.05534502,0.94465498,0
95,19599,0.43558649,0.00000000,0.99849708,0.43827445,0.09632753,0.90367247,0
96,19699,0.54712012,0.00000000,0.98910188,0.56798659,0.00960175,0.99039825,0
97,19799,0.66298880,0.00651889,0.97979826,0.74188000,0.01073328,0.98926672,0
98,19899,0.67205186,0.06585787,0.94348084,0.76187242,0.09679049,0.90320951,0
99,19999,0.59003568,0.03359073,0.95804910,0.65780040,0.08913601,0.91086399,0
100,20099,1.02939188,0.36865013,0.99647360,1.04176312,-0.05415748,1.05415748,0
101,20199,0.54253388,0.24778008,0.97941787,0.57809486,-0.10739674,1.10739674,0
102,20299,0.77068535,0.41074392,0.94256860,0.90189743,-0.03146004,1.03146004,0
103,20399,0.53043953,0.33735670,0.94136304,0.62706935,0.03729345,0.96270655,0
104,20499,0.47865427,0.21967179,0.92569406,0.57896464,0.06103869,0.93896131,0
105,20599,0.44957002,0.02489608,0.96664754,0.50033441,0.06192384,0.93807616,0
106,20699,0.47180686,0.00000000,0.96488264,0.53021700,0.03877388,0.96122612,0
107,20799,0.50773848,0.00000000,0.94372289,0.57745454,0.01941806,0.98058194,0
108,20899,0.46127685,0.00000000,0.98224356,0.49069297,0.06384978,0.93615022,0
109,20999,0.47349538,0.00000000,0.98312716,0.50161383,0.04318077,0.95681923,0
110,21099,1.02554251,0.34863768,0.98622857,1.05908146,-0.01171238,1.01171238,0
111,21199,0.59621245,0.27135240,0.97803114,0.63161718,0.03309743,0.96690257,0
112,21299,0.62427393,0.26591203,0.95646011,0.70788015,-0.13768252,1.13768252,0
113,21399,0.61813955,0.23407674,0.96689243,0.69181332,0.07439336,0.92560664,0
114,21499,0.57113098,0.11990784,0.98157608,0.60528534,0.13065425,0.86934575,0
115,21599,0.49979417,0.00000000,0.99057900,0.51015517,0.11933158,0.88066842,0
116,21699,0.46468706,0.00000000,0.99053176,0.47554816,0.05449670,0.94550330,0
117,21799,0.52895509,0.00000000,0.98864594,0.54660599,-0.01793765,1.01793765,0
118,21899,0.54618537,0.00000000,0.97100602,0.61290071,-0.06673518,1.06673518,0
119,21999,0.69066532,0.04606295,0.96918614,0.77437072,-0.00506169,1.00506169,0
120,22099,0.82954226,0.19185400,0.98781457,0.86624670,0.13661989,0.86338011,0
121,22199,0.52955399,0.04940092,0.98024852,0.56995150,0.11262106,0.88737894,0
122,22299,0.54717614,0.00000000,0.95375395,0.61533060,-0.01723657,1.01723657,0
123,22399,0.61792583,0.02263867,0.92790907,0.77277699,-0.04898475,1.04898475,0
124,22499,0.51187241,0.00000000,0.96022545,0.58630783,0.00558325,0.99441675,0
125,22599,0.41637801,0.00000000,0.97471581,0.44799064,-0.00429316,1.00429316,0
126,22699,0.51240241,0.00000000,0.97713970,0.54939045,0.03804512,0.96195488,0
127,22799,0.44664739,0.00000000,0.98705602,0.46085637,0.02053429,0.97946571,0
128,22899,0.50981441,0.00000000,0.98586347,0.52859144,0.00814993,0.99185007,0
129,22999,0.49489975,0.00000000,0.95732072,0.54658753,0.04062396,0.95937604,0
130,23099,0.97296097,0.30360381,0.98107698,1.03702480,0.07666256,0.92333744,0
131,23199,0.71164012,0.36109692,0.96100419,0.76805149,0.18414583,0.81585417,0
132,23299,0.49534923,0.16351181,0.98923776,0.50907673,0.05955385,0.94044615,0
133,23399,0.65513125,0.18252459,0.96343632,0.74357698,-0.04846965,1.04846965,0
134,23499,0.43039275,0.00000000,0.97290319,0.48155908,-0.01711801,1.01711801,0
135,23599,0.49886459,0.00000000,0.96081649,0.55358960,0.00251531,0.99748469,0
136,23699,0.45127604,0.00000000,0.93035846,0.54627074,-0.03593943,1.03593943,0
137,23799,0.44433487,0.00000000,0.93619081,0.53643202,-0.07478054,1.07478054,0
138,23899,0.48306030,0.00000000,0.95448705,0.56763705,-0.04223849,1.04223849,0
139,23999,0.52223037,0.00000000,0.97102973,0.57561193,-0.00765346,1.00765346,0
140,24099,0.82723380,0.18134218,0.96872466,0.90385299,0.10042156,0.89957844,0
141,24199,0.62200351,0.15253966,0.96388669,0.69050315,0.00962457,0.99037543,0
142,24299,0.51347566,0.00000000,0.97960819,0.54140514,-0.00640502,1.00640502,0
143,24399,0.44406916,0.00000000,0.97677941,0.48034910,0.06660948,0.93339052,0
144,24499,0.41100275,0.00000000,0.98155090,0.42911696,0.03112922,0.96887078,0
145,24599,0.46164566,0.00000000,0.98078041,0.49597533,0.04369931,0.95630069,0
146,24699,0.45515375,0.00000000,0.97540124,0.49621709,0.04847303,0.95152697,0
147,24799,0.42350039,0.00000000,0.98115161,0.44873948,-0.00962473,1.00962473,0
