step,bucket_id,prediction_error,trust_distance,baseline_error_mean,baseline_error_std,z_score,L_t
14205,37,0.03260910,0.82935900,0.00647387,0.00100000,26.13523091,5.00000000
14207,37,0.14344813,0.86421670,0.00647387,0.00100000,136.97426125,5.00000000
14283,31,0.00732720,1.08613773,0.00734903,0.00100000,-0.02298225,-3.02298225
14296,31,0.06477038,0.94591184,0.00734903,0.00100000,57.42135354,5.00000000
14305,31,0.10566159,1.06199701,0.00734903,0.00100000,98.31256396,5.00000000
14307,31,0.07828892,1.35122791,0.00734903,0.00100000,70.93988819,5.00000000
14314,31,0.04426621,1.11311974,0.00734903,0.00100000,36.91718088,5.00000000
14342,37,0.04164441,0.88794611,0.00390673,0.00100000,37.73768586,5.00000000
14345,37,0.09167500,0.95762006,0.00390673,0.00100000,87.76827626,5.00000000
14353,10,0.03226418,1.49585939,0.00744399,0.00100000,24.82019072,5.00000000
14356,31,0.08916417,0.88659181,0.00698890,0.00100000,82.17526191,5.00000000
14470,10,0.01917324,1.13412472,0.00651101,0.00100000,12.66222774,5.00000000
14472,25,0.07930912,0.96638770,0.00974257,0.00100000,69.56655747,5.00000000
14502,10,0.00391233,0.97573313,0.00638107,0.00100000,-2.59867340,-5.00000000
14505,10,0.02321659,1.17565968,0.00638107,0.00100000,16.83551904,5.00000000
14510,25,0.01976039,1.18823230,0.00974257,0.00100000,10.01782514,5.00000000
14514,10,0.08304612,1.12521945,0.00638107,0.00100000,76.66505007,5.00000000
14626,10,0.01596704,0.77032650,0.00566735,0.00100000,10.29969255,5.00000000
14630,10,0.00177539,0.83654317,0.00547275,0.00100000,-3.89195829,-5.00000000
14635,16,0.00784530,1.02618029,0.00297491,0.00100000,4.87038749,1.87038749
14643,10,0.00795399,0.77496846,0.00559681,0.00100000,2.48124500,-0.51875500
14645,10,0.02441515,1.26413787,0.00559681,0.00100000,18.81834272,5.00000000
14653,25,0.01766863,0.94573376,0.00232623,0.00100000,15.34239475,5.00000000
