block_index,step,E_k,W_k,mean_familiarity,mean_surprise,regime_change
0,10099,0.00002948,0.00000000,0.01495434,0.99032395,0
1,10199,0.00019084,0.00000000,0.05107159,0.80820477,0
2,10299,0.00084262,0.00000000,0.08524847,0.82416399,0
3,10399,0.00240509,0.00000000,0.14120635,0.63080920,0
4,10499,0.00212777,0.00000000,0.15976975,0.55925475,0
5,10599,0.00554288,0.00000000,0.20165713,0.51824534,0
6,10699,0.00638119,0.00000000,0.21775841,0.52437784,0
7,10799,0.01498940,0.00000000,0.31668239,0.48772038,0
8,10899,0.02002606,0.00000000,0.36846756,0.45769522,0
9,10999,0.02981558,0.00000000,0.37258410,0.57076452,0
10,11099,0.08076414,0.00000000,0.39927595,0.83086236,0
11,11199,0.03415291,0.00000000,0.34162931,0.69434864,0
12,11299,0.04299704,0.00000000,0.43312865,0.49085171,0
13,11399,0.05407273,0.00000000,0.46062025,0.53858376,0
14,11499,0.05986133,0.00000000,0.46009829,0.55592133,0
15,11599,0.07479398,0.00000000,0.51551097,0.48457235,0
16,11699,0.09083252,0.00000000,0.56641251,0.45646418,0
17,11799,0.10371226,0.00000000,0.58857322,0.50700107,0
18,11899,0.12897520,0.00000000,0.61420112,0.51504517,0
19,11999,0.13108685,0.00000000,0.64926037,0.48627119,0
20,12099,0.13478787,0.00000000,0.55081973,0.80262142,0
21,12199,0.16293242,0.00000000,0.71671497,0.45186135,0
22,12299,0.17276383,0.00000000,0.70212386,0.47272451,0
23,12399,0.18543697,0.00000000,0.68766649,0.50392176,0
24,12499,0.19364310,0.00000000,0.72385283,0.50690563,0
25,12599,0.22574959,0.00000000,0.76170534,0.49592918,0
26,12699,0.24932644,0.00000000,0.78774918,0.48586970,0
27,12799,0.23317770,0.00000000,0.77092912,0.54280603,0
28,12899,0.25285596,0.00000000,0.77219437,0.55557076,0
29,12999,0.27349256,0.00000000,0.72013323,0.66522036,0
30,13099,0.32249097,0.00000000,0.60562964,1.09636730,0
31,13199,0.41258036,0.00000000,0.76138003,0.86506436,0
32,13299,0.38791495,0.00000000,0.70632331,0.90033647,0
33,13399,0.32019756,0.00000000,0.69069285,0.93916596,0
34,13499,0.28644909,0.00000000,0.80776986,0.49946854,0
35,13599,0.26774859,0.00000000,0.88031395,0.40737206,0
36,13699,0.27637695,0.00000000,0.85035036,0.43306137,0
37,13799,0.29280414,0.00000000,0.83466679,0.47885119,0
38,13899,0.32437026,0.00000000,0.83897922,0.49560669,0
39,13999,0.31985862,0.00000000,0.89251721,0.46436145,0
40,14099,0.45438853,0.00000000,0.72008641,1.06889689,0
41,14199,0.34999957,0.00000000,0.80467656,0.71593187,0
42,14299,0.33800465,0.00000000,0.85137869,0.55305238,0
43,14399,0.36471503,0.00000000,0.82535868,0.56641894,0
44,14499,0.33225075,0.00000000,0.86297826,0.50673724,0
45,14599,0.31558802,0.00000000,0.87271598,0.47702595,0
46,14699,0.34063602,0.00000000,0.87841221,0.48849935,0
47,14799,0.35227490,0.00000000,0.88954687,0.49171672,0
48,14899,0.39713322,0.00000000,0.89210589,0.55317630,0
49,14999,0.40954202,0.00000000,0.93366121,0.50817433,0
50,15099,0.59366458,0.00000000,0.74174309,1.15134856,0
51,15199,0.46513789,0.00000000,0.77132508,0.92119504,0
52,15299,0.54609932,0.00000000,0.81470141,0.86214029,0
53,15399,0.65352289,0.00000000,0.83211470,0.95885188,0
54,15499,0.39981022,0.00000000,0.75867448,0.77560618,0
55,15599,0.48633209,0.00000000,0.87850360,0.68384864,0
56,15699,0.45944191,0.00000000,0.93526338,0.54557132,0
57,15799,0.45468982,0.00000000,0.91028708,0.57299444,0
58,15899,0.43610230,0.00000000,0.88964427,0.61793910,0
59,15999,0.49885116,0.03299672,0.84647997,0.77845889,0
60,16099,0.61611445,0.21511939,0.81960836,0.94796746,0
61,16199,0.33658605,0.03053105,0.90620782,0.45171524,0
62,16299,0.36842894,0.00000000,0.94617514,0.42953091,0
63,16399,0.36368615,0.00000000,0.89281804,0.49504450,0
64,16499,0.30650749,0.00000000,0.87814959,0.45367447,0
65,16599,0.41501827,0.00000000,0.90114036,0.55137906,0
66,16699,0.44235424,0.00000000,0.91250073,0.55385080,0
67,16799,0.41223031,0.00000000,0.96075808,0.46524044,0
68,16899,0.37343028,0.00000000,0.96866752,0.41185132,0
69,16999,0.43478268,0.00000000,0.92378496,0.54657087,0
70,17099,0.73125015,0.18945176,0.91637302,0.89397514,0
71,17199,0.60487993,0.29482787,0.87937938,0.82431045,0
72,17299,0.61809769,0.45367549,0.84410238,0.89083741,0
73,17399,0.57593237,0.48421683,0.90515301,0.76778201,0
74,17499,0.33000605,0.19683438,0.96258982,0.36826923,0
75,17599,0.41331831,0.02797979,0.93554513,0.50509606,0
76,17699,0.37537308,0.00000000,0.93363452,0.45159729,0
77,17799,0.46067774,0.00000000,0.96679396,0.51248688,0
78,17899,0.44364907,0.00000000,0.93711258,0.52300891,0
79,17999,0.44228395,0.00000000,0.96201652,0.48620464,0
80,18099,0.73653661,0.13678964,0.95912972,0.85106166,0
81,18199,0.61764666,0.28688518,0.85885072,0.93175964,0
82,18299,0.59516693,0.34206425,0.90242897,0.77009879,0
83,18399,0.63994476,0.42943806,0.92021222,0.82021242,0
84,18499,0.50413962,0.41056597,0.90474101,0.66797122,0
85,18599,0.47023971,0.34981543,0.89945032,0.62478786,0
86,18699,0.50674449,0.31062936,0.89958207,0.65354773,0
87,18799,0.51356533,0.25755934,0.93226477,0.61148172,0
88,18899,0.47980169,0.14055001,0.94477262,0.56469491,0
89,18999,0.51382910,0.08443773,0.93163723,0.63327289,0
90,19099,0.61080060,0.14076540,0.91574785,0.75637014,0
