step,surprise_raw,surprise_clipped,state_action_pseudo_count,familiarity,e_t,block_E_k,W_k,block_completed,warmup_remaining,regime_change,mean_total_var,mean_epistemic_var,gradient_coherence,gradient_novelty,predictor_nll
0,10.51791668,10.51791668,0,0.00000000,0.00000000,nan,0.00000000,0,9999,0,1.00840271,0.00525350,nan,nan,113.08226013
100,1.62822747,1.62822747,0,0.00000000,0.00000000,nan,0.00000000,0,9899,0,1.98620713,0.51111889,-0.08528505,1.08528505,45.22295252
200,6.17164707,6.17164707,0,0.00000000,0.00000000,nan,0.00000000,0,9799,0,1.65553284,0.21831445,0.08222953,0.91777047,92.13272667
300,5.54668140,5.54668140,0,0.00000000,0.00000000,nan,0.00000000,0,9699,0,1.76845574,0.17470135,-0.27255439,1.27255439,100.46987661
400,2.86672425,2.86672425,0,0.00000000,0.00000000,nan,0.00000000,0,9599,0,1.68595839,0.10009851,-0.14631581,1.14631581,48.85418129
500,0.96035224,0.96035224,0,0.00000000,0.00000000,nan,0.00000000,0,9499,0,2.63385415,0.20163779,0.13169745,0.86830255,35.31492360
600,4.81815147,4.81815147,0,0.00000000,0.00000000,nan,0.00000000,0,9399,0,1.52459383,0.08851214,0.03518490,0.96481510,56.23835754
700,1.62626541,1.62626541,0,0.00000000,0.00000000,nan,0.00000000,0,9299,0,2.47733426,0.18332142,-0.01088503,1.01088503,37.11605453
800,4.76267433,4.76267433,0,0.00000000,0.00000000,nan,0.00000000,0,9199,0,1.67669690,0.09188892,0.06436012,0.93563988,63.60254669
900,1.40872121,1.40872121,0,0.00000000,0.00000000,nan,0.00000000,0,9099,0,3.66416001,0.19727948,0.06612929,0.93387071,39.55206223
1000,4.98465395,4.98465395,0,0.00000000,0.00000000,nan,0.00000000,0,8999,0,1.05286789,0.00281809,0.11966146,0.88033854,63.53154373
1100,3.26508641,3.26508641,0,0.00000000,0.00000000,nan,0.00000000,0,8899,0,2.14653111,0.06619158,0.21259099,0.78740901,50.84629695
1200,0.56329352,0.56329352,0,0.00000000,0.00000000,nan,0.00000000,0,8799,0,17.94391632,0.34983677,0.00828255,0.99171745,41.38666534
1300,0.43127975,0.43127975,0,0.00000000,0.00000000,nan,0.00000000,0,8699,0,7.88186836,0.29795614,-0.00151882,1.00151882,27.31434488
1400,1.85020638,1.85020638,0,0.00000000,0.00000000,nan,0.00000000,0,8599,0,3.08438897,0.10554370,-0.07012424,1.07012424,38.24344826
1500,1.24258268,1.24258268,0,0.00000000,0.00000000,nan,0.00000000,0,8499,0,11.19177055,0.21663918,-0.00646406,1.00646406,35.75775274
1600,1.39309847,1.39309847,0,0.00000000,0.00000000,nan,0.00000000,0,8399,0,3.86766338,0.09894118,0.14705238,0.85294762,33.60422516
1700,0.30390942,0.30390942,0,0.00000000,0.00000000,nan,0.00000000,0,8299,0,34.13636780,0.35177362,-0.00534268,1.00534268,31.41842461
1800,1.65353537,1.65353537,0,0.00000000,0.00000000,nan,0.00000000,0,8199,0,6.33459902,0.22667868,0.14498538,0.85501462,38.23917389
1900,0.55632818,0.55632818,0,0.00000000,0.00000000,nan,0.00000000,0,8099,0,7.75532770,0.20599300,0.01702902,0.98297098,27.90839243
2000,10.16980839,10.16980839,0,0.00000000,0.00000000,nan,0.00000000,0,7999,0,1.12389076,0.00423772,0.35787109,0.64212891,112.24531809
2100,0.32742703,0.32742703,0,0.00000000,0.00000000,nan,0.00000000,0,7899,0,13.05238819,0.25228822,-0.03087516,1.03087516,26.22812424
2200,0.72072047,0.72072047,0,0.00000000,0.00000000,nan,0.00000000,0,7799,0,7.33452940,0.12535095,-0.06998787,1.06998787,29.77985144
2300,0.27830806,0.27830806,0,0.00000000,0.00000000,nan,0.00000000,0,7699,0,28.12464333,0.29920608,0.00911314,0.99088686,28.11981964
2400,0.21597572,0.21597572,0,0.00000000,0.00000000,nan,0.00000000,0,7599,0,43.05209732,0.37977919,-0.02316943,1.02316943,32.28129196
