block_index,step,E_k,W_k,mean_familiarity,mean_surprise,mean_gradient_coherence,mean_gradient_novelty,regime_change
0,10099,0.00011392,0.00000000,0.03327961,1.04145148,-0.06394249,1.06394249,0
1,10199,0.00134486,0.00000000,0.09852623,0.79761068,0.01853535,0.98146465,0
2,10299,0.00404299,0.00000000,0.17285068,0.77065753,0.04521219,0.95478781,0
3,10399,0.01235250,0.00000000,0.28219881,0.66361312,-0.03843677,1.03843677,0
4,10499,0.01006298,0.00000000,0.21636675,0.79405184,0.08071193,0.91928807,0
5,10599,0.02391754,0.00000000,0.34174259,0.62018815,0.14341841,0.85658159,0
6,10699,0.04010519,0.00000000,0.41164433,0.60578359,0.08738408,0.91261592,0
7,10799,0.04946235,0.00000000,0.46265164,0.52414840,0.06676095,0.93323905,0
8,10899,0.06621106,0.00000000,0.51669437,0.59995147,0.04869753,0.95130247,0
9,10999,0.11512221,0.00000000,0.54410834,0.66249928,0.05208754,0.94791246,0
10,11099,0.13225020,0.00000000,0.50867970,0.71668752,0.13526404,0.86473596,0
11,11199,0.15574257,0.00000000,0.61284851,0.64245273,0.01674176,0.98325824,0
12,11299,0.16743824,0.00000000,0.59379214,0.68712747,0.09316177,0.90683823,0
13,11399,0.15575972,0.00000000,0.63560920,0.57422335,0.09565502,0.90434498,0
14,11499,0.15120069,0.00000000,0.64767320,0.59171619,0.06375264,0.93624736,0
15,11599,0.18480581,0.00000000,0.67026050,0.58700273,0.03166639,0.96833361,0
16,11699,0.24660145,0.00000000,0.70919669,0.64522469,0.06286781,0.93713219,0
17,11799,0.21209028,0.00000000,0.68342375,0.64431748,0.07239994,0.92760006,0
18,11899,0.25915080,0.00000000,0.70008240,0.71065419,0.08869738,0.91130262,0
19,11999,0.26878645,0.00000000,0.72934775,0.64036999,0.04550532,0.95449468,0
20,12099,0.32143117,0.00000000,0.69940489,0.80768820,0.03460300,0.96539700,0
21,12199,0.27168141,0.00000000,0.77476836,0.60953044,0.13132371,0.86867629,0
22,12299,0.23563093,0.00000000,0.61334147,0.87296048,0.06035589,0.93964411,0
23,12399,0.03815864,0.00000000,0.29735933,0.60059665,0.07440975,0.92559025,0
24,12499,0.05935742,0.00000000,0.41758491,0.56445468,0.04212685,0.95787315,0
25,12599,0.06835022,0.00000000,0.44139082,0.55465238,0.11664153,0.88335847,0
26,12699,0.12095038,0.00000000,0.54724595,0.58385317,0.03465010,0.96534990,0
27,12799,0.08601290,0.00000000,0.53848480,0.48755816,0.08219929,0.91780071,0
28,12899,0.10696731,0.00000000,0.54522806,0.53470419,0.05841477,0.94158523,0
29,12999,0.10602116,0.00000000,0.53841921,0.55766842,0.03632899,0.96367101,0
30,13099,0.54334541,0.00000000,0.82792844,0.91733276,0.00783633,0.99216367,0
31,13199,0.40401650,0.00000000,0.84186530,0.66888063,0.02180074,0.97819926,0
32,13299,0.35755969,0.00000000,0.87491863,0.52720553,0.05268799,0.94731201,0
33,13399,0.34670004,0.00000000,0.83452648,0.55402381,0.01199202,0.98800798,0
34,13499,0.44211663,0.00000000,0.86276283,0.63300538,0.05179291,0.94820709,0
35,13599,0.36859498,0.00000000,0.82527117,0.64526453,0.04895276,0.95104724,0
36,13699,0.37848056,0.00000000,0.91147227,0.50845855,0.17755968,0.82244032,0
37,13799,0.41400386,0.00000000,0.89992014,0.54810781,0.12560451,0.87439549,0
38,13899,0.33650317,0.00000000,0.69982371,0.83248150,0.13558438,0.86441562,0
39,13999,0.20379506,0.00000000,0.65166584,0.61948472,0.01309470,0.98690530,0
40,14099,0.45730165,0.00000000,0.86357057,0.66742297,0.02350925,0.97649075,0
41,14199,0.41842101,0.00000000,0.84627400,0.64337106,0.00112919,0.99887081,0
42,14299,0.38768399,0.00000000,0.83770214,0.62077338,0.00046277,0.99953723,0
43,14399,0.22220817,0.00000000,0.64775448,0.71318925,-0.01465092,1.01465092,0
44,14499,0.18098801,0.00000000,0.71194584,0.46977278,0.05335083,0.94664917,0
45,14599,0.20257830,0.00000000,0.75430140,0.45714931,0.03883677,0.96116323,0
46,14699,0.20928214,0.00000000,0.73855371,0.51127298,-0.01296117,1.01296117,0
47,14799,0.22884007,0.00000000,0.74373595,0.52730174,-0.01246527,1.01246527,0
48,14899,0.28481003,0.00000000,0.76672107,0.58579462,0.09470527,0.90529473,0
49,14999,0.19961016,0.00000000,0.72753971,0.46851918,0.09388291,0.90611709,0
50,15099,0.60975221,0.00000000,0.84327641,0.87347071,0.00658078,0.99341922,0
51,15199,0.45631014,0.00000000,0.89440021,0.61665776,0.06598006,0.93401994,0
52,15299,0.45305885,0.00000000,0.90764261,0.57254776,0.06164803,0.93835197,0
53,15399,0.51084105,0.00000000,0.94160511,0.60254466,0.00662430,0.99337570,0
54,15499,0.48530426,0.00000000,0.93937291,0.56866949,0.03198210,0.96801790,0
55,15599,0.45867362,0.00000000,0.94085800,0.55085217,0.01557080,0.98442920,0
56,15699,0.36895481,0.00000000,0.92740541,0.47134218,0.00394135,0.99605865,0
57,15799,0.48290700,0.00000000,0.93749633,0.57640842,0.04483351,0.95516649,0
58,15899,0.43092113,0.00000000,0.96492008,0.49373115,0.25334377,0.74665623,0
59,15999,0.42928776,0.00000000,0.97630030,0.46873089,0.15476842,0.84523158,0
60,16099,0.45824569,0.00000000,0.94953945,0.52521006,0.09916228,0.90083772,0
61,16199,0.36661358,0.00000000,0.97998382,0.39766562,0.13357244,0.86642756,0
62,16299,0.43631117,0.00000000,0.98682923,0.45677633,0.09403465,0.90596535,0
63,16399,0.45456276,0.00000000,0.96778702,0.49561771,0.14945545,0.85054455,0
64,16499,0.49969777,0.00000000,0.97428981,0.53282612,0.15439747,0.84560253,0
65,16599,0.50335976,0.00000000,0.97971550,0.54317540,0.12790648,0.87209352,0
66,16699,0.50852371,0.00000000,0.97915030,0.55178058,0.08840975,0.91159025,0
67,16799,0.56827322,0.00000000,0.97948489,0.62301433,0.07395671,0.92604329,0
68,16899,0.50010610,0.00000000,0.97626304,0.53263735,0.04773136,0.95226864,0
69,16999,0.47009897,0.00000000,0.98892908,0.48657564,0.07284757,0.92715243,0
70,17099,0.76755178,0.16041021,0.94186398,0.88599872,-0.01984746,1.01984746,0
71,17199,0.54664699,0.04805582,0.97822960,0.58464710,0.03761320,0.96238680,0
72,17299,0.52990264,0.00000000,0.97821655,0.57463341,0.06360062,0.93639938,0
73,17399,0.54076674,0.00000000,0.98950423,0.56437578,0.09783534,0.90216466,0
74,17499,0.51373555,0.00000000,0.97971922,0.55326745,0.06800678,0.93199322,0
75,17599,0.62443000,0.00000000,0.98959544,0.64443658,0.11973903,0.88026097,0
76,17699,0.55632084,0.00000000,0.97551889,0.59497787,0.03798781,0.96201219,0
77,17799,0.59739053,0.00000000,0.96034960,0.68530291,0.00557467,0.99442533,0
78,17899,0.54009809,0.00000000,0.92503436,0.64531122,0.06755897,0.93244103,0
79,17999,0.59364449,0.00000000,0.97008127,0.63257312,-0.02193643,1.02193643,0
80,18099,1.08389013,0.48611435,0.93572222,1.28022660,-0.01687403,1.01687403,0
81,18199,0.52802699,0.38680421,0.94737258,0.61787575,0.10744967,0.89255033,0
82,18299,0.51773119,0.25220297,0.96087096,0.57014109,0.03184708,0.96815292,0
83,18399,0.48883902,0.06576588,0.98042573,0.51643950,0.03457415,0.96542585,0
84,18499,0.71171184,0.10173291,0.98405468,0.75901971,0.03681859,0.96318141,0
85,18599,0.53453646,0.00000000,0.97918553,0.56886041,0.12321197,0.87678803,0
86,18699,0.56697182,0.00000000,0.95641765,0.63204063,-0.01360603,1.01360603,0
87,18799,0.51190035,0.00000000,0.98393127,0.54014082,0.04747723,0.95252277,0
88,18899,0.57090882,0.00000000,0.97947630,0.61618387,-0.02383732,1.02383732,0
89,18999,0.60783099,0.00000000,0.96454225,0.68451860,0.04182004,0.95817996,0
90,19099,0.84601590,0.22286653,0.95494227,0.98980252,0.03411879,0.96588121,0
91,19199,0.55294310,0.09701707,0.98172309,0.59254484,0.12566556,0.87433444,0
92,19299,0.49431621,0.00000000,0.97684814,0.52990882,0.03343290,0.96656710,0
93,19399,0.50052170,0.00000000,0.96422307,0.55912886,0.03216675,0.96783325,0
94,19499,0.47074603,0.00000000,0.97279824,0.51085080,0.06213324,0.93786676,0
95,19599,0.52901456,0.00000000,0.97735899,0.56204611,0.01113316,0.98886684,0
96,19699,0.44361586,0.00000000,0.96547143,0.48148558,0.05519224,0.94480776,0
97,19799,0.51574382,0.00000000,0.97556849,0.55888606,0.06428382,0.93571618,0
98,19899,0.54373002,0.00000000,0.94375256,0.63465436,0.00357109,0.99642891,0
99,19999,0.54135035,0.00000000,0.97162365,0.59374319,0.05437331,0.94562669,0
100,20099,0.94452149,0.34881704,0.93553564,1.11077581,-0.09573698,1.09573698,0
101,20199,0.68275828,0.46359449,0.92300241,0.86487746,0.03252236,0.96747764,0
102,20299,0.54222093,0.41729853,0.93028245,0.68814172,0.16447999,0.83552001,0
103,20399,0.53205080,0.27728300,0.97821289,0.57198078,0.05624335,0.94375665,0
104,20499,0.69563832,0.35310497,0.94420504,0.82765955,-0.09804216,1.09804216,0
105,20599,0.54088174,0.23452021,0.96638137,0.59798736,0.11368308,0.88631692,0
106,20699,0.46899916,0.00979500,0.98764195,0.49181781,0.05452541,0.94547459,0
107,20799,0.48777652,0.00000000,0.99367997,0.49987084,0.07568659,0.92431341,0
108,20899,0.51290629,0.00000000,0.97340523,0.54066208,0.07285571,0.92714429,0
109,20999,0.48181356,0.00000000,0.98535854,0.50441114,0.01056324,0.98943676,0
110,21099,0.86747688,0.23495165,0.95172349,0.99031562,-0.15094430,1.15094430,0
111,21199,0.53473854,0.08971164,0.98047983,0.56056750,0.16315317,0.83684683,0
112,21299,0.53656569,0.00000000,0.99248900,0.55066001,0.03504594,0.96495406,0
113,21399,0.51836295,0.00000000,0.99401993,0.53053171,0.05786166,0.94213834,0
114,21499,0.48951714,0.00000000,0.98381322,0.51268330,-0.00688165,1.00688165,0
115,21599,0.58882409,0.00000000,0.98094332,0.62886795,0.01811599,0.98188401,0
116,21699,0.57945335,0.02177967,0.88567276,0.92017583,0.03498237,0.96501763,0
117,21799,0.49083642,0.03519817,0.85408924,0.83105692,0.02133284,0.97866716,0
118,21899,0.35678001,0.00000000,0.87169371,0.54806698,0.05786207,0.94213793,0
119,21999,0.34793453,0.00000000,0.81646782,0.57095990,0.02475068,0.97524932,0
120,22099,0.98690884,0.33358769,0.96256303,1.09575542,-0.09132011,1.09132011,0
121,22199,0.63342705,0.26886124,0.98893329,0.65441250,0.06549508,0.93450492,0
122,22299,0.49061532,0.04756185,0.99381993,0.49716314,0.00206777,0.99793223,0
123,22399,0.46632109,0.00000000,0.99716158,0.47007898,-0.01751958,1.01751958,0
124,22499,0.47927992,0.00000000,0.99801966,0.48217184,-0.00449932,1.00449932,0
125,22599,0.49137941,0.00000000,0.98457017,0.50676815,0.03652477,0.96347523,0
126,22699,0.49213887,0.00000000,0.99402980,0.50266595,0.04379791,0.95620209,0
127,22799,0.43389631,0.00000000,0.99425096,0.44314609,0.02865465,0.97134535,0
128,22899,0.41017682,0.00000000,0.99768250,0.41511797,0.00203432,0.99796568,0
129,22999,0.52612735,0.00000000,0.99761045,0.52954755,0.03488071,0.96511929,0
130,23099,0.84015442,0.15646897,0.98600307,0.88822625,-0.02986390,1.02986390,0
131,23199,0.48461960,0.00000000,0.95991300,0.54803895,0.02248063,0.97751937,0
132,23299,0.51698174,0.00000000,0.97279580,0.55457953,0.00810248,0.99189752,0
133,23399,0.52880412,0.00000000,0.99463011,0.53671401,0.01612379,0.98387621,0
134,23499,0.51555834,0.00000000,0.97539510,0.55342039,0.02469443,0.97530557,0
135,23599,0.56088724,0.00000000,0.98623653,0.58234451,0.01616528,0.98383472,0
136,23699,0.50375024,0.00000000,0.99253155,0.51684955,0.04698744,0.95301256,0
137,23799,0.54403694,0.00000000,0.97351979,0.59032435,0.01100721,0.98899279,0
138,23899,0.64895540,0.14182064,0.88732929,0.96960395,0.01122579,0.98877421,0
139,23999,0.47584044,0.13203453,0.86573000,0.72333112,0.00206156,0.99793844,0
140,24099,1.00392361,0.49966274,0.95820687,1.13332775,-0.00064860,1.00064860,0
141,24199,0.50933635,0.32271225,0.98045545,0.53040252,0.03644784,0.96355216,0
142,24299,0.47128512,0.09715571,0.99053218,0.48861668,-0.00151378,1.00151378,0
143,24399,0.48737251,0.00000000,0.95098761,0.54570956,0.01273384,0.98726616,0
144,24499,0.54536133,0.00000000,0.97404967,0.59030888,0.05738037,0.94261963,0
145,24599,0.49440567,0.00000000,0.87495621,0.70331411,0.01435371,0.98564629,0
146,24699,0.44022695,0.00000000,0.92045117,0.55738541,-0.00161738,1.00161738,0
147,24799,0.50182446,0.00000000,0.91226001,0.66324373,-0.01158684,1.01158684,0
148,24899,0.43455176,0.00000000,0.92532864,0.55662075,-0.04006442,1.04006442,0
149,24999,0.41968274,0.00000000,0.88597743,0.58811693,-0.00439917,1.00439917,0
150,25099,0.80995103,0.16325080,0.96138767,0.88577006,0.06502227,0.93497773,0
151,25199,0.55696321,0.12103847,0.93876482,0.65754278,-0.00747635,1.00747635,0
152,25299,0.33371840,0.00000000,0.90057986,0.45691213,0.01600438,0.98399562,0
153,25399,0.41902450,0.00000000,0.92411889,0.54602922,-0.02057294,1.02057294,0
154,25499,0.36705268,0.00000000,0.92657089,0.46977918,0.01384489,0.98615511,0
155,25599,0.41765720,0.00000000,0.90510442,0.54896966,0.01162683,0.98837317,0
156,25699,0.47462281,0.00000000,0.93742215,0.56945171,-0.00805729,1.00805729,0
157,25799,0.46222972,0.00000000,0.93692822,0.55551111,-0.02307039,1.02307039,0
158,25899,0.45821093,0.00000000,0.91673157,0.59926786,0.01135197,0.98864803,0
159,25999,0.38462753,0.00000000,0.95292257,0.45359335,0.02482229,0.97517771,0
160,26099,0.86258150,0.23498270,0.94373939,0.96715773,-0.01986671,1.01986671,0
161,26199,0.60033899,0.21693427,0.95540493,0.71045595,-0.05003746,1.05003746,0
162,26299,0.39140660,0.00376845,0.93622710,0.47893788,0.00920899,0.99079101,0
163,26399,0.40649861,0.00000000,0.94778519,0.48325981,0.02456229,0.97543771,0
164,26499,0.43044600,0.00000000,0.95808703,0.48333099,-0.01617172,1.01617172,0
165,26599,0.47032033,0.00000000,0.93310747,0.57234534,-0.01956673,1.01956673,0
166,26699,0.46190856,0.00000000,0.94643203,0.55393906,0.00230243,0.99769757,0
167,26799,0.50655842,0.00000000,0.94320267,0.61011072,0.00491273,0.99508727,0
168,26899,0.47901260,0.00000000,0.93662379,0.57751868,-0.06191455,1.06191455,0
169,26999,0.40729336,0.00000000,0.89460013,0.57741438,-0.04873005,1.04873005,0
170,27099,0.93648252,0.33682941,0.92831754,1.12631872,0.00400652,0.99599348,0
171,27199,0.69788155,0.36232420,0.97873554,0.73027025,0.01496010,0.98503990,0
172,27299,0.56696854,0.23839650,0.98635177,0.57971067,0.03329285,0.96670715,0
173,27399,0.58373154,0.13321699,0.98727301,0.60342689,0.03813448,0.96186552,0
