step,detector_epoch,fast_slow_gap,fast_wins,state_action_pseudo_count,state_action_familiarity_weight,familiarity_ready,familiarity_warmup_remaining,block_completed,block_valid,block_win_rate,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining,initial_warmup_remaining,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,predictor_nll
2700,0,0.00000000,0,0,0.00000000,0,7299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7299,-24.62111664,-24.62111664,2.25901794,2.25901794,0.07937131,0.07937131,24.89576340
2800,0,0.00000000,0,0,0.00000000,0,7199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7199,-24.59220886,-24.59220886,5.04638243,5.04638243,0.15468822,0.15468822,24.31203461
2900,0,0.00000000,0,0,0.00000000,0,7099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7099,-31.62688255,-31.62688255,20.65393066,20.65393066,0.37811673,0.37811673,35.80639394
3000,0,0.00000000,0,0,0.00000000,0,6999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6999,-91.19754791,-91.19754791,1.10254622,1.10254622,0.00538231,0.00538231,92.06778564
3100,0,0.00000000,0,0,0.00000000,0,6899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6899,-32.20835495,-32.20835495,9.69039440,9.69039440,0.24321148,0.24321148,35.20219803
3200,0,0.00000000,0,0,0.00000000,0,6799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6799,-29.35765457,-29.35765457,11.04676914,11.04676914,0.26685953,0.26685953,30.85844088
3300,0,0.00000000,0,0,0.00000000,0,6699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6699,-42.59527588,-42.59527588,4.17643166,4.17643166,0.14737855,0.14737855,47.61611366
3400,0,0.00000000,0,0,0.00000000,0,6599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6599,-36.50709534,-36.50709534,12.05018044,12.05018044,0.32571143,0.32571143,40.35771306
3500,0,0.00000000,0,0,0.00000000,0,6499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6499,-23.83665848,-23.83665848,4.48682737,4.48682737,0.17018512,0.17018512,23.27283716
3600,0,0.00000000,0,0,0.00000000,0,6399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6399,-28.40160179,-28.40160179,10.07186508,10.07186508,0.22585467,0.22585467,28.57024765
3700,0,0.00000000,0,0,0.00000000,0,6299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6299,-27.77413177,-27.77413177,6.33063316,6.33063316,0.19878858,0.19878858,27.54882876
3800,0,0.00000000,0,0,0.00000000,0,6199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6199,-34.53091431,-34.53091431,5.09785271,5.09785271,0.09847835,0.09847835,33.75481160
3900,0,0.00000000,0,0,0.00000000,0,6099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6099,-28.37684822,-28.37684822,35.49637604,35.49637604,0.36117715,0.36117715,31.82617060
