step,bucket_id,prediction_error,trust_distance,baseline_error_mean,baseline_error_std,z_score,L_t
42317,4892,0.03279529,0.89572619,0.00945487,0.00100000,23.34041293,5.00000000
42346,4892,0.01081327,0.76460728,0.00952279,0.00100000,1.35839908,-1.64160092
42386,4108,0.13825629,0.89559083,0.00587375,0.00100000,132.38254242,5.00000000
42609,4364,0.01091968,0.76491505,0.00625865,0.00100000,4.66102133,1.66102133
42659,7709,0.03711805,0.82347549,0.00478091,0.00100000,32.33713793,5.00000000
42663,7709,0.03933027,0.78313814,0.00478091,0.00100000,34.54935687,5.00000000
42691,4364,0.06231858,0.93596405,0.00625865,0.00100000,56.05992602,5.00000000
43962,7897,0.02025278,0.69574950,0.00882007,0.00100000,11.43271233,5.00000000
43990,4876,0.07821191,1.00628753,0.00737829,0.00100000,70.83362058,5.00000000
43994,7897,0.01943604,0.80862672,0.00882007,0.00100000,10.61596931,5.00000000
44090,7897,0.05517165,0.77037979,0.00882007,0.00100000,46.35158580,5.00000000
44176,7389,0.01516693,0.68483063,0.00997317,0.00100000,5.19375808,2.19375808
44194,8153,0.06406726,1.14520336,0.00589128,0.00100000,58.17598465,5.00000000
44238,4876,0.02117452,0.85450160,0.00969842,0.00100000,11.47610109,5.00000000
44270,8153,0.02819015,0.92112726,0.00589128,0.00100000,22.29887080,5.00000000
44358,7897,0.08285465,0.79849680,0.00883718,0.00100000,74.01747249,5.00000000
44373,7897,0.02951881,0.72911286,0.00883718,0.00100000,20.68163265,5.00000000
44393,4908,0.02599324,1.02490078,0.00589010,0.00100000,20.10314332,5.00000000
44496,7897,0.03794560,0.97901524,0.00883718,0.00100000,29.10842094,5.00000000
44615,7897,0.03828915,1.03014794,0.00796048,0.00100000,30.32867326,5.00000000
44635,7897,0.09126068,1.04983146,0.00796048,0.00100000,83.30020006,5.00000000
44680,7897,0.11258647,0.95089602,0.00796048,0.00100000,104.62598793,5.00000000
44701,7897,0.01937471,0.94243776,0.00796048,0.00100000,11.41423479,5.00000000
44833,7897,0.03686009,0.67971689,0.00587855,0.00100000,30.98153970,5.00000000
44926,7773,0.02762766,0.75338991,0.00569058,0.00100000,21.93708473,5.00000000
44950,7897,0.05446763,0.75404375,0.00587855,0.00100000,48.58907876,5.00000000
44975,7897,0.01066447,0.95764172,0.00587855,0.00100000,4.78592445,1.78592445
45144,7897,0.02464895,0.83354254,0.00954717,0.00100000,15.10177348,5.00000000
45179,7897,0.02405322,0.65748648,0.00954717,0.00100000,14.50604610,5.00000000
45206,7897,0.03473553,1.03372087,0.00954717,0.00100000,25.18835817,5.00000000
45211,7897,0.09670203,0.81648338,0.00954717,0.00100000,87.15485762,5.00000000
45440,7385,0.14967266,0.43231359,0.00953673,0.00100000,140.13593065,5.00000000
45571,7385,0.00944047,0.73716682,0.00953192,0.00100000,-0.09626350,-3.09626350
45607,7385,0.06439034,0.97970315,0.00953192,0.00100000,54.85841488,5.00000000
45685,4398,0.07821913,0.91298333,0.00910117,0.00100000,69.11796681,5.00000000
45744,7385,0.04571223,0.64678404,0.00953192,0.00100000,36.18030651,5.00000000
46170,3289,0.04331479,0.87031523,0.00686036,0.00100000,36.45443469,5.00000000
46183,3289,0.04133583,0.62820830,0.00686036,0.00100000,34.47547481,5.00000000
46252,3289,0.07264980,0.72201724,0.00686036,0.00100000,65.78943971,5.00000000
46266,3289,0.09615374,0.64559801,0.00686036,0.00100000,89.29338018,5.00000000
46661,8177,0.03541051,0.80092560,0.00854903,0.00100000,26.86148374,5.00000000
46720,8177,0.04960879,1.06128587,0.00854903,0.00100000,41.05976633,5.00000000
46729,7897,0.09751778,0.82871226,0.00865795,0.00100000,88.85982297,5.00000000
46756,8153,0.05699959,0.92314254,0.00692823,0.00100000,50.07136059,5.00000000
46879,7897,0.07801701,0.83780584,0.00565138,0.00100000,72.36563486,5.00000000
46883,8153,0.05224839,0.76737595,0.00714960,0.00100000,45.09878746,5.00000000
46917,8153,0.01650170,0.71551454,0.00714960,0.00100000,9.35210615,5.00000000
46926,7897,0.02369980,0.62459738,0.00565138,0.00100000,18.04842779,5.00000000
46997,7897,0.02196831,0.74529815,0.00420208,0.00100000,17.76622924,5.00000000
47037,1217,0.06267869,0.51121267,0.00645546,0.00100000,56.22322906,5.00000000
47042,1217,0.05406406,0.76949128,0.00645546,0.00100000,47.60860259,5.00000000
47043,1217,0.26795140,0.78260209,0.00645546,0.00100000,261.49594219,5.00000000
47183,3273,0.01904931,0.96137505,0.00973410,0.00100000,9.31521117,5.00000000
47308,8177,0.02602833,1.03409620,0.00730275,0.00100000,18.72558293,5.00000000
47340,8177,0.04523453,1.19531541,0.00730275,0.00100000,37.93178532,5.00000000
47360,4364,0.07618201,0.66200329,0.00807814,0.00100000,68.10387301,5.00000000
47427,7901,0.04016436,0.91053886,0.00889243,0.00100000,31.27193322,5.00000000
47477,4396,0.05150225,0.89160271,0.00936557,0.00100000,42.13668731,5.00000000
47532,4396,0.02282209,1.00424471,0.00936557,0.00100000,13.45652599,5.00000000
47565,4396,0.01093049,1.26631413,0.00944381,0.00100000,1.56492231,-1.43507769
47575,7901,0.06546348,1.30496523,0.00889243,0.00100000,56.57105651,5.00000000
47608,7901,0.01820664,0.80665425,0.00628430,0.00100000,11.92234065,5.00000000
47628,7901,0.00813976,0.80784445,0.00637707,0.00100000,1.85546240,-1.14453760
47806,8185,0.08850144,0.62720558,0.00840749,0.00100000,80.09395565,5.00000000
47835,7901,0.02611468,0.73869681,0.00637707,0.00100000,19.73760722,5.00000000
47885,8153,0.13872552,1.18881281,0.00670411,0.00100000,132.02140398,5.00000000
47918,4396,0.03458599,0.65728326,0.00976861,0.00100000,24.81737861,5.00000000
47940,4876,0.09418022,1.00176777,0.00998602,0.00100000,84.19420437,5.00000000
48120,4364,0.04372579,1.03399968,0.00577257,0.00100000,37.95322511,5.00000000
48145,7897,0.02930997,0.69715159,0.00468214,0.00100000,24.62782247,5.00000000
48344,4364,0.09988019,0.98926746,0.00645637,0.00100000,93.42382220,5.00000000
48397,4364,0.02343816,0.79819301,0.00645637,0.00100000,16.98179361,5.00000000
