step,surprise_raw,surprise_clipped,state_action_pseudo_count,familiarity,e_t,block_E_k,W_k,block_completed,warmup_remaining,regime_change,mean_total_var,mean_epistemic_var,predictor_nll
0,10.51791668,10.51791668,0,0.00000000,0.00000000,nan,0.00000000,0,9999,0,1.00840271,0.00525350,113.08226013
100,1.62822747,1.62822747,0,0.00000000,0.00000000,nan,0.00000000,0,9899,0,1.98620713,0.51111889,45.22295252
200,6.17164707,6.17164707,0,0.00000000,0.00000000,nan,0.00000000,0,9799,0,1.65553284,0.21831445,92.13272667
300,5.54668140,5.54668140,0,0.00000000,0.00000000,nan,0.00000000,0,9699,0,1.76845574,0.17470135,100.46987661
400,2.86672425,2.86672425,0,0.00000000,0.00000000,nan,0.00000000,0,9599,0,1.68595839,0.10009851,48.85418129
500,0.96035224,0.96035224,0,0.00000000,0.00000000,nan,0.00000000,0,9499,0,2.63385415,0.20163779,35.31492360
600,4.81815147,4.81815147,0,0.00000000,0.00000000,nan,0.00000000,0,9399,0,1.52459383,0.08851214,56.23835754
700,1.62626541,1.62626541,0,0.00000000,0.00000000,nan,0.00000000,0,9299,0,2.47733426,0.18332142,37.11605453
800,4.76267433,4.76267433,0,0.00000000,0.00000000,nan,0.00000000,0,9199,0,1.67669690,0.09188892,63.60254669
900,1.40872121,1.40872121,0,0.00000000,0.00000000,nan,0.00000000,0,9099,0,3.66416001,0.19727948,39.55206223
1000,4.98465395,4.98465395,0,0.00000000,0.00000000,nan,0.00000000,0,8999,0,1.05286789,0.00281809,63.53154373
1100,3.26508641,3.26508641,0,0.00000000,0.00000000,nan,0.00000000,0,8899,0,2.14653111,0.06619158,50.84629695
1200,0.56329352,0.56329352,0,0.00000000,0.00000000,nan,0.00000000,0,8799,0,17.94391632,0.34983677,41.38666534
1300,0.43127975,0.43127975,0,0.00000000,0.00000000,nan,0.00000000,0,8699,0,7.88186836,0.29795614,27.31434488
1400,1.85020638,1.85020638,0,0.00000000,0.00000000,nan,0.00000000,0,8599,0,3.08438897,0.10554370,38.24344826
1500,1.24258268,1.24258268,0,0.00000000,0.00000000,nan,0.00000000,0,8499,0,11.19177055,0.21663918,35.75775274
1600,1.39309847,1.39309847,0,0.00000000,0.00000000,nan,0.00000000,0,8399,0,3.86766338,0.09894118,33.60422516
1700,0.30390942,0.30390942,0,0.00000000,0.00000000,nan,0.00000000,0,8299,0,34.13636780,0.35177362,31.41842461
1800,1.65353537,1.65353537,0,0.00000000,0.00000000,nan,0.00000000,0,8199,0,6.33459902,0.22667868,38.23917389
1900,0.55632818,0.55632818,0,0.00000000,0.00000000,nan,0.00000000,0,8099,0,7.75532770,0.20599300,27.90839243
2000,10.16980839,10.16980839,0,0.00000000,0.00000000,nan,0.00000000,0,7999,0,1.12389076,0.00423772,112.24531809
2100,0.32742703,0.32742703,0,0.00000000,0.00000000,nan,0.00000000,0,7899,0,13.05238819,0.25228822,26.22812424
2200,0.72072047,0.72072047,0,0.00000000,0.00000000,nan,0.00000000,0,7799,0,7.33452940,0.12535095,29.77985144
2300,0.27830806,0.27830806,0,0.00000000,0.00000000,nan,0.00000000,0,7699,0,28.12464333,0.29920608,28.11981964
2400,0.21597572,0.21597572,0,0.00000000,0.00000000,nan,0.00000000,0,7599,0,43.05209732,0.37977919,32.28129196
2500,0.63014847,0.63014847,0,0.00000000,0.00000000,nan,0.00000000,0,7499,0,5.47011375,0.07580585,26.40773964
2600,0.54378408,0.54378408,0,0.00000000,0.00000000,nan,0.00000000,0,7399,0,11.99527550,0.13529390,28.23417155
2700,0.70024663,0.70024663,0,0.00000000,0.00000000,nan,0.00000000,0,7299,0,17.04323387,0.15631972,30.84729830
2800,0.57817346,0.57817346,0,0.00000000,0.00000000,nan,0.00000000,0,7199,0,36.32801819,0.37907261,30.89841557
2900,0.37917578,0.37917578,0,0.00000000,0.00000000,nan,0.00000000,0,7099,0,8.73303890,0.09623215,25.19931094
3000,5.07115602,5.07115602,0,0.00000000,0.00000000,nan,0.00000000,0,6999,0,1.16714239,0.00433460,63.67358907
3100,0.80793023,0.80793023,0,0.00000000,0.00000000,nan,0.00000000,0,6899,0,12.23191643,0.13555305,29.58703295
3200,1.23575401,1.23575401,0,0.00000000,0.00000000,nan,0.00000000,0,6799,0,5.44395781,0.05868955,36.70730209
3300,0.46042627,0.46042627,0,0.00000000,0.00000000,nan,0.00000000,0,6699,0,15.77125168,0.18014540,27.84287930
3400,0.33425906,0.33425906,0,0.00000000,0.00000000,nan,0.00000000,0,6599,0,46.36616898,0.30928499,32.12781652
3500,1.52017021,1.52017021,0,0.00000000,0.00000000,nan,0.00000000,0,6499,0,4.24639368,0.05656409,34.73600082
3600,0.59061962,0.59061962,0,0.00000000,0.00000000,nan,0.00000000,0,6399,0,37.28187943,0.16451818,28.30748844
3700,1.14533210,1.14533210,0,0.00000000,0.00000000,nan,0.00000000,0,6299,0,23.09569359,0.22082520,34.60310237
3800,0.84323138,0.84323138,0,0.00000000,0.00000000,nan,0.00000000,0,6199,0,6.47581387,0.07365170,28.61093521
3900,0.68652916,0.68652916,0,0.00000000,0.00000000,nan,0.00000000,0,6099,0,19.71939278,0.12699559,28.91990566
4000,4.67439938,4.67439938,0,0.00000000,0.00000000,nan,0.00000000,0,5999,0,1.09920037,0.00178031,60.15179062
4100,0.46915558,0.46915558,0,0.00000000,0.00000000,nan,0.00000000,0,5899,0,29.68860817,0.24841779,27.12794304
4200,0.46916491,0.46916491,0,0.00000000,0.00000000,nan,0.00000000,0,5799,0,10.84651375,0.06762923,24.97275019
4300,0.34896845,0.34896845,0,0.00000000,0.00000000,nan,0.00000000,0,5699,0,20.88534927,0.16726992,25.08110523
4400,0.47937188,0.47937188,0,0.00000000,0.00000000,nan,0.00000000,0,5599,0,6.58234167,0.08760765,24.62838809
4500,0.52729964,0.52729964,0,0.00000000,0.00000000,nan,0.00000000,0,5499,0,32.52397537,0.27969897,27.37592411
4600,0.22867733,0.22867733,0,0.00000000,0.00000000,nan,0.00000000,0,5399,0,26.71437836,0.11297425,23.48639774
4700,0.40275064,0.40275064,0,0.00000000,0.00000000,nan,0.00000000,0,5299,0,13.29906654,0.11713954,22.62214279
4800,0.34501553,0.34501553,0,0.00000000,0.00000000,nan,0.00000000,0,5199,0,43.53746414,0.20127565,28.76867008
4900,0.47377989,0.47377989,0,0.00000000,0.00000000,nan,0.00000000,0,5099,0,12.57296371,0.10720406,24.32523600
5000,4.91675329,4.91675329,0,0.00000000,0.00000000,nan,0.00000000,0,4999,0,1.12483084,0.00281532,62.80772400
5100,0.65208393,0.65208393,0,0.00000000,0.00000000,nan,0.00000000,0,4899,0,11.56613636,0.05596936,25.31894588
5200,0.53234172,0.53234172,0,0.00000000,0.00000000,nan,0.00000000,0,4799,0,22.92704201,0.07408950,25.67128817
5300,0.73253095,0.73253095,0,0.00000000,0.00000000,nan,0.00000000,0,4699,0,10.86708355,0.06661448,27.54147301
5400,0.62503290,0.62503290,0,0.00000000,0.00000000,nan,0.00000000,0,4599,0,38.00591660,0.13890123,31.92872302
5500,0.74010903,0.74010903,0,0.00000000,0.00000000,nan,0.00000000,0,4499,0,5.83997250,0.03848186,26.29979992
5600,0.67933184,0.67933184,0,0.00000000,0.00000000,nan,0.00000000,0,4399,0,14.42294979,0.05403713,26.87330882
5700,0.32855466,0.32855466,0,0.00000000,0.00000000,nan,0.00000000,0,4299,0,37.78919601,0.17431402,26.85844103
5800,0.76613957,0.76613957,0,0.00000000,0.00000000,nan,0.00000000,0,4199,0,32.63236618,0.19632538,29.43419409
5900,1.21523774,1.21523774,0,0.00000000,0.00000000,nan,0.00000000,0,4099,0,4.29270935,0.03038652,29.47186152
6000,6.70767832,6.70767832,0,0.00000000,0.00000000,nan,0.00000000,0,3999,0,1.18679380,0.00390888,79.33535385
6100,0.88422465,0.88422465,0,0.00000000,0.00000000,nan,0.00000000,0,3899,0,13.58087254,0.05615979,29.15098445
6200,0.58920765,0.58920765,0,0.00000000,0.00000000,nan,0.00000000,0,3799,0,7.89832497,0.05074048,25.75459226
6300,0.19435644,0.19435644,0,0.00000000,0.00000000,nan,0.00000000,0,3699,0,38.18151855,0.13100807,24.18979009
6400,0.55638450,0.55638450,0,0.00000000,0.00000000,nan,0.00000000,0,3599,0,27.49693108,0.11779656,26.25075022
6500,0.61403060,0.61403060,0,0.00000000,0.00000000,nan,0.00000000,0,3499,0,50.22639847,0.49900711,32.81864929
6600,0.40254688,0.40254688,0,0.00000000,0.00000000,nan,0.00000000,0,3399,0,42.58668900,0.17781602,26.41792202
6700,0.31490552,0.31490552,0,0.00000000,0.00000000,nan,0.00000000,0,3299,0,23.16456795,0.10361648,24.21992493
6800,0.31239152,0.31239152,0,0.00000000,0.00000000,nan,0.00000000,0,3199,0,25.95834732,0.10551151,23.31665166
6900,0.42913800,0.42913800,0,0.00000000,0.00000000,nan,0.00000000,0,3099,0,44.72071838,0.21698835,24.80660248
