step,e_P,e_R,e_P_bar,e_R_bar,D_t,c_t,regime_change
75000,0.23974006,0.32717583,-0.38882282,0.75891476,0.28797581,0.00129899,0
76000,0.21624587,0.20869794,-0.50334418,0.13006696,0.00845871,0.00322607,0
77000,0.33670425,0.01164033,0.12276535,-0.92843017,0.00753567,0.00004269,0
78000,0.19983540,0.09688855,-0.57709726,-0.46366469,0.00000000,0.00040082,0
79000,0.24959897,0.10174125,-0.31329100,-0.43288215,0.00000000,0.00001136,0
80000,0.30311668,0.35330260,-0.02977259,0.94533821,0.44683217,0.00214133,0
81000,0.15342869,0.45645183,-0.80106947,1.51993106,1.15509522,0.00339987,0
82000,0.18393931,0.21324910,-0.63736529,0.19332253,0.01868680,0.00024929,0
83000,0.23197770,0.07149912,-0.38182585,-0.58306803,0.00000000,0.00159231,0
84000,0.21094009,0.28213617,-0.48664201,0.58688959,0.17221970,0.00043930,0
85000,0.25214699,0.30059379,-0.26495346,0.69726404,0.24308857,0.00720607,0
86000,0.27519488,0.17510650,-0.13784103,0.00493604,0.00001218,0.00213454,0
87000,0.48388904,0.03738621,0.96545307,-0.76075140,0.46604982,0.02377339,0
88000,0.20232718,0.03811067,-0.51113856,-0.75369512,0.00000000,0.00243508,0
89000,0.47463366,0.00400439,0.93216609,-0.94299754,0.43446681,0.00540212,0
90000,0.19719504,0.02085115,-0.52895693,-0.84647839,0.00000000,0.00104431,0
91000,0.23317571,0.02852526,-0.33378330,-0.80083805,0.00000000,0.00056161,0
92000,0.22574650,0.28398794,-0.36889078,0.65470971,0.21432240,0.01759920,0
93000,0.22139937,0.11808215,-0.38786310,-0.28554226,0.00000000,0.00275283,0
94000,0.20823342,0.16465056,-0.45358894,-0.01511977,0.00000000,0.00531099,0
95000,0.31429705,0.25721839,0.11793896,0.52152963,0.14295137,0.00070417,0
96000,0.18990350,0.16810909,-0.54264072,0.01458558,0.00010637,0.00060882,0
97000,0.25085786,0.52353287,-0.21132917,2.07386138,2.15045052,0.00886967,0
98000,0.24733624,0.28127182,-0.22526228,0.68033990,0.23143119,0.02271712,0
99000,0.37162808,0.13772561,0.44854404,-0.14790738,0.10059588,0.00686970,0
100000,0.20294324,0.45470929,-0.45544357,1.70500162,1.45351526,0.01209330,0
101000,0.22319311,0.33511120,-0.34187600,1.01446573,0.51457036,0.01951282,0
102000,0.27959004,0.10269649,-0.03219326,-0.34212508,0.00000000,0.01379422,0
103000,0.51922333,0.26315171,1.27209888,0.60609378,0.99279262,0.00149270,0
104000,0.38745585,0.14807658,0.56427024,-0.06675111,0.15920045,0.00068393,0
105000,0.26682225,0.01024683,-0.08502727,-0.87839869,0.00000000,0.00253888,0
106000,0.35441414,0.08961715,0.39722488,-0.40524768,0.07889380,0.00182413,0
107000,0.36587667,0.63111132,0.46556197,2.82271158,4.09222431,0.02121180,0
108000,0.23712604,0.08893473,-0.23219625,-0.40304952,0.00000000,0.00051032,0
109000,0.27335638,0.15005788,-0.02955992,-0.03388606,0.00000000,0.00621156,0
110000,0.35854608,0.05153220,0.44173526,-0.62149301,0.09756502,0.00323764,0
111000,0.25047436,0.39503169,-0.14619962,1.44843644,1.04898406,0.01070386,0
112000,0.50568509,0.24590655,1.26086895,0.55659718,0.94979546,0.00595156,0
113000,0.35681832,0.63170534,0.44889981,2.89763943,4.29891266,0.02350446,0
114000,0.33537108,0.21304773,0.33584129,0.36892864,0.12444886,0.00009597,0
115000,0.28071722,0.16093808,0.03936876,0.05683749,0.00239020,0.00675685,0
116000,0.42289907,0.08841392,0.82952903,-0.38179153,0.34405920,0.00750717,0
117000,0.32560185,0.13496025,0.29627364,-0.09449615,0.04388904,0.00027206,0
118000,0.54810947,0.17920776,1.53425168,0.18071247,1.19329261,0.00104018,0
119000,0.23632257,0.42752469,-0.18894000,1.71192726,1.46534747,0.00510831,0
120000,0.23982060,0.71884632,-0.16481057,3.51589435,6.18075654,0.04347716,0
121000,0.33755806,0.36181560,0.38320183,1.32234162,0.94771550,0.01420430,0
122000,0.36392447,0.32262370,0.53490233,1.08682342,0.73365283,0.00002498,0
123000,0.33049455,0.23242342,0.35370802,0.53334609,0.20478371,0.00009698,0
124000,0.26576728,0.25274542,-0.00335473,0.66514892,0.22121155,0.01404845,0
125000,0.28237602,0.02885159,0.09340033,-0.72717660,0.00436181,0.03541969,0
126000,0.30495518,0.18348350,0.22415224,0.24207220,0.05442159,0.00056456,0
127000,0.38170379,0.34219778,0.65898154,1.24154518,0.98784556,0.00084810,0
128000,0.30750892,0.25630626,0.24733399,0.70826347,0.28140563,0.01722361,0
129000,0.30724162,0.01555892,0.25034061,-0.80356509,0.03133521,0.00442189,0
130000,0.26748890,0.23184489,0.03103858,0.56478896,0.15997498,0.00164340,0
131000,0.33048275,0.27054238,0.38998114,0.81439326,0.40766083,0.00035451,0
132000,0.33452526,0.06857232,0.41692116,-0.46230280,0.08691163,0.01930269,0
133000,0.37532318,0.29533088,0.65220236,0.98301082,0.69583910,0.00200559,0
134000,0.27235529,0.51767039,0.07417794,2.40689923,2.89933313,0.01128087,0
135000,0.27698934,0.06628959,0.10421783,-0.46996577,0.00543068,0.00424666,0
136000,0.28534925,0.59875280,0.15560489,2.94450834,4.34717111,0.02694721,0
137000,0.22006093,0.30311292,-0.21149360,1.05561363,0.55716007,0.00028966,0
138000,0.17606543,0.03763764,-0.45840457,-0.64776608,0.00000000,0.00067890,0
139000,0.10382307,0.14016047,-0.86695030,0.01548900,0.00011995,0.01025562,0
140000,0.43384978,0.46733040,1.01894046,2.13465109,2.79748746,0.00809216,0
141000,0.29648051,0.19091059,0.23901407,0.35076221,0.09008093,0.00751101,0
142000,0.40559846,0.32115221,0.86701987,1.20077904,1.09679688,0.01087292,0
143000,0.26139218,0.49678221,0.04556065,2.34979024,2.76179498,0.01026606,0
144000,0.32647407,0.56249422,0.42243053,2.78655066,3.97165607,0.02320460,0
145000,0.22054651,0.03358072,-0.18196869,-0.66324041,0.00000000,0.01052439,0
146000,0.41222522,0.47595620,0.92336401,2.23753791,2.92958850,0.01014034,0
147000,0.22986174,0.33441719,-0.12155135,1.31577192,0.86562788,0.04780780,0
148000,0.30375481,0.21412106,0.30736360,0.52952590,0.18743503,0.00453266,0
149000,0.37260884,0.12125437,0.70828404,-0.07910964,0.25083314,0.01813421,0
150000,0.19936593,0.06949644,-0.28855930,-0.41837428,0.00000000,0.00133945,0
151000,0.31887531,0.14916420,0.40603567,0.11142693,0.08864046,0.00635574,0
152000,0.37877396,0.08139659,0.75676534,-0.33542283,0.28634689,0.01345345,0
153000,0.26793784,0.07905769,0.11789553,-0.34902848,0.00694968,0.00952405,0
154000,0.16767080,0.08452705,-0.46152722,-0.31046592,0.00000000,0.00471264,0
155000,0.24235395,0.38093191,-0.02443996,1.67234987,1.39837704,0.02594489,0
156000,0.35421383,0.17477374,0.63061821,0.29804951,0.24325642,0.03378451,0
157000,0.15112807,0.03427776,-0.54980389,-0.64141126,0.00000000,0.01112332,0
158000,0.23230463,0.30566263,-0.07316668,1.18468081,0.70173431,0.01895385,0
159000,0.27432892,0.40463048,0.17542672,1.85658436,1.73884000,0.00104158,0
160000,0.42639640,0.40538692,1.06905832,1.86832680,2.31676536,0.02095417,0
161000,0.24889210,0.07746764,0.03323590,-0.34386240,0.00055231,0.02167522,0
162000,0.47647560,0.02671871,1.36805496,-0.68873072,0.93578719,0.03979254,0
163000,0.25858214,0.17651309,0.08975163,0.32702375,0.05749994,0.00221026,0
164000,0.25217253,0.04810813,0.05284901,-0.54505855,0.00139651,0.00899630,0
165000,0.18665926,0.19697288,-0.33301128,0.46966835,0.11029418,0.00277584,0
166000,0.22205780,0.07639692,-0.12385061,-0.35165204,0.00000000,0.06287274,0
167000,0.34788916,0.15562040,0.62328414,0.19124635,0.21252914,0.05692748,0
168000,0.19787417,0.00807460,-0.26674277,-0.81922714,0.00000000,0.06099563,0
169000,0.17276472,0.10550769,-0.41622996,-0.14993007,0.00000000,0.03417473,0
170000,0.15994042,0.13902798,-0.49256929,0.08184784,0.00334953,0.01051939,0
171000,0.25888139,0.20755215,0.09894150,0.55590668,0.15941083,0.06398896,0
172000,0.66267717,0.97158414,2.51520710,5.83650605,20.19553479,0.63935096,0
173000,0.41693130,0.56100965,1.04494717,3.00497981,5.06090913,0.06629871,0
174000,0.26394871,0.09274134,0.12854867,-0.23563377,0.00826238,0.07173121,0
175000,0.11881223,0.01029253,-0.74247882,-0.80729495,0.00000000,0.08698459,0
176000,0.16967723,0.00565883,-0.43725481,-0.83978207,0.00000000,0.13512998,0
