step,fast_slow_gap,fast_wins,bernoulli_llr,familiarity_weight,weighted_bernoulli_llr,cusum_W,detector_active,regime_change,epistemic_uncertainty,epistemic_ref,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,initial_warmup_remaining,post_change_warmup_remaining,predictor_nll
2600,0.00000000,0,0.00000000,0.07403381,0.00000000,0.00000000,0,0,0.16797502,0.01243583,-24.42580795,-24.42580795,11.64197063,11.64197063,0.16797502,0.16797502,7399,0,25.11849022
2700,0.00000000,0,0.00000000,0.19394603,0.00000000,0.00000000,0,0,0.06579754,0.01276117,-22.73630905,-22.73630905,3.60041904,3.60041904,0.06579754,0.06579754,7299,0,22.94740041
2800,0.00000000,0,0.00000000,0.09557694,0.00000000,0.00000000,0,0,0.13701122,0.01309511,-23.80775833,-23.80775833,11.61735916,11.61735916,0.13701122,0.13701122,7199,0,23.28207207
2900,0.00000000,0,0.00000000,0.04184799,0.00000000,0.00000000,0,0,0.32139498,0.01344973,-31.30348396,-31.30348396,42.78369904,42.78369904,0.32139498,0.32139498,7099,0,35.55685552
3000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,0,0,0.00559975,0.01384036,-80.88882446,-80.88882446,1.14512742,1.14512742,0.00559975,0.00559975,6999,0,81.81469879
3100,0.00000000,0,0.00000000,0.07297141,0.00000000,0.00000000,0,0,0.19417800,0.01416944,-28.74425507,-28.74425507,22.33265114,22.33265114,0.19417800,0.19417800,6899,0,29.49646886
3200,0.00000000,0,0.00000000,0.06307240,0.00000000,0.00000000,0,0,0.23051850,0.01453936,-27.12197495,-27.12197495,26.75577354,26.75577354,0.23051850,0.23051850,6799,0,27.98536777
3300,0.00000000,0,0.00000000,0.12105543,0.00000000,0.00000000,0,0,0.12323860,0.01491870,-32.27674103,-32.27674103,8.76273346,8.76273346,0.12323860,0.12323860,6699,0,33.85865879
3400,0.00000000,0,0.00000000,0.05591784,0.00000000,0.00000000,0,0,0.27386162,0.01531375,-31.05768394,-31.05768394,27.28626823,27.28626823,0.27386162,0.27386162,6599,0,32.11307144
3500,0.00000000,0,0.00000000,0.09874600,0.00000000,0.00000000,0,0,0.15928517,0.01572877,-23.59926605,-23.59926605,8.84852409,8.84852409,0.15928517,0.15928517,6499,0,23.12353849
3600,0.00000000,0,0.00000000,0.08664206,0.00000000,0.00000000,0,0,0.18605185,0.01611991,-26.53918076,-26.53918076,21.27356720,21.27356720,0.18605185,0.18605185,6399,0,27.20119349
3700,0.00000000,0,0.00000000,0.09762348,0.00000000,0.00000000,0,0,0.16952324,0.01654945,-25.45646286,-25.45646286,12.98891163,12.98891163,0.16952324,0.16952324,6299,0,25.22875913
3800,0.00000000,0,0.00000000,0.22545527,0.00000000,0.00000000,0,0,0.07523615,0.01696239,-29.51712799,-29.51712799,8.96773243,8.96773243,0.07523615,0.07523615,6199,0,28.76939329
3900,0.00000000,0,0.00000000,0.06610954,0.00000000,0.00000000,0,0,0.26305380,0.01739037,-26.96086121,-26.96086121,46.35770416,46.35770416,0.26305380,0.26305380,6099,0,29.51748721
4000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,0,0,0.00191491,0.01781411,-41.67558289,-41.67558289,1.08084214,1.08084214,0.00191491,0.00191491,5999,0,41.97973537
4100,0.00000000,0,0.00000000,0.21637587,0.00000000,0.00000000,0,0,0.08365843,0.01810167,-28.39521980,-28.39521980,4.30470419,4.30470419,0.08365843,0.08365843,5899,0,28.67198563
4200,0.00000000,0,0.00000000,0.23507939,0.00000000,0.00000000,0,0,0.07840198,0.01843069,-28.68480873,-28.68480873,5.48452091,5.48452091,0.07840198,0.07840198,5799,0,29.07747726
4300,0.00000000,0,0.00000000,0.20942895,0.00000000,0.00000000,0,0,0.08957635,0.01875988,-24.77627182,-24.77627182,13.79826069,13.79826069,0.08957635,0.08957635,5699,0,24.62957319
4400,0.00000000,0,0.00000000,0.09414194,0.00000000,0.00000000,0,0,0.20357510,0.01916496,-27.39820862,-27.39820862,44.20902634,44.20902634,0.20357510,0.20357510,5599,0,26.65818469
4500,0.00000000,0,0.00000000,0.11927540,0.00000000,0.00000000,0,0,0.16414285,0.01957820,-26.67671204,-26.67671204,40.78454590,40.78454590,0.16414285,0.16414285,5499,0,27.64977884
4600,0.00000000,0,0.00000000,0.09253456,0.00000000,0.00000000,0,0,0.21628810,0.02001413,-24.96194077,-24.96194077,37.52554703,37.52554703,0.21628810,0.21628810,5399,0,25.70720482
4700,0.00000000,0,0.00000000,0.10579802,0.00000000,0.00000000,0,0,0.19345339,0.02046699,-29.82202911,-29.82202911,44.96385193,44.96385193,0.19345339,0.19345339,5299,0,29.22538280
4800,0.00000000,0,0.00000000,0.21604417,0.00000000,0.00000000,0,0,0.09685837,0.02092569,-27.27393341,-27.27393341,20.95837593,20.95837593,0.09685837,0.09685837,5199,0,27.92410469
4900,0.00000000,0,0.00000000,0.08312160,0.00000000,0.00000000,0,0,0.25705087,0.02136648,-26.10538292,-26.10538292,41.86023712,41.86023712,0.25705087,0.25705087,5099,0,27.34984144
5000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,0,0,0.00394485,0.02180611,-68.25615692,-68.25615692,1.14561987,1.14561987,0.00394485,0.00394485,4999,0,67.71791077
5100,0.00000000,0,0.00000000,0.16788502,0.00000000,0.00000000,0,0,0.13170068,0.02211057,-27.43168068,-27.43168068,16.34407234,16.34407234,0.13170068,0.13170068,4899,0,27.93230200
